Character	Modifier	Context
Elinor Dashwood	likely	One or two meetings of this kind had taken place , without affording Elinor any chance of engaging Lucy in private , when Sir John called at the cottage one morning , to beg , in the name of charity , that they would all dine with Lady Middleton that day , as he was obliged to attend the club at Exeter , and she would otherwise be quite alone , except her mother and the two Miss Steeles . Elinor , who foresaw a fairer opening for the point she had in view , in such a party as this was likely to be , more at liberty among themselves under the tranquil and well - bred direction of Lady Middleton than when her husband united them together in one noisy purpose , immediately accepted the invitation ; Margaret , with her mother 's permission , was equally compliant , and Marianne , though always unwilling to join any of their parties , was persuaded by her mother , who could not bear to have her seclude herself from any chance of amusement , to go likewise . 
Elinor Dashwood	kind	""" You are very kind , "" said Lady Middleton to Elinor ; "" and as you really like the work , perhaps you will be as well pleased not to cut in till another rubber , or will you take your chance now ? "" "
Elinor Dashwood	pleased	""" You are very kind , "" said Lady Middleton to Elinor ; "" and as you really like the work , perhaps you will be as well pleased not to cut in till another rubber , or will you take your chance now ? "" "
Elinor Dashwood	undeserving	""" I should be undeserving of the confidence you have honoured me with , if I felt no desire for its continuance , or no farther curiosity on its subject . "
Elinor Dashwood	angry	I felt sure that you was angry with me ; and have been quarrelling with myself ever since , for having took such a liberty as to trouble you with my affairs . 
Elinor Dashwood	careful	""" Lucy here looked up ; but Elinor was careful in guarding her countenance from every expression that could give her words a suspicious tendency . "
Elinor Dashwood	happy	""" I should always be happy , "" replied Elinor , "" to show any mark of my esteem and friendship for Mr. Ferrars ; but do you not perceive that my interest on such an occasion would be perfectly unnecessary ? "
Elinor Dashwood	afraid	"Elinor wished very much to ask whether Willoughby were then in town , but she was afraid of giving him pain by any enquiry after his rival ; and at length , by way of saying something , she asked if he had been in London ever since she had seen him last . "" Yes , "" he replied , with some embarrassment , "" almost ever since ; I have been once or twice at Delaford for a few days , but it has never been in my power to return to Barton . "
Elinor Dashwood	fearful	This , and the manner in which it was said , immediately brought back to her remembrance all the circumstances of his quitting that place , with the uneasiness and suspicions they had caused to Mrs. Jennings , and she was fearful that her question had implied much more curiosity on the subject than she had ever felt . Mrs. Jennings soon came in . 
Elinor Dashwood	uncomfortable	""" But if she DID , the letter was written and sent away with a privacy which eluded all her watchfulness to ascertain the fact . Whatever the truth of it might be , and far as Elinor was from feeling thorough contentment about it , yet while she saw Marianne in spirits , she could not be very uncomfortable herself . And Marianne was in spirits ; happy in the mildness of the weather , and still happier in her expectation of a frost . "
Elinor Dashwood	willing	Every thing in her household arrangements was conducted on the most liberal plan , and excepting a few old city friends , whom , to Lady Middleton 's regret , she had never dropped , she visited no one to whom an introduction could at all discompose the feelings of her young companions . Pleased to find herself more comfortably situated in that particular than she had expected , Elinor was very willing to compound for the want of much real enjoyment from any of their evening parties , which , whether at home or abroad , formed only for cards , could have little to amuse her . 
Elinor Dashwood	bent	""" So my daughter Middleton told me , for it seems Sir John met him somewhere in the street this morning . "" Marianne said no more , but looked exceedingly hurt . Impatient in this situation to be doing something that might lead to her sister 's relief , Elinor resolved to write the next morning to her mother , and hoped by awakening her fears for the health of Marianne , to procure those inquiries which had been so long delayed ; and she was still more eagerly bent on this measure by perceiving after breakfast on the morrow , that Marianne was again writing to Willoughby , for she could not suppose it to be to any other person . About the middle of the day , Mrs. Jennings went out by herself on business , and Elinor began her letter directly , while Marianne , too restless for employment , too anxious for conversation , walked from one window to the other , or sat down by the fire in melancholy meditation . "
Elinor Dashwood	earnest	Elinor was very earnest in her application to her mother , relating all that had passed , her suspicions of Willoughby 's inconstancy , urging her by every plea of duty and affection to demand from Marianne an account of her real situation with respect to him . Her letter was scarcely finished , when a rap foretold a visitor , and Colonel Brandon was announced . 
Elinor Dashwood	able	She was not immediately able to say anything , and even when her spirits were recovered , she debated for a short time , on the answer it would be most proper to give . 
Elinor Dashwood	liable	The real state of things between Willoughby and her sister was so little known to herself , that in endeavouring to explain it , she might be as liable to say too much as too little . 
Elinor Dashwood	astonishment	Though aware , before she began it , that it must bring a confession of his inconstancy , and confirm their separation for ever , she was not aware that such language could be suffered to announce it ; nor could she have supposed Willoughby capable of departing so far from the appearance of every honourable and delicate feeling -- so far from the common decorum of a gentleman , as to send a letter so impudently cruel : a letter which , instead of bringing with his desire of a release any professions of regret , acknowledged no breach of faith , denied all peculiar affection whatever-- a letter of which every line was an insult , and which proclaimed its writer to be deep in hardened villainy . She paused over it for some time with indignant astonishment ; then read it again and again ; but every perusal only served to increase her abhorrence of the man , and so bitter were her feelings against him , that she dared not trust herself to speak , lest she might wound Marianne still deeper by treating their disengagement , not as a loss to her of any possible good but as an escape from the worst and most irremediable of all evils , a connection , for life , with an unprincipled man , as a deliverance the most real , a blessing the most important . In her earnest meditations on the contents of the letter , on the depravity of that mind which could dictate it , and probably , on the very different mind of a very different person , who had no other connection whatever with the affair than what her heart gave him with every thing that passed , Elinor forgot the immediate distress of her sister , forgot that she had three letters on her lap yet unread , and so entirely forgot how long she had been in the room , that when on hearing a carriage drive up to the door , she went to the window to see who could be coming so unreasonably early , she was all astonishment to perceive Mrs. Jennings 's chariot , which she knew had not been ordered till one . Determined not to quit Marianne , though hopeless of contributing , at present , to her ease , she hurried away to excuse herself from attending Mrs. Jennings , on account of her sister being indisposed . 
Elinor Dashwood	able	"A glass of wine , which Elinor procured for her directly , made her more comfortable , and she was at last able to express some sense of her kindness , by saying , "" Poor Elinor ! how unhappy I make you ! "" "
Elinor Dashwood	happy	"if you knew!--And can you believe me to be so , while I see you so wretched ! "" "" Forgive me , forgive me , "" throwing her arms round her sister 's neck ; "" I know you feel for me ; I know what a heart you have ; but yet you are -- you must be happy ; Edward loves you -- what , oh what , can do away such happiness as that ? "" "" Many , many circumstances , "" said Elinor , solemnly . "
Elinor Dashwood	pained	""" I have been more pained , "" said she , "" by her endeavors to acquit him than by all the rest ; for it irritates her mind more than the most perfect conviction of his unworthiness can do . Now , though at first she will suffer much , I am sure she will soon become easier . "
Elinor Dashwood	sure	""" I have been more pained , "" said she , "" by her endeavors to acquit him than by all the rest ; for it irritates her mind more than the most perfect conviction of his unworthiness can do . Now , though at first she will suffer much , I am sure she will soon become easier . "
Elinor Dashwood	desirous	She had taken care to have the intelligence conveyed to herself , as soon as it was known that the ceremony was over , as she was desirous that Marianne should not receive the first notice of it from the public papers , which she saw her eagerly examining every morning . 
Elinor Dashwood	sorry	Elinor only was sorry to see them . 
Elinor Dashwood	sure	""" But I always thought I SHOULD . I was almost sure you would not leave London yet awhile ; though you TOLD me , you know , at Barton , that you should not stay above a MONTH . But I thought , at the time , that you would most likely change your mind when it came to the point . It would have been such a great pity to have went away before your brother and sister came . And now to be sure you will be in no hurry to be gone . I am amazingly glad you did not keep to YOUR WORD . "" Elinor perfectly understood her , and was forced to use all her self - command to make it appear that she did NOT . "
Elinor Dashwood	glad	""" But I always thought I SHOULD . I was almost sure you would not leave London yet awhile ; though you TOLD me , you know , at Barton , that you should not stay above a MONTH . But I thought , at the time , that you would most likely change your mind when it came to the point . It would have been such a great pity to have went away before your brother and sister came . And now to be sure you will be in no hurry to be gone . I am amazingly glad you did not keep to YOUR WORD . "" Elinor perfectly understood her , and was forced to use all her self - command to make it appear that she did NOT . "
Elinor Dashwood	sure	""" Indeed I believe you , "" replied Elinor ; "" but I am very sure that Colonel Brandon has not the smallest wish of marrying ME . "
Elinor Dashwood	mistaken	""" You are mistaken , Elinor ; you are very much mistaken . "
Elinor Dashwood	pleased	Elinor was pleased that he had called ; and still more pleased that she had missed him . 
Elinor Dashwood	ELINOR	She wondered that Lucy 's spirits could be so very much elevated by the civility of Mrs. Ferrars;--that her interest and her vanity should so very much blind her as to make the attention which seemed only paid her because she was NOT ELINOR , appear a compliment to herself -- or to allow her to derive encouragement from a preference only given her , because her real situation was unknown . 
Elinor Dashwood	happy	But that it was so , had not only been declared by Lucy 's eyes at the time , but was declared over again the next morning more openly , for at her particular desire , Lady Middleton set her down in Berkeley Street on the chance of seeing Elinor alone , to tell her how happy she was . 
Elinor Dashwood	sure	I am sure it will all end well , and there will be no difficulties at all , to what I used to think . 
Elinor Dashwood	anxious	But Elinor had more to do ; and so anxious was she , for his sake and her own , to do it well , that she forced herself , after a moment 's recollection , to welcome him , with a look and manner that were almost easy , and almost open ; and another struggle , another effort still improved them . 
Elinor Dashwood	happy	She would not allow the presence of Lucy , nor the consciousness of some injustice towards herself , to deter her from saying that she was happy to see him , and that she had very much regretted being from home , when he called before in Berkeley Street . She would not be frightened from paying him those attentions which , as a friend and almost a relation , were his due , by the observant eyes of Lucy , though she soon perceived them to be narrowly watching her . 
Elinor Dashwood	well	Elinor is well , you see . 
Elinor Dashwood	angry	"Elinor was very angry , but Marianne seemed entirely insensible of the sting ; for she calmly replied , "" Not so , indeed ; for , seriously speaking , I am very sure that conscience only kept Edward from Harley Street . "
Elinor Dashwood	musical	The party , like other musical parties , comprehended a great many people who had real taste for the performance , and a great many more who had none at all ; and the performers themselves were , as usual , in their own estimation , and that of their immediate friends , the first private performers in England . As Elinor was neither musical , nor affecting to be so , she made no scruple of turning her eyes from the grand pianoforte , whenever it suited her , and unrestrained even by the presence of a harp , and violoncello , would fix them at pleasure on any other object in the room . In one of these excursive glances she perceived among a group of young men , the very he , who had given them a lecture on toothpick - cases at Gray 's . She perceived him soon afterwards looking at herself , and speaking familiarly to her brother ; and had just determined to find out his name from the latter , when they both came towards her , and Mr. Dashwood introduced him to her as Mr. Robert Ferrars . 
Elinor Dashwood	sure	And so , just as he was going away again , it came into my head , I am sure I do not know how I happened to think of it , but it came into my head to ask him if there was any news . 
Elinor Dashwood	glad	Mr. Edward Ferrars , the very young man I used to joke with you about ( but however , as it turns out , I am monstrous glad there was never any thing in it ) , Mr. Edward Ferrars , it seems , has been engaged above this twelvemonth to my cousin Lucy!--There 's for you , my dear!--And not a creature knowing a syllable of the matter , except Nancy!--Could you have believed such a thing possible?-- There is no great wonder in their liking one another ; but that matters should be brought so forward between them , and nobody suspect it!--THAT is strange!--I never happened to see them together , or I am sure I should have found it 
Elinor Dashwood	sure	Mr. Edward Ferrars , the very young man I used to joke with you about ( but however , as it turns out , I am monstrous glad there was never any thing in it ) , Mr. Edward Ferrars , it seems , has been engaged above this twelvemonth to my cousin Lucy!--There 's for you , my dear!--And not a creature knowing a syllable of the matter , except Nancy!--Could you have believed such a thing possible?-- There is no great wonder in their liking one another ; but that matters should be brought so forward between them , and nobody suspect it!--THAT is strange!--I never happened to see them together , or I am sure I should have found it 
Elinor Dashwood	sure	There is no reason on earth why Mr. Edward and Lucy should not marry ; for I am sure Mrs. Ferrars may afford to do very well by her son , and though Lucy has next to nothing herself , she knows better than any body how to make the most of every thing ; I dare say , if Mrs. Ferrars would only allow him five hundred a - year , she would make as good an appearance with it as any body else would with eight . Lord ! 
Elinor Dashwood	able	"how snug they might live in such another cottage as yours -- or a little bigger -- with two maids , and two men ; and I believe I could help them to a housemaid , for my Betty has a sister out of place , that would fit them exactly . "" Here Mrs. Jennings ceased , and as Elinor had had time enough to collect her thoughts , she was able to give such an answer , and make such observations , as the subject might naturally be supposed to produce . Happy to find that she was not suspected of any extraordinary interest in it ; that Mrs. Jennings ( as she had of late often hoped might be the case ) had ceased to imagine her at all attached to Edward ; and happy above all the rest , in the absence of Marianne , she felt very well able to speak of the affair without embarrassment , and to give her judgment , as she believed , with impartiality on the conduct of every one concerned in it . "
Elinor Dashwood	anxious	What Mrs. Ferrars would say and do , though there could not be a doubt of its nature , she was anxious to hear ; and still more anxious to know how Edward would conduct himself . 
Elinor Dashwood	anxious	What Mrs. Ferrars would say and do , though there could not be a doubt of its nature , she was anxious to hear ; and still more anxious to know how Edward would conduct himself . 
Elinor Dashwood	glad	But I did not love only him;--and while the comfort of others was dear to me , I was glad to spare them from knowing how much I felt . Now , I can think and speak of it with little emotion . 
Elinor Dashwood	conscious	I am not conscious of having provoked the disappointment by any imprudence of my own , I have borne it as much as possible without spreading it farther . 
Elinor Dashwood	sure	I wish him very happy ; and I am so sure of his always doing his duty , that though now he may harbour some regret , in the end he must become so . 
Elinor Dashwood	unhappy	"The composure of mind with which I have brought myself at present to consider the matter , the consolation that I have been willing to admit , have been the effect of constant and painful exertion;--they did not spring up of themselves;-- they did not occur to relieve my spirits at first.-- No , Marianne.--THEN , if I had not been bound to silence , perhaps nothing could have kept me entirely -- not even what I owed to my dearest friends -- from openly shewing that I was VERY unhappy . ""-- Marianne was quite subdued.-- "" Oh ! "
Elinor Dashwood	sorry	An intimate acquaintance of Mrs. Jennings joined them soon after they entered the Gardens , and Elinor was not sorry that by her continuing with them , and engaging all Mrs. Jennings 's conversation , she was herself left to quiet reflection . 
Elinor Dashwood	sorry	I am sorry I did not know it before ; for I certainly would not have suffered you to give me particulars of a conversation which you ought not to have known yourself . 
Elinor Dashwood	sure	I know they will ; but I am sure I would not do such a thing for all the world.-- ' La ! ' 
Elinor Dashwood	sure	I am sure you will be glad to hear , as likewise dear Mrs. Jennings , I spent two happy hours with him yesterday afternoon , he would not hear of our parting , though earnestly did I , as I thought my duty required , urge him to it for prudence sake , and would have parted for ever on the spot , would he consent to it ; but he said it should never be , he did not regard his mother 's anger , while he could have my affections ; our prospects are not very bright , to be sure , but we must wait , and hope for the best ; he will be ordained shortly ; and 
Elinor Dashwood	anxious	Elinor was hardly less anxious than herself for their removal , and only so much less bent on its being effected immediately , as that she was conscious of the difficulties of so long a journey , which Marianne could not be brought to acknowledge . She began , however , seriously to turn her thoughts towards its accomplishment , and had already mentioned their wishes to their kind hostess , who resisted them with all the eloquence of her good - will , when a plan was suggested , which , though detaining them from home yet a few weeks longer , appeared to Elinor altogether much more eligible than any other . 
Elinor Dashwood	grateful	"Elinor was grateful for the attention , but it could not alter her design ; and their mother 's concurrence being readily gained , every thing relative to their return was arranged as far as it could be;-- and Marianne found some relief in drawing up a statement of the hours that were yet to divide her from Barton . "" Ah ! "
Elinor Dashwood	glad	It was an office in short , from which , unwilling to give Edward the pain of receiving an obligation from HER , she would have been very glad to be spared herself;-- but Colonel Brandon , on motives of equal delicacy , declining it likewise , still seemed so desirous of its being given through her means , that she would not on any account make farther opposition . 
Elinor Dashwood	astonished	I never was more astonished in my life . 
Elinor Dashwood	glad	I should be very glad to get her so good a mistress . 
Elinor Dashwood	sure	But whether she would do for a lady 's maid , I am sure I ca n't tell . 
Elinor Dashwood	sure	"Colonel Brandon , who was here only ten minutes ago , has desired me to say , that understanding you mean to take orders , he has great pleasure in offering you the living of Delaford now just vacant , and only wishes it were more valuable . Allow me to congratulate you on having so respectable and well - judging a friend , and to join in his wish that the living -- it is about two hundred a - year -- were much more considerable , and such as might better enable you to -- as might be more than a temporary accommodation to yourself -- such , in short , as might establish all your views of happiness . "" What Edward felt , as he could not say it himself , it can not be expected that any one else should say for him . He LOOKED all the astonishment which such unexpected , such unthought - of information could not fail of exciting ; but he said only these two words , "" Colonel Brandon ! "" "" Yes , "" continued Elinor , gathering more resolution , as some of the worst was over , "" Colonel Brandon means it as a testimony of his concern for what has lately passed -- for the cruel situation in which the unjustifiable conduct of your family has placed you -- a concern which I am sure Marianne , myself , and all your friends , must share ; and likewise as a proof of his high esteem for your general character , and his particular approbation of your behaviour on the present occasion . "
Elinor Dashwood	sure	""" Fanny is in her own room , I suppose , "" said he:--""I will go to her presently , for I am sure she will not have the least objection in the world to seeing YOU.-- Very far from it , indeed . "
Elinor Dashwood	silent	"Mrs. Ferrars is one of the most affectionate mothers in the world . "" Elinor was silent . "
Elinor Dashwood	glad	"Has Colonel Brandon been with you lately ? "" Elinor had heard enough , if not to gratify her vanity , and raise her self - importance , to agitate her nerves and fill her mind;--and she was therefore glad to be spared from the necessity of saying much in reply herself , and from the danger of hearing any thing more from her brother , by the entrance of Mr. Robert Ferrars . "
Elinor Dashwood	ready	But a day spent in sitting shivering over the fire with a book in her hand , which she was unable to read , or in lying , weary and languid , on a sofa , did not speak much in favour of her amendment ; and when , at last , she went early to bed , more and more indisposed , Colonel Brandon was only astonished at her sister 's composure , who , though attending and nursing her the whole day , against Marianne inclination , and forcing proper medicines on her at night , trusted , like Marianne , to the certainty and efficacy of sleep , and felt no real alarm . A very restless and feverish night , however , disappointed the expectation of both ; and when Marianne , after persisting in rising , confessed herself unable to sit up , and returned voluntarily to her bed , Elinor was very ready to adopt Mrs. Jennings 's advice , of sending for the Palmers ' apothecary . 
Elinor Dashwood	cheerfulness	Elinor , confirmed in every pleasant hope , was all cheerfulness ; rejoicing that in her letters to her mother , she had pursued her own judgment rather than her friend 's , in making very light of the indisposition which delayed them at Cleveland ; and almost fixing on the time when Marianne would be able to travel . 
Elinor Dashwood	cheerful	Marianne was in every respect materially better , and he declared her entirely out of danger . Mrs. Jennings , perhaps satisfied with the partial justification of her forebodings which had been found in their late alarm , allowed herself to trust in his judgment , and admitted , with unfeigned joy , and soon with unequivocal cheerfulness , the probability of an entire recovery . Elinor could not be cheerful . Her joy was of a different kind , and led to any thing rather than to gaiety . 
Elinor Dashwood	rascal	I mean to offer some kind of explanation , some kind of apology , for the past ; to open my whole heart to you , and by convincing you , that though I have been always a blockhead , I have not been always a rascal , to obtain something like forgiveness from Ma -- from your sister . 
Elinor Dashwood	glad	talking to myself of our past attachment as a mere idle , trifling business , shrugging up my shoulders in proof of its being so , and silencing every reproach , overcoming every scruple , by secretly saying now and then , ' I shall be heartily glad to hear she is well married . 
Elinor Dashwood	determined	I sent no answer to Marianne , intending by that to preserve myself from her farther notice ; and for some time I was even determined not to call in Berkeley Street;--but at last , judging it wiser to affect the air of a cool , common acquaintance than anything else , I watched you all safely out of the house one morning , and left my name . 
Elinor Dashwood	ashamed	"And , in short -- what do you think of my wife 's style of letter - writing?--delicate -- tender-- truly feminine -- was it not ? "" "" Your wife!--The letter was in your own hand - writing . "" "" Yes , but I had only the credit of servilely copying such sentences as I was ashamed to put my name to . "
Elinor Dashwood	inclined	"And I believe Marianne will be the most happy with him of the two . "" Elinor was half inclined to ask her reason for thinking so , because satisfied that none founded on an impartial consideration of their age , characters , or feelings , could be given;--but her mother must always be carried away by her imagination on any interesting subject , and therefore instead of an inquiry , she passed it off with a smile . "" "
Elinor Dashwood	ready	"To Mrs. Jennings , to the Middletons , he has been long and intimately known ; they equally love and respect him ; and even my own knowledge of him , though lately acquired , is very considerable ; and so highly do I value and esteem him , that if Marianne can be happy with him , I shall be as ready as yourself to think our connection the greatest blessing to us in the world . What answer did you give him?--Did you allow him to hope ? "" "" Oh ! "
Elinor Dashwood	afraid	"Elinor looked as if she wished to hear more . "" Did you see them off , before you came away ? "" "" No , ma'am -- the horses were just coming out , but I could not bide any longer ; I was afraid of being late . "" "" Did Mrs. Ferrars look well ? "" "" Yes , ma'am , she said how she was very well ; and to my mind she was always a very handsome young lady -- and she seemed vastly contented . "" Mrs. Dashwood could think of no other question , and Thomas and the tablecloth , now alike needless , were soon afterwards dismissed . "
Elinor Dashwood	mistress	"I WILL be calm ; I WILL be mistress of myself . "" In a moment she perceived that the others were likewise aware of the mistake . She saw her mother and Marianne change colour ; saw them look at herself , and whisper a few sentences to each other . "
Elinor Dashwood	every	Comparisons would occur -- regrets would arise;--and her joy , though sincere as her love for her sister , was of a kind to give her neither spirits nor language . But Elinor -- how are HER feelings to be described?--From the moment of learning that Lucy was married to another , that Edward was free , to the moment of his justifying the hopes which had so instantly followed , she was every thing by turns but tranquil . 
Elinor Dashwood	thing	Comparisons would occur -- regrets would arise;--and her joy , though sincere as her love for her sister , was of a kind to give her neither spirits nor language . But Elinor -- how are HER feelings to be described?--From the moment of learning that Lucy was married to another , that Edward was free , to the moment of his justifying the hopes which had so instantly followed , she was every thing by turns but tranquil . 
