Character	Role	Event	Context
Anne Elliot	agent	know	I never saw quite so wretched an example of what a sea - faring life can do ; but to a degree , I know it is the same with them all : they are all knocked about , and exposed to every climate , and every weather , till they are not fit to be seen . 
Anne Elliot	agent	know	I never saw quite so wretched an example of what a sea - faring life can do ; but to a degree , I know it is the same with them all : they are all knocked about , and exposed to every climate , and every weather , till they are not fit to be seen . 
Anne Elliot	agent	say	"In fact , as I have long been convinced , though every profession is necessary and honourable in its turn , it is only the lot of those who are not obliged to follow any , who can live in a regular way , in the country , choosing their own hours , following their own pursuits , and living on their own property , without the torment of trying for more ; it is only their lot , I say , to hold the blessings of health and a good appearance to the utmost : I know no other set of men but what lose something of their personableness when they cease to be quite young . "" "
Anne Elliot	agent	know	"In fact , as I have long been convinced , though every profession is necessary and honourable in its turn , it is only the lot of those who are not obliged to follow any , who can live in a regular way , in the country , choosing their own hours , following their own pursuits , and living on their own property , without the torment of trying for more ; it is only their lot , I say , to hold the blessings of health and a good appearance to the utmost : I know no other set of men but what lose something of their personableness when they cease to be quite young . "" "
Anne Elliot	agent	believe	"He was in the Trafalgar action , and has been in the East Indies since ; he was stationed there , I believe , several years . "" "" Then I take it for granted , "" observed Sir Walter , "" that his face is about as orange as the cuffs and capes of my livery . "" "
Anne Elliot	agent	suppose	"A name that I am so very well acquainted with ; knew the gentleman so well by sight ; seen him a hundred times ; came to consult me once , I remember , about a trespass of one of his neighbours ; farmer 's man breaking into his orchard ; wall torn down ; apples stolen ; caught in the fact ; and afterwards , contrary to my judgement , submitted to an amicable compromise . Very odd indeed ! "" After waiting another moment-- "" You mean Mr Wentworth , I suppose ? "" said Anne . "
Anne Elliot	agent	said	"A name that I am so very well acquainted with ; knew the gentleman so well by sight ; seen him a hundred times ; came to consult me once , I remember , about a trespass of one of his neighbours ; farmer 's man breaking into his orchard ; wall torn down ; apples stolen ; caught in the fact ; and afterwards , contrary to my judgement , submitted to an amicable compromise . Very odd indeed ! "" After waiting another moment-- "" You mean Mr Wentworth , I suppose ? "" said Anne . "
Anne Elliot	agent	walked	"such an end been reached , than Anne , who had been a most attentive listener to the whole , left the room , to seek the comfort of cool air for her flushed cheeks ; and as she walked along a favourite grove , said , with a gentle sigh , "" A few months more , and he , perhaps , may be walking here . "
Anne Elliot	agent	had	Half the sum of attraction , on either side , might have been enough , for he had nothing to do , and she had hardly anybody to love ; but the encounter of such lavish recommendations could not fail . 
Anne Elliot	agent	combat	Such opposition , as these feelings produced , was more than Anne could combat . Young and gentle as she was , it might yet have been possible to withstand her father 's ill - will , though unsoftened by one kind word or look on the part of her sister ; but Lady Russell , whom she had always loved and relied on , could not , with such steadiness of opinion , and such tenderness of manner , be continually advising her in vain . 
Anne Elliot	agent	loved	Such opposition , as these feelings produced , was more than Anne could combat . Young and gentle as she was , it might yet have been possible to withstand her father 's ill - will , though unsoftened by one kind word or look on the part of her sister ; but Lady Russell , whom she had always loved and relied on , could not , with such steadiness of opinion , and such tenderness of manner , be continually advising her in vain . 
Anne Elliot	agent	relied	Such opposition , as these feelings produced , was more than Anne could combat . Young and gentle as she was , it might yet have been possible to withstand her father 's ill - will , though unsoftened by one kind word or look on the part of her sister ; but Lady Russell , whom she had always loved and relied on , could not , with such steadiness of opinion , and such tenderness of manner , be continually advising her in vain . 
Anne Elliot	agent	acted	She was persuaded to believe the engagement a wrong thing : indiscreet , improper , hardly capable of success , and not deserving it . But it was not a merely selfish caution , under which she acted , in putting an end to it . 
Anne Elliot	agent	consulting	Had she not imagined herself consulting his good , even more than her own , she could hardly have given him up . The belief of being prudent , and self - denying , principally for his advantage , 
Anne Elliot	agent	given	Had she not imagined herself consulting his good , even more than her own , she could hardly have given him up . The belief of being prudent , and self - denying , principally for his advantage , 
Anne Elliot	agent	denying	Had she not imagined herself consulting his good , even more than her own , she could hardly have given him up . The belief of being prudent , and self - denying , principally for his advantage , 
Anne Elliot	agent	had	was required , for she had to encounter all the additional pain of opinions , on his side , totally unconvinced and unbending , and of his feeling himself ill used by so forced a relinquishment . He had left the country in consequence . 
Anne Elliot	agent	left	But in this case , Anne had left nothing for advice to do ; and though Lady Russell , as satisfied as ever with her own discretion , never wished the past undone , she began now to have the anxiety which borders on hopelessness for Anne 's being tempted , by some man of talents and independence , to enter a state for which she held her to be peculiarly fitted by her warm affections and domestic habits . They knew not each other 's opinion , either its constancy or its change , on the one leading point of Anne 's conduct , for the subject was never alluded to ; but Anne , at seven - and - twenty , thought very differently from what she had been made to think at nineteen . She did not blame Lady Russell , she did not blame herself for having been guided by her ; but she felt that were any young person , in similar circumstances , to apply to her for counsel , they would never receive any of such certain immediate wretchedness , such uncertain future good . 
Anne Elliot	agent	wished	But in this case , Anne had left nothing for advice to do ; and though Lady Russell , as satisfied as ever with her own discretion , never wished the past undone , she began now to have the anxiety which borders on hopelessness for Anne 's being tempted , by some man of talents and independence , to enter a state for which she held her to be peculiarly fitted by her warm affections and domestic habits . They knew not each other 's opinion , either its constancy or its change , on the one leading point of Anne 's conduct , for the subject was never alluded to ; but Anne , at seven - and - twenty , thought very differently from what she had been made to think at nineteen . She did not blame Lady Russell , she did not blame herself for having been guided by her ; but she felt that were any young person , in similar circumstances , to apply to her for counsel , they would never receive any of such certain immediate wretchedness , such uncertain future good . 
Anne Elliot	agent	thought	But in this case , Anne had left nothing for advice to do ; and though Lady Russell , as satisfied as ever with her own discretion , never wished the past undone , she began now to have the anxiety which borders on hopelessness for Anne 's being tempted , by some man of talents and independence , to enter a state for which she held her to be peculiarly fitted by her warm affections and domestic habits . They knew not each other 's opinion , either its constancy or its change , on the one leading point of Anne 's conduct , for the subject was never alluded to ; but Anne , at seven - and - twenty , thought very differently from what she had been made to think at nineteen . She did not blame Lady Russell , she did not blame herself for having been guided by her ; but she felt that were any young person , in similar circumstances , to apply to her for counsel , they would never receive any of such certain immediate wretchedness , such uncertain future good . 
Anne Elliot	agent	blame	But in this case , Anne had left nothing for advice to do ; and though Lady Russell , as satisfied as ever with her own discretion , never wished the past undone , she began now to have the anxiety which borders on hopelessness for Anne 's being tempted , by some man of talents and independence , to enter a state for which she held her to be peculiarly fitted by her warm affections and domestic habits . They knew not each other 's opinion , either its constancy or its change , on the one leading point of Anne 's conduct , for the subject was never alluded to ; but Anne , at seven - and - twenty , thought very differently from what she had been made to think at nineteen . She did not blame Lady Russell , she did not blame herself for having been guided by her ; but she felt that were any young person , in similar circumstances , to apply to her for counsel , they would never receive any of such certain immediate wretchedness , such uncertain future good . 
Anne Elliot	agent	felt	But in this case , Anne had left nothing for advice to do ; and though Lady Russell , as satisfied as ever with her own discretion , never wished the past undone , she began now to have the anxiety which borders on hopelessness for Anne 's being tempted , by some man of talents and independence , to enter a state for which she held her to be peculiarly fitted by her warm affections and domestic habits . They knew not each other 's opinion , either its constancy or its change , on the one leading point of Anne 's conduct , for the subject was never alluded to ; but Anne , at seven - and - twenty , thought very differently from what she had been made to think at nineteen . She did not blame Lady Russell , she did not blame herself for having been guided by her ; but she felt that were any young person , in similar circumstances , to apply to her for counsel , they would never receive any of such certain immediate wretchedness , such uncertain future good . 
Anne Elliot	agent	blame	But in this case , Anne had left nothing for advice to do ; and though Lady Russell , as satisfied as ever with her own discretion , never wished the past undone , she began now to have the anxiety which borders on hopelessness for Anne 's being tempted , by some man of talents and independence , to enter a state for which she held her to be peculiarly fitted by her warm affections and domestic habits . They knew not each other 's opinion , either its constancy or its change , on the one leading point of Anne 's conduct , for the subject was never alluded to ; but Anne , at seven - and - twenty , thought very differently from what she had been made to think at nineteen . She did not blame Lady Russell , she did not blame herself for having been guided by her ; but she felt that were any young person , in similar circumstances , to apply to her for counsel , they would never receive any of such certain immediate wretchedness , such uncertain future good . 
Anne Elliot	agent	blame	But in this case , Anne had left nothing for advice to do ; and though Lady Russell , as satisfied as ever with her own discretion , never wished the past undone , she began now to have the anxiety which borders on hopelessness for Anne 's being tempted , by some man of talents and independence , to enter a state for which she held her to be peculiarly fitted by her warm affections and domestic habits . They knew not each other 's opinion , either its constancy or its change , on the one leading point of Anne 's conduct , for the subject was never alluded to ; but Anne , at seven - and - twenty , thought very differently from what she had been made to think at nineteen . She did not blame Lady Russell , she did not blame herself for having been guided by her ; but she felt that were any young person , in similar circumstances , to apply to her for counsel , they would never receive any of such certain immediate wretchedness , such uncertain future good . 
Anne Elliot	agent	felt	But in this case , Anne had left nothing for advice to do ; and though Lady Russell , as satisfied as ever with her own discretion , never wished the past undone , she began now to have the anxiety which borders on hopelessness for Anne 's being tempted , by some man of talents and independence , to enter a state for which she held her to be peculiarly fitted by her warm affections and domestic habits . They knew not each other 's opinion , either its constancy or its change , on the one leading point of Anne 's conduct , for the subject was never alluded to ; but Anne , at seven - and - twenty , thought very differently from what she had been made to think at nineteen . She did not blame Lady Russell , she did not blame herself for having been guided by her ; but she felt that were any young person , in similar circumstances , to apply to her for counsel , they would never receive any of such certain immediate wretchedness , such uncertain future good . 
Anne Elliot	agent	believed	She was persuaded that under every disadvantage of disapprobation at home , and every anxiety attending his profession , all their probable fears , delays , and disappointments , she should yet have been a happier woman in maintaining the engagement , than she had been in the sacrifice of it ; and this , she fully believed , had the usual share , had even more than the usual share of all such solicitudes and suspense been theirs , without reference to the actual results of their case , which , as it happened , would have bestowed earlier prosperity than could be reasonably calculated on . 
Anne Elliot	agent	had	She had only navy lists and newspapers for her authority , but she could not doubt his being rich ; and , in favour of his constancy , she had no reason to believe him married . 
Anne Elliot	agent	doubt	She had only navy lists and newspapers for her authority , but she could not doubt his being rich ; and , in favour of his constancy , she had no reason to believe him married . 
Anne Elliot	agent	doubt	She had only navy lists and newspapers for her authority , but she could not doubt his being rich ; and , in favour of his constancy , she had no reason to believe him married . 
Anne Elliot	agent	had	She had only navy lists and newspapers for her authority , but she could not doubt his being rich ; and , in favour of his constancy , she had no reason to believe him married . 
Anne Elliot	agent	had	She had only navy lists and newspapers for her authority , but she could not doubt his being rich ; and , in favour of his constancy , she had no reason to believe him married . 
Anne Elliot	agent	learned	how eloquent , at least , were her wishes on the side of early warm attachment , and a cheerful confidence in futurity , against that over - anxious caution which seems to insult exertion and distrust Providence ! She had been forced into prudence in her youth , she learned romance as she grew older : the natural sequel of an unnatural beginning . 
Anne Elliot	agent	grew	how eloquent , at least , were her wishes on the side of early warm attachment , and a cheerful confidence in futurity , against that over - anxious caution which seems to insult exertion and distrust Providence ! She had been forced into prudence in her youth , she learned romance as she grew older : the natural sequel of an unnatural beginning . 
Anne Elliot	agent	hear	With all these circumstances , recollections and feelings , she could not hear that Captain Wentworth 's sister was likely to live at Kellynch without a revival of former pain ; and many a stroll , and many a sigh , were necessary to dispel the agitation of the idea . 
Anne Elliot	agent	told	She often told herself it was folly , before she could harden her nerves sufficiently to feel the continual discussion of the Crofts and their business no evil . She was assisted , however , by that perfect indifference and apparent unconsciousness , among the only three of her own friends in the secret of the past , which seemed almost to deny any recollection of it . 
Anne Elliot	agent	harden	She often told herself it was folly , before she could harden her nerves sufficiently to feel the continual discussion of the Crofts and their business no evil . She was assisted , however , by that perfect indifference and apparent unconsciousness , among the only three of her own friends in the secret of the past , which seemed almost to deny any recollection of it . 
Anne Elliot	agent	do	She could do justice to the superiority of Lady Russell 's motives in this , over those of her father and Elizabeth ; she could honour all the better feelings of her calmness ; but the general air of oblivion among them was highly important from whatever it sprung ; and in the event of Admiral Croft 's really taking Kellynch Hall , she rejoiced anew over the conviction which had always been most grateful to her , of the past being known to 
Anne Elliot	agent	honour	She could do justice to the superiority of Lady Russell 's motives in this , over those of her father and Elizabeth ; she could honour all the better feelings of her calmness ; but the general air of oblivion among them was highly important from whatever it sprung ; and in the event of Admiral Croft 's really taking Kellynch Hall , she rejoiced anew over the conviction which had always been most grateful to her , of the past being known to 
Anne Elliot	agent	honour	She could do justice to the superiority of Lady Russell 's motives in this , over those of her father and Elizabeth ; she could honour all the better feelings of her calmness ; but the general air of oblivion among them was highly important from whatever it sprung ; and in the event of Admiral Croft 's really taking Kellynch Hall , she rejoiced anew over the conviction which had always been most grateful to her , of the past being known to 
Anne Elliot	agent	rejoiced	She could do justice to the superiority of Lady Russell 's motives in this , over those of her father and Elizabeth ; she could honour all the better feelings of her calmness ; but the general air of oblivion among them was highly important from whatever it sprung ; and in the event of Admiral Croft 's really taking Kellynch Hall , she rejoiced anew over the conviction which had always been most grateful to her , of the past being known to 
Anne Elliot	agent	believed	she believed , would ever be whispered , and in the trust that among his , the brother only with whom he had been residing , had received 
Anne Elliot	agent	had	That brother had been long removed from the country and being a sensible man , and , moreover , a single man at the time , she had a fond dependence on no human creature 's having heard of it from him . 
Anne Elliot	agent	hoped	With these supports , she hoped that the acquaintance between herself and the Crofts , which , with Lady Russell , still resident in Kellynch , and Mary fixed only three miles off , must be anticipated , need not involve any particular awkwardness . 
Anne Elliot	agent	found	Chapter 5 On the morning appointed for Admiral and Mrs Croft 's seeing Kellynch Hall , Anne found it most natural to take her almost daily walk to Lady Russell 's , and keep out of the way till all was over ; when she found it most natural to be sorry that she had missed the opportunity of seeing them . This meeting of the two parties proved highly satisfactory , and decided the whole business at once . 
Anne Elliot	agent	keep	Chapter 5 On the morning appointed for Admiral and Mrs Croft 's seeing Kellynch Hall , Anne found it most natural to take her almost daily walk to Lady Russell 's , and keep out of the way till all was over ; when she found it most natural to be sorry that she had missed the opportunity of seeing them . This meeting of the two parties proved highly satisfactory , and decided the whole business at once . 
Anne Elliot	agent	found	Chapter 5 On the morning appointed for Admiral and Mrs Croft 's seeing Kellynch Hall , Anne found it most natural to take her almost daily walk to Lady Russell 's , and keep out of the way till all was over ; when she found it most natural to be sorry that she had missed the opportunity of seeing them . This meeting of the two parties proved highly satisfactory , and decided the whole business at once . 
Anne Elliot	agent	missed	Chapter 5 On the morning appointed for Admiral and Mrs Croft 's seeing Kellynch Hall , Anne found it most natural to take her almost daily walk to Lady Russell 's , and keep out of the way till all was over ; when she found it most natural to be sorry that she had missed the opportunity of seeing them . This meeting of the two parties proved highly satisfactory , and decided the whole business at once . 
Anne Elliot	agent	hurried	Lady Russell , convinced that Anne would not be allowed to be of any use , or any importance , in the choice of the house which they were going to secure , was very unwilling to have her hurried away so soon , and wanted to make it possible for her to stay behind till she might convey her to Bath herself after Christmas ; but having engagements of her own which must take her from Kellynch for several weeks , she was unable to give the full invitation she wished , and 
Anne Elliot	agent	stay	Lady Russell , convinced that Anne would not be allowed to be of any use , or any importance , in the choice of the house which they were going to secure , was very unwilling to have her hurried away so soon , and wanted to make it possible for her to stay behind till she might convey her to Bath herself after Christmas ; but having engagements of her own which must take her from Kellynch for several weeks , she was unable to give the full invitation she wished , and 
Anne Elliot	agent	wished	Lady Russell , convinced that Anne would not be allowed to be of any use , or any importance , in the choice of the house which they were going to secure , was very unwilling to have her hurried away so soon , and wanted to make it possible for her to stay behind till she might convey her to Bath herself after Christmas ; but having engagements of her own which must take her from Kellynch for several weeks , she was unable to give the full invitation she wished , and 
Anne Elliot	agent	wished	Anne though dreading the possible heats of September in all the white glare of Bath , and grieving to forego all the influence so sweet and so sad of the autumnal months in the country , did not think that , everything considered , she wished to remain . It would be most right , and most wise , and , therefore must involve least suffering to go with the others . Something occurred , however , to give her a different duty . 
Anne Elliot	agent	have	Mary , often a little unwell , and always thinking a great deal of her own complaints , and always in the habit of claiming Anne when anything was the matter , was indisposed ; and foreseeing that she should not have a day 's health all the autumn , entreated , or rather required her , for it was hardly entreaty , to come to Uppercross Cottage , and bear her company as long as she should want her , instead of going to Bath . 
Anne Elliot	agent	want	Mary , often a little unwell , and always thinking a great deal of her own complaints , and always in the habit of claiming Anne when anything was the matter , was indisposed ; and foreseeing that she should not have a day 's health all the autumn , entreated , or rather required her , for it was hardly entreaty , to come to Uppercross Cottage , and bear her company as long as she should want her , instead of going to Bath . 
Anne Elliot	agent	go	This invitation of Mary 's removed all Lady Russell 's difficulties , and it was consequently soon settled that Anne should not go to Bath till Lady Russell took her , and that all the intervening time should be divided between Uppercross Cottage and Kellynch Lodge . 
Anne Elliot	agent	felt	Anne herself was become hardened to such affronts ; but she felt the imprudence of the arrangement quite as keenly as Lady Russell . 
Anne Elliot	agent	wished	With a great deal of quiet observation , and a knowledge , which she often wished less , of her father 's character , she was sensible that results the most serious to his family from the intimacy were more than possible . She did not imagine that her father had at present an idea of the kind . 
Anne Elliot	agent	imagine	With a great deal of quiet observation , and a knowledge , which she often wished less , of her father 's character , she was sensible that results the most serious to his family from the intimacy were more than possible . She did not imagine that her father had at present an idea of the kind . 
Anne Elliot	agent	excuse	Anne was so impressed by the degree of their danger , that she could not excuse herself from trying to make it perceptible to her sister . 
Anne Elliot	agent	replied	""" There is hardly any personal defect , "" replied Anne , "" which an agreeable manner might not gradually reconcile one to . "
Anne Elliot	agent	done	""" Anne had done ; glad that it was over , and not absolutely hopeless of doing good . "
Anne Elliot	agent	walked	Anne walked up at the same time , in a sort of desolate tranquillity , to the Lodge , where she was to spend the first week . Her friend was not in better spirits than herself . 
Anne Elliot	agent	determined	It was painful to look upon their deserted grounds , and still worse to anticipate the new hands they were to fall into ; and to escape the solitariness and the melancholy of so altered a village , and be out of the way when Admiral and Mrs Croft first arrived , she had determined to make her own absence from home begin when she must give up Anne . 
Anne Elliot	agent	give	It was painful to look upon their deserted grounds , and still worse to anticipate the new hands they were to fall into ; and to escape the solitariness and the melancholy of so altered a village , and be out of the way when Admiral and Mrs Croft first arrived , she had determined to make her own absence from home begin when she must give up Anne . 
Anne Elliot	agent	staying	Here Anne had often been staying . 
Anne Elliot	agent	knew	She knew the ways of Uppercross as well as those of Kellynch . 
