Character	Role	Event	Context
Elizabeth Bennet	agent	hear	They insist also on my seeing Mr. Jones -- therefore do not be alarmed if you should hear of his having been to me -- and , excepting a sore throat and a headache , there is not much the matter with me . 
Elizabeth Bennet	agent	read	“ Well , my dear , ” said Mr. Bennet , when Elizabeth had read the note aloud , “ if your daughter should have a dangerous fit of illness -- if she should die -- it would be a comfort to know that it was all in pursuit of Mr. Bingley , and under your orders . ” 
Elizabeth Bennet	agent	go	I would go and see her if I could have the carriage . 
Elizabeth Bennet	agent	see	I would go and see her if I could have the carriage . 
Elizabeth Bennet	agent	have	I would go and see her if I could have the carriage . 
Elizabeth Bennet	agent	determined	Elizabeth , feeling really anxious , determined to go to her , though the carriage was not to be had : and as she was no horsewoman , walking was her only alternative . 
Elizabeth Bennet	agent	declared	She declared her resolution . 
Elizabeth Bennet	agent	get	You will not be fit to be seen when you get there . ” 
Elizabeth Bennet	agent	accepted	Elizabeth accepted their company , and the three young ladies set off together . 
Elizabeth Bennet	agent	set	Elizabeth accepted their company , and the three young ladies set off together . 
Elizabeth Bennet	agent	continued	In Meryton they parted : the two youngest repaired to the lodgings of one of the officers ’ wives , and Elizabeth continued her walk alone , crossing field after field at a quick pace , jumping over stiles and springing over puddles , with impatient activity , and finding herself at last within view of the house , with weary ancles , dirty stockings , and a face glowing with the warmth of exercise . 
Elizabeth Bennet	agent	walked	That she should have walked three miles so early in the day in such dirty weather , and by herself , was almost incredible to Mrs. Hurst and Miss Bingley ; and Elizabeth was convinced that they held her in contempt for it . 
Elizabeth Bennet	agent	coming	The former was divided between admiration of the brilliancy which exercise had given to her complexion and doubt as to the occasion ’s justifying her coming so far alone . 
Elizabeth Bennet	agent	slept	Miss Bennet had slept ill , and though up , was very feverish , and not well enough to leave her room . 
Elizabeth Bennet	agent	attended	Elizabeth silently attended her . 
Elizabeth Bennet	agent	saw	When breakfast was over , they were joined by the sisters ; and Elizabeth began to like them herself , when she saw how much affection and solicitude they showed for Jane . 
Elizabeth Bennet	agent	quit	Elizabeth did not quit her room for a moment , nor were the other ladies often absent ; the gentlemen being out , they had in fact nothing to do elsewhere . 
Elizabeth Bennet	agent	felt	When the clock struck three , Elizabeth felt that she must go , and very unwillingly said so . 
Elizabeth Bennet	agent	said	When the clock struck three , Elizabeth felt that she must go , and very unwillingly said so . 
Elizabeth Bennet	agent	go	When the clock struck three , Elizabeth felt that she must go , and very unwillingly said so . 
Elizabeth Bennet	agent	consented	Elizabeth most thankfully consented , and a servant was despatched to Longbourn , to acquaint the family with her stay , and bring back a supply of clothes . 
Elizabeth Bennet	agent	despatched	Elizabeth most thankfully consented , and a servant was despatched to Longbourn , to acquaint the family with her stay , and bring back a supply of clothes . 
Elizabeth Bennet	agent	had	To the civil inquiries which then poured in , and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr. Bingley , she could not make a very favourable answer . 
Elizabeth Bennet	agent	make	To the civil inquiries which then poured in , and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr. Bingley , she could not make a very favourable answer . 
Elizabeth Bennet	agent	feeling	they prevented her feeling herself so much an intruder as she believed she was considered by the others . 
Elizabeth Bennet	agent	believed	they prevented her feeling herself so much an intruder as she believed she was considered by the others . 
Elizabeth Bennet	agent	had	She had very little notice from any but him . 
Elizabeth Bennet	agent	sat	Miss Bingley was engrossed by Mr. Darcy , her sister scarcely less so ; and as for Mr. Hurst , by whom Elizabeth sat , he was an indolent man , who lived only to eat , drink , and play at cards , who , when he found her prefer a plain dish to a ragout , had nothing to say to her . 
Elizabeth Bennet	agent	prefer	Miss Bingley was engrossed by Mr. Darcy , her sister scarcely less so ; and as for Mr. Hurst , by whom Elizabeth sat , he was an indolent man , who lived only to eat , drink , and play at cards , who , when he found her prefer a plain dish to a ragout , had nothing to say to her . 
Elizabeth Bennet	agent	returned	When dinner was over , she returned directly to Jane , and Miss Bingley began abusing her as soon as she was out of the room . 
Elizabeth Bennet	agent	abusing	When dinner was over , she returned directly to Jane , and Miss Bingley began abusing her as soon as she was out of the room . 
Elizabeth Bennet	agent	has	Mrs. Hurst thought the same , and added,-- “ She has nothing , in short , to recommend her , but being an excellent walker . 
Elizabeth Bennet	agent	did	“ She did indeed , Louisa . 
Elizabeth Bennet	agent	scampering	Very nonsensical to come at all ! Why must _ she _ be scampering about the country , because her sister had a cold ? 
Elizabeth Bennet	agent	looked	I thought Miss Elizabeth Bennet looked remarkably well when she came into the room this morning . 
Elizabeth Bennet	agent	came	I thought Miss Elizabeth Bennet looked remarkably well when she came into the room this morning . 
Elizabeth Bennet	agent	mean	what could she mean by it ? 
Elizabeth Bennet	agent	quit	She was still very poorly , and Elizabeth would not quit her at all , till 
Elizabeth Bennet	agent	had	late in the evening , when she had the comfort of seeing her asleep , and when it appeared to her rather right than pleasant that she should go down stairs herself . 
Elizabeth Bennet	agent	go	late in the evening , when she had the comfort of seeing her asleep , and when it appeared to her rather right than pleasant that she should go down stairs herself . 
Elizabeth Bennet	agent	found	On entering the drawing - room , she found the whole party at loo , and was immediately invited to join them ; but suspecting them to be playing high , she declined it , and making her sister the excuse , said she would amuse herself , for the short time she could stay below , with a book . 
Elizabeth Bennet	agent	invited	On entering the drawing - room , she found the whole party at loo , and was immediately invited to join them ; but suspecting them to be playing high , she declined it , and making her sister the excuse , said she would amuse herself , for the short time she could stay below , with a book . 
Elizabeth Bennet	agent	suspecting	On entering the drawing - room , she found the whole party at loo , and was immediately invited to join them ; but suspecting them to be playing high , she declined it , and making her sister the excuse , said she would amuse herself , for the short time she could stay below , with a book . 
Elizabeth Bennet	agent	declined	On entering the drawing - room , she found the whole party at loo , and was immediately invited to join them ; but suspecting them to be playing high , she declined it , and making her sister the excuse , said she would amuse herself , for the short time she could stay below , with a book . 
Elizabeth Bennet	agent	making	On entering the drawing - room , she found the whole party at loo , and was immediately invited to join them ; but suspecting them to be playing high , she declined it , and making her sister the excuse , said she would amuse herself , for the short time she could stay below , with a book . 
Elizabeth Bennet	agent	said	On entering the drawing - room , she found the whole party at loo , and was immediately invited to join them ; but suspecting them to be playing high , she declined it , and making her sister the excuse , said she would amuse herself , for the short time she could stay below , with a book . 
Elizabeth Bennet	agent	amuse	On entering the drawing - room , she found the whole party at loo , and was immediately invited to join them ; but suspecting them to be playing high , she declined it , and making her sister the excuse , said she would amuse herself , for the short time she could stay below , with a book . 
Elizabeth Bennet	agent	stay	On entering the drawing - room , she found the whole party at loo , and was immediately invited to join them ; but suspecting them to be playing high , she declined it , and making her sister the excuse , said she would amuse herself , for the short time she could stay below , with a book . 
Elizabeth Bennet	agent	prefer	“ Do you prefer reading to cards ? ” said he ; “ that is rather singular . ” 
Elizabeth Bennet	agent	despises	“ Miss Eliza Bennet , ” said Miss Bingley , “ despises cards . 
Elizabeth Bennet	agent	deserve	She is a great reader , and has no pleasure in anything else . ” “ I deserve neither such praise nor such censure , ” cried Elizabeth ; “ I am _ not _ a great reader , and I have pleasure in many things . ” “ In nursing your sister I am sure you have pleasure , ” said Bingley ; “ and 
Elizabeth Bennet	agent	cried	She is a great reader , and has no pleasure in anything else . ” “ I deserve neither such praise nor such censure , ” cried Elizabeth ; “ I am _ not _ a great reader , and I have pleasure in many things . ” “ In nursing your sister I am sure you have pleasure , ” said Bingley ; “ and 
Elizabeth Bennet	agent	have	She is a great reader , and has no pleasure in anything else . ” “ I deserve neither such praise nor such censure , ” cried Elizabeth ; “ I am _ not _ a great reader , and I have pleasure in many things . ” “ In nursing your sister I am sure you have pleasure , ” said Bingley ; “ and 
Elizabeth Bennet	agent	have	She is a great reader , and has no pleasure in anything else . ” “ I deserve neither such praise nor such censure , ” cried Elizabeth ; “ I am _ not _ a great reader , and I have pleasure in many things . ” “ In nursing your sister I am sure you have pleasure , ” said Bingley ; “ and 
Elizabeth Bennet	agent	thanked	I hope it will soon be increased by seeing her quite well . ” Elizabeth thanked him from her heart , and then walked towards a table where a few books were lying . 
Elizabeth Bennet	agent	walked	I hope it will soon be increased by seeing her quite well . ” Elizabeth thanked him from her heart , and then walked towards a table where a few books were lying . 
Elizabeth Bennet	agent	assured	Elizabeth assured him that she could suit herself perfectly with those in the room . 
Elizabeth Bennet	agent	suit	Elizabeth assured him that she could suit herself perfectly with those in the room . 
Elizabeth Bennet	agent	have	“ I am astonished , ” said Miss Bingley , “ that my father should have left so small a collection of books . What a delightful library you have at Pemberley , Mr. Darcy ! ” 
Elizabeth Bennet	agent	added	“ And then you have added so much to it yourself -- you are always buying books . ” 
Elizabeth Bennet	agent	buying	“ And then you have added so much to it yourself -- you are always buying books . ” 
Elizabeth Bennet	agent	neglect	I am sure you neglect nothing that can add to the beauties of that noble place . 
Elizabeth Bennet	agent	build	Charles , when you build _ your _ house , I wish it may be half as delightful as Pemberley . ” 
Elizabeth Bennet	agent	caught	Elizabeth was so much caught by what passed , as to leave her very little attention for her book ; and , soon laying it wholly aside , she drew near the card - table , and stationed herself between Mr. Bingley and his eldest sister , to observe the game . 
Elizabeth Bennet	agent	drew	Elizabeth was so much caught by what passed , as to leave her very little attention for her book ; and , soon laying it wholly aside , she drew near the card - table , and stationed herself between Mr. Bingley and his eldest sister , to observe the game . 
Elizabeth Bennet	agent	drew	Elizabeth was so much caught by what passed , as to leave her very little attention for her book ; and , soon laying it wholly aside , she drew near the card - table , and stationed herself between Mr. Bingley and his eldest sister , to observe the game . 
Elizabeth Bennet	agent	stationed	Elizabeth was so much caught by what passed , as to leave her very little attention for her book ; and , soon laying it wholly aside , she drew near the card - table , and stationed herself between Mr. Bingley and his eldest sister , to observe the game . 
Elizabeth Bennet	agent	observed	“ Then , ” observed Elizabeth , “ you must comprehend a great deal in your idea of an accomplished woman . ” 
Elizabeth Bennet	agent	left	As all conversation was thereby at an end , Elizabeth soon afterwards left the room . 
Elizabeth Bennet	agent	joined	Elizabeth joined them again only to say that her sister was worse , and that she could not leave her . 
Elizabeth Bennet	agent	leave	Elizabeth joined them again only to say that her sister was worse , and that she could not leave her . 
Elizabeth Bennet	agent	hear	This she would not hear of ; but she was not so unwilling to comply with their brother ’s proposal ; and it was settled that Mr. Jones should be sent for early in the morning , if Miss Bennet were not decidedly better . 
Elizabeth Bennet	agent	passed	Elizabeth passed the chief of the night in her sister ’s room , and in the morning had the pleasure of being able to send a tolerable answer to the inquiries which she very early received from Mr. Bingley by a housemaid , and some time afterwards from the two elegant ladies who waited on his sisters . 
Elizabeth Bennet	agent	had	Elizabeth passed the chief of the night in her sister ’s room , and in the morning had the pleasure of being able to send a tolerable answer to the inquiries which she very early received from Mr. Bingley by a housemaid , and some time afterwards from the two elegant ladies who waited on his sisters . 
Elizabeth Bennet	agent	received	Elizabeth passed the chief of the night in her sister ’s room , and in the morning had the pleasure of being able to send a tolerable answer to the inquiries which she very early received from Mr. Bingley by a housemaid , and some time afterwards from the two elegant ladies who waited on his sisters . 
Elizabeth Bennet	agent	requested	In spite of this amendment , however , she requested to have a note sent to Longbourn , desiring her mother to visit Jane , and form her own judgment of her situation . 
Elizabeth Bennet	agent	receive	“ You may depend upon it , madam , ” said Miss Bingley , with cold civility , “ that Miss Bennet shall receive every possible attention while she remains with us . ” 
Elizabeth Bennet	agent	has	“ I am sure , ” she added , “ if it was not for such good friends , I do not know what would become of her , for she is very ill indeed , and suffers a vast deal , though with the greatest patience in the world , which is always the way with her , for she has , without exception , 
Elizabeth Bennet	agent	supposed	At present , however , I consider myself as quite fixed here . ” “ That is exactly what I should have supposed of you , ” said Elizabeth . 
Elizabeth Bennet	agent	said	At present , however , I consider myself as quite fixed here . ” “ That is exactly what I should have supposed of you , ” said Elizabeth . 
Elizabeth Bennet	agent	begin	“ You begin to comprehend me , do you ? ” cried he , turning towards her . 
Elizabeth Bennet	agent	do	“ You begin to comprehend me , do you ? ” cried he , turning towards her . 
Elizabeth Bennet	agent	move	In a country neighbourhood you move in a very confined and unvarying society . ” 
Elizabeth Bennet	agent	said	“ Indeed , mamma , you are mistaken , ” said Elizabeth , blushing for her mother . 
Elizabeth Bennet	agent	acknowledge	He only meant that there was not such a variety of people to be met with in the country as in town , which you must acknowledge to be true . ” 
Elizabeth Bennet	agent	asked	Elizabeth , for the sake of saying something that might turn her mother ’s thoughts , now asked her if Charlotte Lucas had been at Longbourn since _ her _ coming away . 
Elizabeth Bennet	agent	said	“ And so ended his affection , ” said Elizabeth , impatiently . 
Elizabeth Bennet	agent	fancy	been many a one , I fancy , overcome in the same way . 
Elizabeth Bennet	agent	wonder	I wonder who first discovered the efficacy of poetry in driving away love ! ” 
Elizabeth Bennet	agent	longed	She longed to speak , but could think of nothing to say ; and after a short silence Mrs. Bennet began repeating her thanks to Mr. Bingley for his kindness to Jane , with an apology for troubling him also with Lizzy . 
Elizabeth Bennet	agent	think	She longed to speak , but could think of nothing to say ; and after a short silence Mrs. Bennet began repeating her thanks to Mr. Bingley for his kindness to Jane , with an apology for troubling him also with Lizzy . 
Elizabeth Bennet	agent	began	She longed to speak , but could think of nothing to say ; and after a short silence Mrs. Bennet began repeating her thanks to Mr. Bingley for his kindness to Jane , with an apology for troubling him also with Lizzy . 
Elizabeth Bennet	agent	returned	Mrs. Bennet and her daughters then departed , and Elizabeth returned instantly to Jane , leaving her own and her relations ’ behaviour to the remarks of the two ladies and Mr. Darcy ; the latter of whom , however , could not be prevailed on to join in their censure of _ her _ , in spite of all Miss Bingley ’s witticisms on _ fine eyes _ . 
Elizabeth Bennet	agent	joined	Mrs. Hurst and Miss Bingley had spent some hours of the morning with the invalid , who continued , though slowly , to mend ; and , in the evening , Elizabeth joined their party in the drawing - room . 
Elizabeth Bennet	agent	took	Elizabeth took up some needlework , and was sufficiently amused in attending to what passed between Darcy and his companion . 
Elizabeth Bennet	agent	said	“ Your humility , Mr. Bingley , ” said Elizabeth , “ must disarm reproof . ” 
Elizabeth Bennet	agent	cried	“ You have only proved by this , ” cried Elizabeth , “ that Mr. Bingley did not do justice to his own disposition . 
Elizabeth Bennet	agent	thought	Mr. Darcy smiled ; but Elizabeth thought she could perceive that he was rather offended , and therefore checked her laugh . 
Elizabeth Bennet	agent	checked	Mr. Darcy smiled ; but Elizabeth thought she could perceive that he was rather offended , and therefore checked her laugh . 
Elizabeth Bennet	agent	perceive	Mr. Darcy smiled ; but Elizabeth thought she could perceive that he was rather offended , and therefore checked her laugh . 
Elizabeth Bennet	agent	said	If you and Miss Bennet will defer yours till I am out of the room , I shall be very thankful ; and then you may say whatever you like of me . ” “ What you ask , ” said Elizabeth , “ is no sacrifice on my side ; and Mr. Darcy had much better finish his letter . ” 
Elizabeth Bennet	agent	lead	Miss Bingley moved with alacrity to the pianoforte , and after a polite request that Elizabeth would lead the way , which the other as politely and more earnestly negatived , she 
Elizabeth Bennet	agent	help	Mrs. Hurst sang with her sister ; and while they were thus employed , Elizabeth could not help observing , as she turned over some music - books that lay on the instrument , how frequently Mr. Darcy ’s eyes were fixed on her . 
Elizabeth Bennet	agent	turned	Mrs. Hurst sang with her sister ; and while they were thus employed , Elizabeth could not help observing , as she turned over some music - books that lay on the instrument , how frequently Mr. Darcy ’s eyes were fixed on her . 
Elizabeth Bennet	agent	knew	She hardly knew how to suppose that she could be an object of admiration to so great a man , and yet that he should look at her because he disliked her was still more strange . 
Elizabeth Bennet	agent	look	She hardly knew how to suppose that she could be an object of admiration to so great a man , and yet that he should look at her because he disliked her was still more strange . 
Elizabeth Bennet	agent	imagine	She could only imagine , however , at last , that she drew his notice because there was something about her more wrong and reprehensible , according to his ideas of right , than in any other person present . 
Elizabeth Bennet	agent	drew	She could only imagine , however , at last , that she drew his notice because there was something about her more wrong and reprehensible , according to his ideas of right , than in any other person present . 
Elizabeth Bennet	agent	liked	She liked him too little to care for his approbation . 
Elizabeth Bennet	agent	feel	After playing some Italian songs , Miss Bingley varied the charm by a lively Scotch air ; and soon afterwards Mr. Darcy , drawing near Elizabeth , said to her,-- “ Do you not feel a great inclination , Miss Bennet , to seize such an opportunity of dancing a reel ? ” She smiled , but made no answer . 
Elizabeth Bennet	agent	smiled	After playing some Italian songs , Miss Bingley varied the charm by a lively Scotch air ; and soon afterwards Mr. Darcy , drawing near Elizabeth , said to her,-- “ Do you not feel a great inclination , Miss Bennet , to seize such an opportunity of dancing a reel ? ” She smiled , but made no answer . 
Elizabeth Bennet	agent	made	After playing some Italian songs , Miss Bingley varied the charm by a lively Scotch air ; and soon afterwards Mr. Darcy , drawing near Elizabeth , said to her,-- “ Do you not feel a great inclination , Miss Bennet , to seize such an opportunity of dancing a reel ? ” She smiled , but made no answer . 
Elizabeth Bennet	agent	said	“ Oh , ” said she , “ I heard you before ; but I could not immediately determine what to say in reply . 
Elizabeth Bennet	agent	heard	“ Oh , ” said she , “ I heard you before ; but I could not immediately determine what to say in reply . 
Elizabeth Bennet	agent	determine	“ Oh , ” said she , “ I heard you before ; but I could not immediately determine what to say in reply . 
Elizabeth Bennet	agent	say	You wanted me , I know , to say ‘ Yes , ’ that you might have the pleasure of despising my taste ; but I always delight in overthrowing those kind of schemes , and cheating a person of their premeditated contempt . 
Elizabeth Bennet	agent	know	You wanted me , I know , to say ‘ Yes , ’ that you might have the pleasure of despising my taste ; but I always delight in overthrowing those kind of schemes , and cheating a person of their premeditated contempt . 
Elizabeth Bennet	agent	made	I have , therefore , made up my mind to tell you that I do not want to dance a reel at all ; and now despise me if you dare . ” 
Elizabeth Bennet	agent	despise	I have , therefore , made up my mind to tell you that I do not want to dance a reel at all ; and now despise me if you dare . ” 
Elizabeth Bennet	agent	want	I have , therefore , made up my mind to tell you that I do not want to dance a reel at all ; and now despise me if you dare . ” 
Elizabeth Bennet	agent	dare	“ Indeed I do not dare . ” 
Elizabeth Bennet	agent	affront	Elizabeth , having rather expected to affront him , was amazed at his gallantry ; but there was a mixture of sweetness and archness in her manner which made it difficult for her to affront anybody , and Darcy had 
Elizabeth Bennet	agent	intended	“ I did not know that you intended to walk , ” said Miss Bingley , in some confusion , lest they had been overheard . 
Elizabeth Bennet	agent	used	“ You used us abominably ill , ” answered Mrs. Hurst , “ running away without telling us that you were coming out . ” 
Elizabeth Bennet	agent	coming	“ You used us abominably ill , ” answered Mrs. Hurst , “ running away without telling us that you were coming out . ” 
Elizabeth Bennet	agent	ran	She then ran gaily off , rejoicing , as she rambled about , in the hope of being at home again in a day or two . 
Elizabeth Bennet	agent	rambled	She then ran gaily off , rejoicing , as she rambled about , in the hope of being at home again in a day or two . 
Elizabeth Bennet	agent	ran	When the ladies removed after dinner Elizabeth ran up to her sister , and seeing her well guarded from cold , attended her into the drawing - room , where she was welcomed by her two friends with many professions of pleasure ; and Elizabeth had never seen them so agreeable as they were during the hour which passed before the gentlemen appeared . 
Elizabeth Bennet	agent	attended	When the ladies removed after dinner Elizabeth ran up to her sister , and seeing her well guarded from cold , attended her into the drawing - room , where she was welcomed by her two friends with many professions of pleasure ; and Elizabeth had never seen them so agreeable as they were during the hour which passed before the gentlemen appeared . 
