Character	Role	Event	Context
Fanny Price	agent	ended	The rooms were too large for her to move in with ease : whatever she touched she expected to injure , and she crept about in constant terror of something or other ; often retreating towards her own chamber to cry ; and the little girl who was spoken of in the drawing - room when she left it at night as seeming so desirably sensible of her peculiar good fortune , ended every day ’s sorrows by sobbing herself to sleep . 
Fanny Price	agent	crept	The rooms were too large for her to move in with ease : whatever she touched she expected to injure , and she crept about in constant terror of something or other ; often retreating towards her own chamber to cry ; and the little girl who was spoken of in the drawing - room when she left it at night as seeming so desirably sensible of her peculiar good fortune , ended every day ’s sorrows by sobbing herself to sleep . 
Fanny Price	agent	left	The rooms were too large for her to move in with ease : whatever she touched she expected to injure , and she crept about in constant terror of something or other ; often retreating towards her own chamber to cry ; and the little girl who was spoken of in the drawing - room when she left it at night as seeming so desirably sensible of her peculiar good fortune , ended every day ’s sorrows by sobbing herself to sleep . 
Fanny Price	agent	quarrelled	or had she quarrelled with Maria and Julia ? 
Fanny Price	agent	remember	“ You are sorry to leave Mama , my dear little Fanny , ” said he , “ which shows you to be a very good girl ; but you must remember that you are with relations and friends , who all love you , and wish to make you happy . 
Fanny Price	agent	tell	Let us walk out in the park , and you shall tell me all about your brothers and sisters . ” 
Fanny Price	agent	repeated	Come with me into the breakfast - room , we shall find everything there , and be sure of having the room to ourselves . ” “ But , cousin , will it go to the post ? ” “ Yes , depend upon me it shall : it shall go with the other letters ; and , as your uncle will frank it , it will cost William nothing . ” “ My uncle ! ” repeated Fanny , with a frightened look . 
Fanny Price	agent	thought	Fanny thought it a bold measure , but offered no further resistance ; and they went together into the breakfast - room , where Edmund prepared her paper , and ruled her lines with all the goodwill that her brother could himself have felt , and probably with somewhat more exactness . 
Fanny Price	agent	offered	Fanny thought it a bold measure , but offered no further resistance ; and they went together into the breakfast - room , where Edmund prepared her paper , and ruled her lines with all the goodwill that her brother could himself have felt , and probably with somewhat more exactness . 
Fanny Price	agent	went	Fanny thought it a bold measure , but offered no further resistance ; and they went together into the breakfast - room , where Edmund prepared her paper , and ruled her lines with all the goodwill that her brother could himself have felt , and probably with somewhat more exactness . 
Fanny Price	agent	felt	He continued with her the whole time of her writing , to assist her with his penknife or his orthography , as either were wanted ; and added to these attentions , which she felt very much , a kindness to her brother which delighted her beyond all the rest . 
Fanny Price	agent	believed	Fanny ’s feelings on the occasion were such as she believed herself incapable of expressing ; but her countenance and a few artless words fully conveyed all their gratitude and delight , and her cousin began to find her an interesting object . 
Fanny Price	agent	said	He talked to her more , and , from all that she said , was convinced of her having an affectionate heart , and a strong desire of doing right ; and he could perceive her to be farther entitled to attention by great sensibility of her situation , and great timidity . 
Fanny Price	agent	having	He talked to her more , and , from all that she said , was convinced of her having an affectionate heart , and a strong desire of doing right ; and he could perceive her to be farther entitled to attention by great sensibility of her situation , and great timidity . 
Fanny Price	agent	required	He had never knowingly given her pain , but he now felt that she required more positive kindness ; and with that view endeavoured , in the first place , to lessen her fears of them all , and gave her especially a great deal of good advice as to playing with Maria and Julia , and being as merry as possible . 
Fanny Price	agent	grew	From this day Fanny grew more comfortable . 
Fanny Price	agent	felt	She felt that she had a friend , and the kindness of her cousin Edmund gave her better spirits with everybody else . 
Fanny Price	agent	gave	She felt that she had a friend , and the kindness of her cousin Edmund gave her better spirits with everybody else . 
Fanny Price	agent	had	She felt that she had a friend , and the kindness of her cousin Edmund gave her better spirits with everybody else . 
Fanny Price	agent	began	The place became less strange , and the people less formidable ; and if there were some amongst them whom she could not cease to fear , she began at least to know their ways , and to catch the best manner of conforming to them . 
Fanny Price	agent	start	The little rusticities and awkwardnesses which had at first made grievous inroads on the tranquillity of all , and not least of herself , necessarily wore away , and she was no longer materially afraid to appear before her uncle , nor did her aunt Norris ’s voice make her start very much . 
Fanny Price	agent	became	To her cousins she became occasionally an acceptable companion . 
Fanny Price	agent	had	Edmund was uniformly kind himself ; and she had nothing worse to endure on the part of Tom than that sort of merriment which a young man of seventeen will always think fair with a child of ten . 
Fanny Price	agent	read	Fanny could read , work , and write , but she had been taught nothing more ; and as her cousins found her ignorant of many things with which they had been long familiar , they thought her prodigiously stupid , and for the first two or three weeks were continually bringing some fresh report of it into the drawing - room . 
Fanny Price	agent	work	Fanny could read , work , and write , but she had been taught nothing more ; and as her cousins found her ignorant of many things with which they had been long familiar , they thought her prodigiously stupid , and for the first two or three weeks were continually bringing some fresh report of it into the drawing - room . 
Fanny Price	agent	taught	Fanny could read , work , and write , but she had been taught nothing more ; and as her cousins found her ignorant of many things with which they had been long familiar , they thought her prodigiously stupid , and for the first two or three weeks were continually bringing some fresh report of it into the drawing - room . 
Fanny Price	agent	says	Do you know , she says she does not want to learn either music or drawing . ” 
Fanny Price	agent	say	As for Fanny ’s being stupid at learning , “ she could only say it was very unlucky , but some people _ were _ stupid , and Fanny must take more pains : she did not know what else was to be done ; and , except her being so dull , she must add she saw no harm in the poor little thing , and always found her very handy and quick in carrying messages , and fetching what she wanted . ” 
Fanny Price	agent	take	As for Fanny ’s being stupid at learning , “ she could only say it was very unlucky , but some people _ were _ stupid , and Fanny must take more pains : she did not know what else was to be done ; and , except her being so dull , she must add she saw no harm in the poor little thing , and always found her very handy and quick in carrying messages , and fetching what she wanted . ” 
Fanny Price	agent	know	As for Fanny ’s being stupid at learning , “ she could only say it was very unlucky , but some people _ were _ stupid , and Fanny must take more pains : she did not know what else was to be done ; and , except her being so dull , she must add she saw no harm in the poor little thing , and always found her very handy and quick in carrying messages , and fetching what she wanted . ” 
Fanny Price	agent	add	As for Fanny ’s being stupid at learning , “ she could only say it was very unlucky , but some people _ were _ stupid , and Fanny must take more pains : she did not know what else was to be done ; and , except her being so dull , she must add she saw no harm in the poor little thing , and always found her very handy and quick in carrying messages , and fetching what she wanted . ” 
Fanny Price	agent	saw	As for Fanny ’s being stupid at learning , “ she could only say it was very unlucky , but some people _ were _ stupid , and Fanny must take more pains : she did not know what else was to be done ; and , except her being so dull , she must add she saw no harm in the poor little thing , and always found her very handy and quick in carrying messages , and fetching what she wanted . ” 
Fanny Price	agent	found	As for Fanny ’s being stupid at learning , “ she could only say it was very unlucky , but some people _ were _ stupid , and Fanny must take more pains : she did not know what else was to be done ; and , except her being so dull , she must add she saw no harm in the poor little thing , and always found her very handy and quick in carrying messages , and fetching what she wanted . ” 
Fanny Price	agent	wanted	As for Fanny ’s being stupid at learning , “ she could only say it was very unlucky , but some people _ were _ stupid , and Fanny must take more pains : she did not know what else was to be done ; and , except her being so dull , she must add she saw no harm in the poor little thing , and always found her very handy and quick in carrying messages , and fetching what she wanted . ” 
Fanny Price	agent	thought	There was no positive ill - nature in Maria or Julia ; and though Fanny was often mortified by their treatment of her , she thought too lowly of her own claims to feel injured by it . 
Fanny Price	agent	entering	From about the time of her entering the family , Lady Bertram , in consequence of a little ill - health , and a great deal of indolence , gave up the house in town , which she had been used to occupy every spring , and remained wholly in the country , leaving Sir Thomas to attend his duty in Parliament , with whatever increase or diminution of comfort might arise from her absence . 
Fanny Price	agent	saw	Of the rest she saw nothing : nobody seemed to think of her ever going amongst them again , even for a visit , nobody at home seemed to want her ; but William determining , soon after her removal , to be a sailor , was invited to spend a week with his sister in Northamptonshire before he went to sea . 
Fanny Price	agent	observed	In the fullness of his belief that such a thing must be , he mentioned its probability to his wife ; and the first time of the subject ’s occurring to her again happening to be when Fanny was present , she calmly observed to her , “ So , Fanny , you are going to leave us , and live with my sister . 
Fanny Price	agent	like	How shall you like it ? ” 
Fanny Price	agent	come	But you must come up and tack on my patterns all the same . ” The news was as disagreeable to Fanny as it had been unexpected . 
Fanny Price	agent	tack	But you must come up and tack on my patterns all the same . ” The news was as disagreeable to Fanny as it had been unexpected . 
Fanny Price	agent	said	“ I shall be very sorry to go away , ” said she , with a faltering voice . 
Fanny Price	agent	suppose	I suppose you have had as little to vex you since you came into this house as any creature in the world . ” 
Fanny Price	agent	came	I suppose you have had as little to vex you since you came into this house as any creature in the world . ” 
Fanny Price	agent	hope	“ I hope I am not ungrateful , aunt , ” said Fanny modestly . 
Fanny Price	agent	said	“ I hope I am not ungrateful , aunt , ” said Fanny modestly . 
Fanny Price	agent	hope	“ No , my dear ; I hope not . 
Fanny Price	agent	found	I have always found you a very good girl . ” 
Fanny Price	agent	left	Fanny left the room with a very sorrowful heart ; she could not feel the difference to be so small , she could not think of living with her aunt with anything like satisfaction . 
Fanny Price	agent	feel	Fanny left the room with a very sorrowful heart ; she could not feel the difference to be so small , she could not think of living with her aunt with anything like satisfaction . 
Fanny Price	agent	think	Fanny left the room with a very sorrowful heart ; she could not feel the difference to be so small , she could not think of living with her aunt with anything like satisfaction . 
Fanny Price	agent	met	As soon as she met with Edmund she told him her distress . 
Fanny Price	agent	said	“ Cousin , ” said she , “ something is going to happen which I do not like at all ; and though you have often persuaded me into being reconciled to things that I disliked at first , you will not be able to do it now . 
Fanny Price	agent	like	“ Cousin , ” said she , “ something is going to happen which I do not like at all ; and though you have often persuaded me into being reconciled to things that I disliked at first , you will not be able to do it now . 
Fanny Price	agent	disliked	“ Cousin , ” said she , “ something is going to happen which I do not like at all ; and though you have often persuaded me into being reconciled to things that I disliked at first , you will not be able to do it now . 
Fanny Price	agent	suppose	I am to leave Mansfield Park , and go to the White House , I suppose , as soon as she is removed there . ” 
Fanny Price	agent	call	“ Well , Fanny , and if the plan were not unpleasant to you , I should call it an excellent one . ” 
Fanny Price	agent	hope	I hope it does not distress you very much , Fanny ? ” 
Fanny Price	agent	like	“ Indeed it does : I can not like it . 
Fanny Price	agent	love	I love this house and everything in it : I shall love nothing there . 
Fanny Price	agent	love	I love this house and everything in it : I shall love nothing there . 
Fanny Price	agent	know	You know how uncomfortable I feel with her . ” 
Fanny Price	agent	feel	You know how uncomfortable I feel with her . ” 
Fanny Price	agent	say	“ I can say nothing for her manner to you as a child ; but it was the same with us all , or nearly so . 
Fanny Price	agent	think	But you are now of an age to be treated better ; I think she is behaving better already ; and when you are her only companion , you _ must _ be important to her . 
Fanny Price	agent	have	“ As to your foolishness and awkwardness , my dear Fanny , believe me , you never have a shadow of either , but in using the words so improperly . 
Fanny Price	agent	have	You have good sense , and a sweet temper , and I am sure you have a grateful heart , that could never receive kindness without wishing to return it . 
Fanny Price	agent	have	You have good sense , and a sweet temper , and I am sure you have a grateful heart , that could never receive kindness without wishing to return it . 
Fanny Price	agent	know	I do not know any better qualifications for a friend and companion . ” 
Fanny Price	agent	said	“ You are too kind , ” said Fanny , colouring at such praise ; “ how shall I ever thank you as I ought , for thinking so well of me . 
Fanny Price	agent	remember	cousin , if I am to go away , I shall remember your goodness to the last moment of my life . ” “ Why , indeed , Fanny , I should hope to be remembered at such a distance as the White House . 
Fanny Price	agent	hope	cousin , if I am to go away , I shall remember your goodness to the last moment of my life . ” “ Why , indeed , Fanny , I should hope to be remembered at such a distance as the White House . 
Fanny Price	agent	hope	cousin , if I am to go away , I shall remember your goodness to the last moment of my life . ” “ Why , indeed , Fanny , I should hope to be remembered at such a distance as the White House . 
Fanny Price	agent	speak	You speak as if you were going two hundred miles off instead of only across the park ; but you will belong to us almost as much as ever . 
Fanny Price	agent	belong	You speak as if you were going two hundred miles off instead of only across the park ; but you will belong to us almost as much as ever . 
Fanny Price	agent	going	You speak as if you were going two hundred miles off instead of only across the park ; but you will belong to us almost as much as ever . 
Fanny Price	agent	belong	You speak as if you were going two hundred miles off instead of only across the park ; but you will belong to us almost as much as ever . 
Fanny Price	agent	hide	_ Here _ there are too many whom you can hide behind ; but with _ her _ you will be forced to speak for yourself . ” “ Oh ! 
Fanny Price	agent	say	“ I must say it , and say it with pleasure . 
Fanny Price	agent	say	“ I must say it , and say it with pleasure . 
Fanny Price	agent	sighed	Fanny sighed , and said , “ I can not see things as you do ; but I ought to believe you to be right rather than myself , 
Fanny Price	agent	said	Fanny sighed , and said , “ I can not see things as you do ; but I ought to believe you to be right rather than myself , 
Fanny Price	agent	see	Fanny sighed , and said , “ I can not see things as you do ; but I ought to believe you to be right rather than myself , 
Fanny Price	agent	do	Fanny sighed , and said , “ I can not see things as you do ; but I ought to believe you to be right rather than myself , 
Fanny Price	agent	suppose	If I could suppose my aunt really to care for me , it would be delightful to feel myself of consequence to anybody . 
Fanny Price	agent	know	_ Here _ , I know , I am of none , and yet I love the place so well . ” 
Fanny Price	agent	love	_ Here _ , I know , I am of none , and yet I love the place so well . ” 
Fanny Price	agent	quit	“ The place , Fanny , is what you will not quit , though you quit the house . 
Fanny Price	agent	quit	“ The place , Fanny , is what you will not quit , though you quit the house . 
Fanny Price	agent	have	You will have as free a command of the park and gardens as ever . 
Fanny Price	agent	have	You will have the same walks to frequent , the same library to choose from , the same people to look at , the same horse to ride . ” 
Fanny Price	agent	remember	cousin , when I remember how much I used to dread riding , what terrors it gave me to hear it talked of as likely to do me good ( oh ! how I have trembled at my uncle ’s opening his lips if horses were talked of ) , and then think of the kind pains you took to reason and persuade me out of my fears , and convince me that I should like it after a little while , and feel how right you proved to be , I am inclined to hope you may always prophesy as well . 
Fanny Price	agent	used	cousin , when I remember how much I used to dread riding , what terrors it gave me to hear it talked of as likely to do me good ( oh ! how I have trembled at my uncle ’s opening his lips if horses were talked of ) , and then think of the kind pains you took to reason and persuade me out of my fears , and convince me that I should like it after a little while , and feel how right you proved to be , I am inclined to hope you may always prophesy as well . 
Fanny Price	agent	trembled	cousin , when I remember how much I used to dread riding , what terrors it gave me to hear it talked of as likely to do me good ( oh ! how I have trembled at my uncle ’s opening his lips if horses were talked of ) , and then think of the kind pains you took to reason and persuade me out of my fears , and convince me that I should like it after a little while , and feel how right you proved to be , I am inclined to hope you may always prophesy as well . 
Fanny Price	agent	think	cousin , when I remember how much I used to dread riding , what terrors it gave me to hear it talked of as likely to do me good ( oh ! how I have trembled at my uncle ’s opening his lips if horses were talked of ) , and then think of the kind pains you took to reason and persuade me out of my fears , and convince me that I should like it after a little while , and feel how right you proved to be , I am inclined to hope you may always prophesy as well . 
Fanny Price	agent	like	cousin , when I remember how much I used to dread riding , what terrors it gave me to hear it talked of as likely to do me good ( oh ! how I have trembled at my uncle ’s opening his lips if horses were talked of ) , and then think of the kind pains you took to reason and persuade me out of my fears , and convince me that I should like it after a little while , and feel how right you proved to be , I am inclined to hope you may always prophesy as well . 
Fanny Price	agent	feel	cousin , when I remember how much I used to dread riding , what terrors it gave me to hear it talked of as likely to do me good ( oh ! how I have trembled at my uncle ’s opening his lips if horses were talked of ) , and then think of the kind pains you took to reason and persuade me out of my fears , and convince me that I should like it after a little while , and feel how right you proved to be , I am inclined to hope you may always prophesy as well . 
Fanny Price	agent	fixed	To prevent its being expected , she had fixed on the smallest habitation which could rank as genteel among the buildings of Mansfield parish , the White House being only just large enough to receive herself and her servants , and allow a spare room for a friend , of which she made a very particular point . 
Fanny Price	agent	made	To prevent its being expected , she had fixed on the smallest habitation which could rank as genteel among the buildings of Mansfield parish , the White House being only just large enough to receive herself and her servants , and allow a spare room for a friend , of which she made a very particular point . 
Fanny Price	agent	goes	Lady Bertram soon brought the matter to a certainty by carelessly observing to Mrs. Norris — “ I think , sister , we need not keep Miss Lee any longer , when Fanny goes to live with you . ” 
Fanny Price	agent	live	Fanny live with me ! 
Fanny Price	agent	learnt	He could not but wonder at her refusing to do anything for a niece whom she had been so forward to adopt ; but , as she took early care to make him , as well as Lady Bertram , understand that whatever she possessed was designed for their family , he soon grew reconciled to a distinction which , at the same time that it was advantageous and complimentary to them , would enable him better to provide for Fanny himself . Fanny soon learnt how unnecessary had been her fears of a removal ; and her spontaneous , untaught felicity on the discovery , conveyed some consolation to Edmund for his disappointment in what he had expected to be so essentially serviceable to her . 
Fanny Price	agent	grieved	Fanny ’s relief , and her consciousness of it , were quite equal to her cousins ’ ; but a more tender nature suggested that her feelings were ungrateful , and she really grieved because she could not grieve . 
Fanny Price	agent	grieve	Fanny ’s relief , and her consciousness of it , were quite equal to her cousins ’ ; but a more tender nature suggested that her feelings were ungrateful , and she really grieved because she could not grieve . 
Fanny Price	agent	see	Sir Thomas , who had done so much for her and her brothers , and who was gone perhaps never to return ! that she should see him go without a tear ! 
Fanny Price	agent	see	He had said to her , moreover , on the very last morning , that he hoped she might see William again in the course of the ensuing winter , and had charged her to write and invite him to Mansfield as soon as the squadron to which he belonged should be known to be in England . “ This was so thoughtful and kind ! ” and would he only have smiled upon her , and called her “ my dear Fanny , ” 
Fanny Price	agent	parted	But he had ended his speech in a way to sink her in sad mortification , by adding , “ If William does come to Mansfield , I hope you may be able to convince him that the many years which have passed since you parted have not been spent on your side entirely without improvement ; though , I fear , he must find his sister at sixteen in some respects too much like his sister at ten . ” 
Fanny Price	agent	cried	She cried bitterly over this reflection when her uncle was gone ; and her cousins , on seeing her with red eyes , set her down as a hypocrite . 
Fanny Price	agent	had	Fanny had no share in the festivities of the season ; but she enjoyed being avowedly useful as her aunt ’s companion when they called away the rest of the family ; and , as Miss Lee had left Mansfield , she naturally became everything to Lady Bertram during the night of a ball or a party . 
Fanny Price	agent	enjoyed	Fanny had no share in the festivities of the season ; but she enjoyed being avowedly useful as her aunt ’s companion when they called away the rest of the family ; and , as Miss Lee had left Mansfield , she naturally became everything to Lady Bertram during the night of a ball or a party . 
Fanny Price	agent	enjoyed	Fanny had no share in the festivities of the season ; but she enjoyed being avowedly useful as her aunt ’s companion when they called away the rest of the family ; and , as Miss Lee had left Mansfield , she naturally became everything to Lady Bertram during the night of a ball or a party . 
Fanny Price	agent	sat	They took their cheerful rides in the fine mornings of April and May ; and Fanny either sat at home the whole day with one aunt , or walked beyond her strength at the instigation of the other : Lady Bertram holding exercise to be as unnecessary for everybody as it was unpleasant to herself ; and Mrs. Norris , who was walking all day , thinking everybody ought to walk as much . 
Fanny Price	agent	walked	They took their cheerful rides in the fine mornings of April and May ; and Fanny either sat at home the whole day with one aunt , or walked beyond her strength at the instigation of the other : Lady Bertram holding exercise to be as unnecessary for everybody as it was unpleasant to herself ; and Mrs. Norris , who was walking all day , thinking everybody ought to walk as much . 
Fanny Price	agent	holding	They took their cheerful rides in the fine mornings of April and May ; and Fanny either sat at home the whole day with one aunt , or walked beyond her strength at the instigation of the other : Lady Bertram holding exercise to be as unnecessary for everybody as it was unpleasant to herself ; and Mrs. Norris , who was walking all day , thinking everybody ought to walk as much . 
Fanny Price	agent	have	She could not but consider it as absolutely unnecessary , and even improper , that Fanny should have a regular lady ’s horse of her own , in the style of her cousins . 
Fanny Price	agent	have	“ Fanny must have a horse , ” was Edmund ’s only reply . 
Fanny Price	agent	became	The new mare proved a treasure ; with a very little trouble she became exactly calculated for the purpose , and Fanny was then put in almost full possession of her . 
Fanny Price	agent	put	The new mare proved a treasure ; with a very little trouble she became exactly calculated for the purpose , and Fanny was then put in almost full possession of her . 
Fanny Price	agent	supposed	She had not supposed before that anything could ever suit her like the old grey pony ; but her delight in Edmund ’s mare was far beyond any former pleasure of the sort ; and the addition it was ever receiving in the consideration of that kindness from which her pleasure sprung , was beyond all her words to express . 
Fanny Price	agent	regarded	She regarded her cousin as an example of everything good and great , as possessing worth which no one but herself could ever appreciate , and as entitled to such gratitude from her as no feelings could be strong enough to pay . Her sentiments towards him were compounded of all that was respectful , grateful , confiding , and tender . 
Fanny Price	agent	appreciate	She regarded her cousin as an example of everything good and great , as possessing worth which no one but herself could ever appreciate , and as entitled to such gratitude from her as no feelings could be strong enough to pay . Her sentiments towards him were compounded of all that was respectful , grateful , confiding , and tender . 
Fanny Price	agent	doing	Much was said on his side to induce her to attend the races , and schemes were made for a large party to them , with all the eagerness of inclination , but it would only do to be talked of . And Fanny , what was _ she _ doing and thinking all this while ? 
Fanny Price	agent	thinking	Much was said on his side to induce her to attend the races , and schemes were made for a large party to them , with all the eagerness of inclination , but it would only do to be talked of . And Fanny , what was _ she _ doing and thinking all this while ? 
Fanny Price	agent	dined	She dined at the Parsonage , with the rest of you , which seemed like being _ out _ ; and yet she says so little , that I can hardly suppose she _ is _ . ” 
Fanny Price	agent	says	She dined at the Parsonage , with the rest of you , which seemed like being _ out _ ; and yet she says so little , that I can hardly suppose she _ is _ . ” 
Fanny Price	agent	says	She dined at the Parsonage , with the rest of you , which seemed like being _ out _ ; and yet she says so little , that I can hardly suppose she _ is _ . ” 
Fanny Price	agent	stays	My mother seldom goes into company herself , and dines nowhere but with Mrs. Grant , and Fanny stays at home with _ her _ . ” 
Fanny Price	agent	looked	Fanny , who was sitting on the other side of Edmund , exactly opposite Miss Crawford , and who had been attentively listening , now looked at him , and said in a low voice — “ Cut down an avenue ! 
Fanny Price	agent	said	Fanny , who was sitting on the other side of Edmund , exactly opposite Miss Crawford , and who had been attentively listening , now looked at him , and said in a low voice — “ Cut down an avenue ! 
Fanny Price	agent	mourn	‘ Ye fallen avenues , once more I mourn your fate unmerited . ’ 
Fanny Price	agent	said	“ It would be delightful to _ me _ to see the progress of it all , ” said Fanny . 
Fanny Price	agent	had	It was no part of my education ; and the only dose I ever had , being administered by not the first favourite in the world 
Fanny Price	agent	consider	, has made me consider improvements _ in _ _ hand _ as the greatest of nuisances . Three years ago the Admiral , my honoured uncle , bought a cottage at Twickenham for us all to spend our summers in ; and my aunt and I went down to it quite in raptures ; but it being excessively pretty , it was soon found necessary to be improved , and for three months we were all dirt and confusion , without a gravel walk to step on , or a bench fit for use . 
Fanny Price	agent	went	, has made me consider improvements _ in _ _ hand _ as the greatest of nuisances . Three years ago the Admiral , my honoured uncle , bought a cottage at Twickenham for us all to spend our summers in ; and my aunt and I went down to it quite in raptures ; but it being excessively pretty , it was soon found necessary to be improved , and for three months we were all dirt and confusion , without a gravel walk to step on , or a bench fit for use . 
Fanny Price	agent	have	I would have everything as complete as possible in the country , shrubberies and flower - gardens , and rustic seats innumerable : but it must all be done without my care . 
Fanny Price	agent	done	I would have everything as complete as possible in the country , shrubberies and flower - gardens , and rustic seats innumerable : but it must all be done without my care . 
Fanny Price	agent	heard	Fanny had never heard the harp at all , and wished for it very much . 
Fanny Price	agent	wished	Fanny had never heard the harp at all , and wished for it very much . 
Fanny Price	agent	said	That is the true manly style ; that is a complete brother ’s letter . ” “ When they are at a distance from all their family , ” said Fanny , colouring for William ’s sake , “ they can write long letters . ” 
Fanny Price	agent	had	Fanny would rather have had Edmund tell the story , but his determined silence obliged her to relate her brother ’s situation : her voice was animated in speaking of his profession , and the foreign stations he had been on ; but she could not mention the number of years that he had been absent without tears in her eyes . 
Fanny Price	agent	obliged	Fanny would rather have had Edmund tell the story , but his determined silence obliged her to relate her brother ’s situation : her voice was animated in speaking of his profession , and the foreign stations he had been on ; but she could not mention the number of years that he had been absent without tears in her eyes . 
Fanny Price	agent	animated	Fanny would rather have had Edmund tell the story , but his determined silence obliged her to relate her brother ’s situation : her voice was animated in speaking of his profession , and the foreign stations he had been on ; but she could not mention the number of years that he had been absent without tears in her eyes . 
Fanny Price	agent	mention	Fanny would rather have had Edmund tell the story , but his determined silence obliged her to relate her brother ’s situation : her voice was animated in speaking of his profession , and the foreign stations he had been on ; but she could not mention the number of years that he had been absent without tears in her eyes . 
Fanny Price	agent	saw	Of _ Rears _ and _ Vices _ I saw enough . 
Fanny Price	agent	entreat	Now do not be suspecting me of a pun , I entreat . ” 
Fanny Price	agent	stay	I dare say Mr. Crawford would take my two nieces and me in his barouche , and Edmund can go on horseback , you know , sister , and Fanny will stay at home with you . 
Fanny Price	agent	like	CHAPTER VII “ Well , Fanny , and how do you like Miss Crawford _ now _ ? 
Fanny Price	agent	said	“ Do not you think , ” said Fanny , after a little consideration , “ that this impropriety is a reflection itself upon Mrs. Crawford , as her niece has been entirely brought up by her ? 
Fanny Price	agent	rate	She made me almost laugh ; but I can not rate so very highly the love or good - nature of a brother who will not give himself the trouble of writing anything worth reading to his sisters , when they are separated . 
Fanny Price	agent	write	And what right had she to suppose that _ you _ would not write long letters when you were absent ? ” “ The right of a lively mind , Fanny , seizing whatever may contribute to its own amusement or that of others ; perfectly allowable , when untinctured by ill - humour or roughness ; and there is not a shadow of either in the countenance or manner of Miss Crawford : nothing sharp , or loud , or coarse . 
Fanny Price	agent	saw	I am glad you saw it all as I did . 
