Character	Role	Event	Context
Elinor Dashwood	agent	bore	Luckily Lady Middleton 's mother had arrived at Barton within the last hour , and as she was a very cheerful agreeable woman , he hoped the young ladies would not find it so very dull as they might imagine . The young ladies , as well as their mother , were perfectly satisfied with having two entire strangers of the party , and wished for no more . Mrs. Jennings , Lady Middleton 's mother , was a good - humoured , merry , fat , elderly woman , who talked a great deal , seemed very happy , and rather vulgar . She was full of jokes and laughter , and before dinner was over had said many witty things on the subject of lovers and husbands ; hoped they had not left their hearts behind them in Sussex , and pretended to see them blush whether they did or not . Marianne was vexed at it for her sister 's sake , and turned her eyes towards Elinor to see how she bore these attacks , with an earnestness which gave Elinor far more pain than could arise from such common - place raillery as Mrs. Jennings 's . Colonel Brandon , the friend of Sir John , seemed no more adapted by resemblance of manner to be his friend , than Lady Middleton was to be his wife , or Mrs. Jennings to be Lady Middleton 's mother . He was silent and grave . 
Elinor Dashwood	agent	said	"When is a man to be safe from such wit , if age and infirmity will not protect him ? "" "" Infirmity ! "" said Elinor , "" do you call Colonel Brandon infirm ? "
Elinor Dashwood	agent	suppose	I can easily suppose that his age may appear much greater to you than to my mother ; but you can hardly deceive yourself as to his having the use of his limbs ! 
Elinor Dashwood	agent	deceive	I can easily suppose that his age may appear much greater to you than to my mother ; but you can hardly deceive yourself as to his having the use of his limbs ! 
Elinor Dashwood	agent	said	""" "" Perhaps , "" said Elinor , "" thirty - five and seventeen had better not have any thing to do with matrimony together . "
Elinor Dashwood	agent	think	But if there should by any chance happen to be a woman who is single at seven and twenty , I should not think Colonel Brandon 's being thirty - five any objection to his marrying HER . 
Elinor Dashwood	agent	know	""" "" It would be impossible , I know , "" replied Elinor , "" to convince you that a woman of seven and twenty could feel for a man of thirty - five anything near enough to love , to make him a desirable companion to her . "
Elinor Dashwood	agent	replied	""" "" It would be impossible , I know , "" replied Elinor , "" to convince you that a woman of seven and twenty could feel for a man of thirty - five anything near enough to love , to make him a desirable companion to her . "
Elinor Dashwood	agent	object	But I must object to your dooming Colonel Brandon and his wife to the constant confinement of a sick chamber , merely because he chanced to complain yesterday ( a very cold damp day ) of a slight rheumatic feel in one of his shoulders . 
Elinor Dashwood	agent	leaving	"Soon after this , upon Elinor 's leaving the room , "" Mamma , "" said Marianne , "" I have an alarm on the subject of illness which I can not conceal from you . "
Elinor Dashwood	agent	observed	I rather think you are mistaken , for when I was talking to her yesterday of getting a new grate for the spare bedchamber , she observed that there was no immediate hurry for it , as it was not likely that the room would be wanted for some time . 
Elinor Dashwood	agent	try	"When does she try to avoid society , or appear restless and dissatisfied in it ? "" CHAPTER 9 The Dashwoods were now settled at Barton with tolerable comfort to themselves . "
Elinor Dashwood	agent	rose	The gentleman offered his services ; and perceiving that her modesty declined what her situation rendered necessary , took her up in his arms without farther delay , and carried her down the hill . Then passing through the garden , the gate of which had been left open by Margaret , he bore her directly into the house , whither Margaret was just arrived , and quitted not his hold till he had seated her in a chair in the parlour . Elinor and her mother rose up in amazement at their entrance , and while the eyes of both were fixed on him with an evident wonder and a secret admiration which equally sprung from his appearance , he apologized for his intrusion by relating its cause , in a manner so frank and so graceful that his person , which was uncommonly handsome , received additional charms from his voice and expression . 
Elinor Dashwood	agent	said	""" said Elinor . "
Elinor Dashwood	agent	said	""" Well , Marianne , "" said Elinor , as soon as he had left them , "" for ONE morning I think you have done pretty well . "
Elinor Dashwood	agent	think	""" Well , Marianne , "" said Elinor , as soon as he had left them , "" for ONE morning I think you have done pretty well . "
Elinor Dashwood	agent	mean	But I see what you mean . 
Elinor Dashwood	agent	saw	In Mrs. Dashwood 's estimation he was as faultless as in Marianne 's ; and Elinor saw nothing to censure in him but a propensity , in which he strongly resembled and peculiarly delighted her sister , of saying too much what he thought on every occasion , without attention to persons or circumstances . In hastily forming and giving his opinion of other people , in sacrificing general politeness to the enjoyment of undivided attention where his heart was engaged , and in slighting too easily the forms of worldly propriety 
Elinor Dashwood	agent	approve	, he displayed a want of caution which Elinor could not approve , in spite of all that he and Marianne could say in its support . 
Elinor Dashwood	agent	saw	She saw it with concern ; for what could a silent man of five and thirty hope , when opposed to a very lively one of five and twenty ? 
Elinor Dashwood	agent	wish	and as she could not even wish him successful , she heartily wished him indifferent . She liked him -- in spite of his gravity and reserve , she beheld in him an object of interest . 
Elinor Dashwood	agent	wished	and as she could not even wish him successful , she heartily wished him indifferent . She liked him -- in spite of his gravity and reserve , she beheld in him an object of interest . 
Elinor Dashwood	agent	liked	and as she could not even wish him successful , she heartily wished him indifferent . She liked him -- in spite of his gravity and reserve , she beheld in him an object of interest . 
Elinor Dashwood	agent	beheld	and as she could not even wish him successful , she heartily wished him indifferent . She liked him -- in spite of his gravity and reserve , she beheld in him an object of interest . 
Elinor Dashwood	agent	regarded	"she regarded him with respect and compassion . Perhaps she pitied and esteemed him the more because he was slighted by Willoughby and Marianne , who , prejudiced against him for being neither lively nor young , seemed resolved to undervalue his merits . "" Brandon is just the kind of man , "" said Willoughby one day , when they were talking of him together , "" whom every body speaks well of , and nobody cares about ; whom all are delighted to see , and nobody remembers to talk to . "" "
Elinor Dashwood	agent	pitied	"she regarded him with respect and compassion . Perhaps she pitied and esteemed him the more because he was slighted by Willoughby and Marianne , who , prejudiced against him for being neither lively nor young , seemed resolved to undervalue his merits . "" Brandon is just the kind of man , "" said Willoughby one day , when they were talking of him together , "" whom every body speaks well of , and nobody cares about ; whom all are delighted to see , and nobody remembers to talk to . "" "
Elinor Dashwood	agent	esteemed	"she regarded him with respect and compassion . Perhaps she pitied and esteemed him the more because he was slighted by Willoughby and Marianne , who , prejudiced against him for being neither lively nor young , seemed resolved to undervalue his merits . "" Brandon is just the kind of man , "" said Willoughby one day , when they were talking of him together , "" whom every body speaks well of , and nobody cares about ; whom all are delighted to see , and nobody remembers to talk to . "" "
Elinor Dashwood	agent	said	""" Do not boast of it , however , "" said Elinor , "" for it is injustice in both of you . "
Elinor Dashwood	agent	see	He is highly esteemed by all the family at the park , and I never see him myself without taking pains to converse with him . 
Elinor Dashwood	agent	found	"I have found him capable of giving me much information on various subjects ; and he has always answered my inquiries with readiness of good - breeding and good nature . "" "" That is to say , "" cried Marianne contemptuously , "" he has told you , that in the East Indies the climate is hot , and the mosquitoes are troublesome . "" "" He WOULD have told me so , I doubt not , had I made any such inquiries , but they happened to be points on which I had been previously informed . "" "" Perhaps , "" said Willoughby , "" his observations may have extended to the existence of nabobs , gold mohrs , and palanquins . "" "" I may venture to say that HIS observations have stretched much further than your candour . "
Elinor Dashwood	agent	told	"I have found him capable of giving me much information on various subjects ; and he has always answered my inquiries with readiness of good - breeding and good nature . "" "" That is to say , "" cried Marianne contemptuously , "" he has told you , that in the East Indies the climate is hot , and the mosquitoes are troublesome . "" "" He WOULD have told me so , I doubt not , had I made any such inquiries , but they happened to be points on which I had been previously informed . "" "" Perhaps , "" said Willoughby , "" his observations may have extended to the existence of nabobs , gold mohrs , and palanquins . "" "" I may venture to say that HIS observations have stretched much further than your candour . "
Elinor Dashwood	agent	doubt	"I have found him capable of giving me much information on various subjects ; and he has always answered my inquiries with readiness of good - breeding and good nature . "" "" That is to say , "" cried Marianne contemptuously , "" he has told you , that in the East Indies the climate is hot , and the mosquitoes are troublesome . "" "" He WOULD have told me so , I doubt not , had I made any such inquiries , but they happened to be points on which I had been previously informed . "" "" Perhaps , "" said Willoughby , "" his observations may have extended to the existence of nabobs , gold mohrs , and palanquins . "" "" I may venture to say that HIS observations have stretched much further than your candour . "
Elinor Dashwood	agent	made	"I have found him capable of giving me much information on various subjects ; and he has always answered my inquiries with readiness of good - breeding and good nature . "" "" That is to say , "" cried Marianne contemptuously , "" he has told you , that in the East Indies the climate is hot , and the mosquitoes are troublesome . "" "" He WOULD have told me so , I doubt not , had I made any such inquiries , but they happened to be points on which I had been previously informed . "" "" Perhaps , "" said Willoughby , "" his observations may have extended to the existence of nabobs , gold mohrs , and palanquins . "" "" I may venture to say that HIS observations have stretched much further than your candour . "
Elinor Dashwood	agent	venture	"I have found him capable of giving me much information on various subjects ; and he has always answered my inquiries with readiness of good - breeding and good nature . "" "" That is to say , "" cried Marianne contemptuously , "" he has told you , that in the East Indies the climate is hot , and the mosquitoes are troublesome . "" "" He WOULD have told me so , I doubt not , had I made any such inquiries , but they happened to be points on which I had been previously informed . "" "" Perhaps , "" said Willoughby , "" his observations may have extended to the existence of nabobs , gold mohrs , and palanquins . "" "" I may venture to say that HIS observations have stretched much further than your candour . "
Elinor Dashwood	agent	replied	""" "" You decide on his imperfections so much in the mass , "" replied Elinor , "" and so much on the strength of your own imagination , that the commendation I am able to give of him is comparatively cold and insipid . "
Elinor Dashwood	agent	believe	pronounce him to be a sensible man , well - bred , well - informed , of gentle address , and , I believe , possessing an amiable heart . 
Elinor Dashwood	agent	wished	She only wished that it were less openly shewn ; and once or twice did venture to suggest the propriety of 
Elinor Dashwood	agent	venture	She only wished that it were less openly shewn ; and once or twice did venture to suggest the propriety of 
Elinor Dashwood	agent	left	They afforded her no companion that could make amends for what she had left behind , nor that could teach her to think of Norland with less regret than ever . 
Elinor Dashwood	agent	think	They afforded her no companion that could make amends for what she had left behind , nor that could teach her to think of Norland with less regret than ever . 
Elinor Dashwood	agent	missed	Neither Lady Middleton nor Mrs. Jennings could supply to her the conversation she missed ; although the latter was an everlasting talker , and from the first had regarded her with a kindness which ensured her a large share of her discourse . 
Elinor Dashwood	agent	repeated	She had already repeated her own history to Elinor three or four times ; and had Elinor 's memory been equal to her means of improvement , she might have known very early in their acquaintance all the particulars of Mr. Jenning 's last illness , and what he said to his wife a few minutes before he died . 
Elinor Dashwood	agent	known	She had already repeated her own history to Elinor three or four times ; and had Elinor 's memory been equal to her means of improvement , she might have known very early in their acquaintance all the particulars of Mr. Jenning 's last illness , and what he said to his wife a few minutes before he died . 
Elinor Dashwood	agent	known	She had already repeated her own history to Elinor three or four times ; and had Elinor 's memory been equal to her means of improvement , she might have known very early in their acquaintance all the particulars of Mr. Jenning 's last illness , and what he said to his wife a few minutes before he died . 
Elinor Dashwood	agent	said	She had already repeated her own history to Elinor three or four times ; and had Elinor 's memory been equal to her means of improvement , she might have known very early in their acquaintance all the particulars of Mr. Jenning 's last illness , and what he said to his wife a few minutes before he died . 
Elinor Dashwood	agent	needed	Elinor needed little observation to perceive that her reserve was a mere calmness of manner with which sense had nothing to do . 
Elinor Dashwood	agent	had	She had nothing to say one day that she had not said the day before . 
Elinor Dashwood	agent	said	She had nothing to say one day that she had not said the day before . 
Elinor Dashwood	agent	oppose	Her insipidity was invariable , for even her spirits were always the same ; and though she did not oppose the parties arranged by her husband , provided every thing were conducted in style and her two eldest children attended her , she never appeared to receive more enjoyment from them than she might have experienced in sitting at home;-- and so little did her presence add to the pleasure of the others , by any share in their conversation , that they were sometimes only reminded of her being amongst them by her solicitude about her troublesome boys . In Colonel Brandon alone , of all her new acquaintance , did Elinor find a person who could in any degree claim the respect of abilities , excite the interest of friendship , or give pleasure as a companion . Willoughby was out of the question . 
Elinor Dashwood	agent	appeared	Her insipidity was invariable , for even her spirits were always the same ; and though she did not oppose the parties arranged by her husband , provided every thing were conducted in style and her two eldest children attended her , she never appeared to receive more enjoyment from them than she might have experienced in sitting at home;-- and so little did her presence add to the pleasure of the others , by any share in their conversation , that they were sometimes only reminded of her being amongst them by her solicitude about her troublesome boys . In Colonel Brandon alone , of all her new acquaintance , did Elinor find a person who could in any degree claim the respect of abilities , excite the interest of friendship , or give pleasure as a companion . Willoughby was out of the question . 
Elinor Dashwood	agent	add	Her insipidity was invariable , for even her spirits were always the same ; and though she did not oppose the parties arranged by her husband , provided every thing were conducted in style and her two eldest children attended her , she never appeared to receive more enjoyment from them than she might have experienced in sitting at home;-- and so little did her presence add to the pleasure of the others , by any share in their conversation , that they were sometimes only reminded of her being amongst them by her solicitude about her troublesome boys . In Colonel Brandon alone , of all her new acquaintance , did Elinor find a person who could in any degree claim the respect of abilities , excite the interest of friendship , or give pleasure as a companion . Willoughby was out of the question . 
Elinor Dashwood	agent	experienced	Her insipidity was invariable , for even her spirits were always the same ; and though she did not oppose the parties arranged by her husband , provided every thing were conducted in style and her two eldest children attended her , she never appeared to receive more enjoyment from them than she might have experienced in sitting at home;-- and so little did her presence add to the pleasure of the others , by any share in their conversation , that they were sometimes only reminded of her being amongst them by her solicitude about her troublesome boys . In Colonel Brandon alone , of all her new acquaintance , did Elinor find a person who could in any degree claim the respect of abilities , excite the interest of friendship , or give pleasure as a companion . Willoughby was out of the question . 
