Character	Role	Event	Context
Emma Woodhouse	agent	go	Mrs. Weston had , of course , formed a very favourable idea of the young man ; and such a pleasing attention was an irresistible proof of his great good sense , and a most welcome addition to every source and every expression of congratulation which her marriage had already secured . She felt herself a most fortunate woman ; and she had lived long enough to know how fortunate she might well be thought , where the only regret was for a partial separation from friends whose friendship for her had never cooled , and who could ill bear to part with her . She knew that at times she must be missed ; and could not think , without pain , of Emma 's losing a single pleasure , or suffering an hour 's ennui , from the want of her companionableness : but dear Emma was of no feeble character ; she was more equal to her situation than most girls would have been , and had sense , and energy , and spirits that might be hoped would bear her well and happily through its little difficulties and privations . And then there was such comfort in the very easy distance of Randalls from Hartfield , so convenient for even solitary female walking , and in Mr. Weston 's disposition and circumstances , which would make the approaching season no hindrance to their spending half the evenings in the week together . Her situation was altogether the subject of hours of gratitude to Mrs. Weston , and of moments only of regret ; and her satisfaction -- her more than satisfaction -- her cheerful enjoyment , was so just and so apparent , that Emma , well as she knew her father , was sometimes taken by surprize at his being still able to pity ` poor Miss Taylor , ' when they left her at Randalls in the centre of every domestic comfort , or saw her go away in the evening attended by her pleasant husband to a carriage of her own . 
Emma Woodhouse	agent	go	"But never did she go without Mr. Woodhouse 's giving a gentle sigh , and saying , "" Ah , poor Miss Taylor ! "
Emma Woodhouse	agent	make	Not unfrequently , through Emma 's persuasion , he had some of the chosen and the best to dine with him : but evening parties were what he preferred ; and , unless he fancied himself at any time unequal to company , there was scarcely an evening in the week in which Emma could not make up a card - table for him . Real , long - standing regard brought the Westons and Mr. Knightley ; and by Mr. Elton , a young man living alone without liking it , the privilege of exchanging any vacant evening of his own blank solitude for the elegancies and society of Mr. Woodhouse 's drawing - room , and the smiles of his lovely daughter , was in no danger of being thrown away . 
Emma Woodhouse	agent	found	She was a plain , motherly kind of woman , who had worked hard in her youth , and now thought herself entitled to the occasional holiday of a tea - visit ; and having formerly owed much to Mr. Woodhouse 's kindness , felt his particular claim on her to leave her neat parlour , hung round with fancy - work , whenever she could , and win or lose a few sixpences by his fireside . These were the ladies whom Emma found herself very frequently able to collect ; and happy was she , for her father 's sake , in the power ; though , as far as she was herself concerned , it was no remedy for the absence of Mrs. Weston . 
Emma Woodhouse	agent	feel	She was delighted to see her father look comfortable , and very much pleased with herself for contriving things so well ; but the quiet prosings of three such women made her feel that every evening so spent was indeed one of the long evenings she had fearfully anticipated . 
Emma Woodhouse	agent	anticipated	She was delighted to see her father look comfortable , and very much pleased with herself for contriving things so well ; but the quiet prosings of three such women made her feel that every evening so spent was indeed one of the long evenings she had fearfully anticipated . 
Emma Woodhouse	agent	sat	As she sat one morning , looking forward to exactly such a close of the present day , a note was brought from Mrs. Goddard , requesting , in most respectful terms , to be allowed to bring Miss Smith with her ; a most welcome request : for Miss Smith was a girl of seventeen , whom Emma knew very well by sight , and had long felt an interest in , on account of her beauty . A very gracious invitation was returned , and the evening no longer dreaded by the fair mistress of the mansion . 
Emma Woodhouse	agent	knew	As she sat one morning , looking forward to exactly such a close of the present day , a note was brought from Mrs. Goddard , requesting , in most respectful terms , to be allowed to bring Miss Smith with her ; a most welcome request : for Miss Smith was a girl of seventeen , whom Emma knew very well by sight , and had long felt an interest in , on account of her beauty . A very gracious invitation was returned , and the evening no longer dreaded by the fair mistress of the mansion . 
Emma Woodhouse	agent	felt	As she sat one morning , looking forward to exactly such a close of the present day , a note was brought from Mrs. Goddard , requesting , in most respectful terms , to be allowed to bring Miss Smith with her ; a most welcome request : for Miss Smith was a girl of seventeen , whom Emma knew very well by sight , and had long felt an interest in , on account of her beauty . A very gracious invitation was returned , and the evening no longer dreaded by the fair mistress of the mansion . 
Emma Woodhouse	agent	admired	She was a very pretty girl , and her beauty happened to be of a sort which Emma particularly admired . 
Emma Woodhouse	agent	found	She was not struck by any thing remarkably clever in Miss Smith 's conversation , but she found her altogether very engaging -- not inconveniently shy , not unwilling to talk -- and yet so far from pushing , shewing so proper and becoming a deference , seeming so pleasantly grateful for being admitted to Hartfield , and so artlessly impressed by the appearance of every thing in so superior a style to what she had been used to , that she must have good sense , and deserve encouragement . Encouragement should be given . Those soft blue eyes , and all those natural graces , should not be wasted on the inferior society of Highbury and its connexions . The acquaintance she had already formed were unworthy of her . 
Emma Woodhouse	agent	formed	She was not struck by any thing remarkably clever in Miss Smith 's conversation , but she found her altogether very engaging -- not inconveniently shy , not unwilling to talk -- and yet so far from pushing , shewing so proper and becoming a deference , seeming so pleasantly grateful for being admitted to Hartfield , and so artlessly impressed by the appearance of every thing in so superior a style to what she had been used to , that she must have good sense , and deserve encouragement . Encouragement should be given . Those soft blue eyes , and all those natural graces , should not be wasted on the inferior society of Highbury and its connexions . The acquaintance she had already formed were unworthy of her . 
Emma Woodhouse	agent	parted	The friends from whom she had just parted , though very good sort of people , must be doing her harm . 
Emma Woodhouse	agent	knew	They were a family of the name of Martin , whom Emma well knew by character , as renting a large farm of Mr. Knightley , and residing in the parish of Donwell -- very creditably , she believed -- she knew Mr. Knightley thought highly of them -- but they must be coarse and unpolished , and very unfit to be the intimates of a girl who wanted only a little more knowledge and elegance to be quite perfect . _ 
Emma Woodhouse	agent	believed	They were a family of the name of Martin , whom Emma well knew by character , as renting a large farm of Mr. Knightley , and residing in the parish of Donwell -- very creditably , she believed -- she knew Mr. Knightley thought highly of them -- but they must be coarse and unpolished , and very unfit to be the intimates of a girl who wanted only a little more knowledge and elegance to be quite perfect . _ 
Emma Woodhouse	agent	knew	They were a family of the name of Martin , whom Emma well knew by character , as renting a large farm of Mr. Knightley , and residing in the parish of Donwell -- very creditably , she believed -- she knew Mr. Knightley thought highly of them -- but they must be coarse and unpolished , and very unfit to be the intimates of a girl who wanted only a little more knowledge and elegance to be quite perfect . _ 
Emma Woodhouse	agent	notice	She _ would notice her ; she would improve her ; 
Emma Woodhouse	agent	improve	She _ would notice her ; she would improve her ; 
Emma Woodhouse	agent	detach	she would detach her from her bad acquaintance , and introduce her into good society ; she would form her opinions and her manners . 
Emma Woodhouse	agent	introduce	she would detach her from her bad acquaintance , and introduce her into good society ; she would form her opinions and her manners . 
Emma Woodhouse	agent	form	she would detach her from her bad acquaintance , and introduce her into good society ; she would form her opinions and her manners . 
Emma Woodhouse	agent	do	With an alacrity beyond the common impulse of a spirit which yet was never indifferent to the credit of doing every thing well and attentively , with the real good - will of a mind delighted with its own ideas , did she then do all the honours of the meal , and help and recommend the minced chicken and scalloped oysters , with an urgency which she knew would be acceptable to the early hours and civil scruples of their guests . 
Emma Woodhouse	agent	help	With an alacrity beyond the common impulse of a spirit which yet was never indifferent to the credit of doing every thing well and attentively , with the real good - will of a mind delighted with its own ideas , did she then do all the honours of the meal , and help and recommend the minced chicken and scalloped oysters , with an urgency which she knew would be acceptable to the early hours and civil scruples of their guests . 
Emma Woodhouse	agent	help	Miss Bates , let Emma help you to a _ little _ bit of tart -- a _ very _ little bit . 
Emma Woodhouse	agent	allowed	"I do not think it could disagree with you . "" Emma allowed her father to talk -- but supplied her visitors in a much more satisfactory style , and on the present evening had particular pleasure in sending them away happy . "
Emma Woodhouse	agent	supplied	"I do not think it could disagree with you . "" Emma allowed her father to talk -- but supplied her visitors in a much more satisfactory style , and on the present evening had particular pleasure in sending them away happy . "
Emma Woodhouse	agent	lost	Quick and decided in her ways , Emma lost no time in inviting , encouraging , and telling her to come very often ; and as their acquaintance increased , so did their satisfaction in each other . 
Emma Woodhouse	agent	foreseen	As a walking companion , Emma had very early foreseen how useful she might find her . 
Emma Woodhouse	agent	find	As a walking companion , Emma had very early foreseen how useful she might find her . 
Emma Woodhouse	agent	ventured	She had ventured once alone to Randalls , but it was not pleasant ; and a Harriet Smith , therefore , one whom she could summon at any time to a walk , would be a valuable addition to her privileges . 
Emma Woodhouse	agent	summon	She had ventured once alone to Randalls , but it was not pleasant ; and a Harriet Smith , therefore , one whom she could summon at any time to a walk , would be a valuable addition to her privileges . 
Emma Woodhouse	agent	saw	But in every respect , as she saw more of her , she approved her , and was confirmed in all her kind designs . 
Emma Woodhouse	agent	approved	But in every respect , as she saw more of her , she approved her , and was confirmed in all her kind designs . 
Emma Woodhouse	agent	confirmed	But in every respect , as she saw more of her , she approved her , and was confirmed in all her kind designs . 
Emma Woodhouse	agent	wanted	Altogether she was quite convinced of Harriet Smith 's being exactly the young friend she wanted -- exactly the something which her home required . 
Emma Woodhouse	agent	want	Two such she did not want . 
Emma Woodhouse	agent	liked	Emma was obliged to fancy what she liked -- but she could never believe that in the same situation _ she _ should not have discovered the truth . 
Emma Woodhouse	agent	discovered	Emma was obliged to fancy what she liked -- but she could never believe that in the same situation _ she _ should not have discovered the truth . 
Emma Woodhouse	agent	encouraged	"Emma encouraged her talkativeness -- amused by such a picture of another set of beings , and enjoying the youthful simplicity which could speak with so much exultation of Mrs. Martin 's having "" _ two _ parlours , two very good parlours , indeed ; one of them quite as large as Mrs. Goddard 's drawing - room ; and of her having an upper maid who had lived five - and - twenty years with her ; and of their having eight cows , two of them Alderneys , and one a little Welch cow , a very pretty little Welch cow indeed ; and of Mrs. Martin 's saying as she was so fond of it , it should be called _ her _ cow ; and of their having a very handsome summer - house in their garden , where some day next year they were all to drink tea:--a very handsome summer - house , large enough to hold a dozen people . "" "
Emma Woodhouse	agent	thought	""" Well done , Mrs. Martin ! "" thought Emma . "
Emma Woodhouse	agent	suppose	Mr. Martin , I suppose , is not a man of information beyond the line of his own business ? 
Emma Woodhouse	agent	thought	I thought him very plain at first , but I do not think him so plain now . 
Emma Woodhouse	agent	think	I thought him very plain at first , but I do not think him so plain now . 
Emma Woodhouse	agent	think	I thought him very plain at first , but I do not think him so plain now . 
Emma Woodhouse	agent	seen	""" "" That may be , and I may have seen him fifty times , but without having any idea of his name . "
Emma Woodhouse	agent	feel	The yeomanry are precisely the order of people with whom I feel I can have nothing to do . 
Emma Woodhouse	agent	hope	A degree or two lower , and a creditable appearance might interest me ; I might hope to be useful to their families in some way or other . 
Emma Woodhouse	agent	mean	It is not likely you should ever have observed him ; but he knows you very well indeed -- I mean by sight . 
Emma Woodhouse	agent	have	""" I have no doubt of his being a very respectable young man . I know , indeed , that he is so , and , as such , wish him well . "
Emma Woodhouse	agent	know	""" I have no doubt of his being a very respectable young man . I know , indeed , that he is so , and , as such , wish him well . "
Emma Woodhouse	agent	know	""" I have no doubt of his being a very respectable young man . I know , indeed , that he is so , and , as such , wish him well . "
Emma Woodhouse	agent	wish	""" I have no doubt of his being a very respectable young man . I know , indeed , that he is so , and , as such , wish him well . "
Emma Woodhouse	agent	imagine	Mr. Martin , I imagine , has his fortune entirely to make -- cannot be at all beforehand with the world . Whatever money he might come into when his father died , whatever his share of the family property , it is , I dare say , all afloat , all employed in his stock , and so forth ; and though , with diligence and good luck , he may be rich in time , it is next to impossible that he should have realised any thing yet . 
Emma Woodhouse	agent	dare	Mr. Martin , I imagine , has his fortune entirely to make -- cannot be at all beforehand with the world . Whatever money he might come into when his father died , whatever his share of the family property , it is , I dare say , all afloat , all employed in his stock , and so forth ; and though , with diligence and good luck , he may be rich in time , it is next to impossible that he should have realised any thing yet . 
Emma Woodhouse	agent	wish	""" I wish you may not get into a scrape , Harriet , whenever he does marry;--I mean , as to being acquainted with his wife -- for though his sisters , from a superior education , are not to be altogether objected to , it does not follow that he might marry any body at all fit for you to notice . "
Emma Woodhouse	agent	mean	""" I wish you may not get into a scrape , Harriet , whenever he does marry;--I mean , as to being acquainted with his wife -- for though his sisters , from a superior education , are not to be altogether objected to , it does not follow that he might marry any body at all fit for you to notice . "
Emma Woodhouse	agent	suppose	""" "" Yes , to be sure , I suppose there are . "
Emma Woodhouse	agent	visit	But while I visit at Hartfield , and you are so kind to me , Miss Woodhouse , I am not afraid of what any body can do . 
Emma Woodhouse	agent	want	"I want to see you permanently well connected , and to that end it will be advisable to have as few odd acquaintance as may be ; and , therefore , I say that if you should still be in this country when Mr. Martin marries , I wish you may not be drawn in by your intimacy with the sisters , to be acquainted with the wife , who will probably be some mere farmer 's daughter , without education . "" "" To be sure . "
Emma Woodhouse	agent	say	"I want to see you permanently well connected , and to that end it will be advisable to have as few odd acquaintance as may be ; and , therefore , I say that if you should still be in this country when Mr. Martin marries , I wish you may not be drawn in by your intimacy with the sisters , to be acquainted with the wife , who will probably be some mere farmer 's daughter , without education . "" "" To be sure . "
Emma Woodhouse	agent	wish	"I want to see you permanently well connected , and to that end it will be advisable to have as few odd acquaintance as may be ; and , therefore , I say that if you should still be in this country when Mr. Martin marries , I wish you may not be drawn in by your intimacy with the sisters , to be acquainted with the wife , who will probably be some mere farmer 's daughter , without education . "" "" To be sure . "
Emma Woodhouse	agent	think	Not that I think Mr. Martin would ever marry any body but what had had some education -- and been very well brought up . 
Emma Woodhouse	agent	mean	However , I do not mean to set up my opinion against your's -- and I am sure I shall not wish for the acquaintance of his wife . 
Emma Woodhouse	agent	wish	However , I do not mean to set up my opinion against your's -- and I am sure I shall not wish for the acquaintance of his wife . 
Emma Woodhouse	agent	visit	"I shall always have a great regard for the Miss Martins , especially Elizabeth , and should be very sorry to give them up , for they are quite as well educated as me . But if he marries a very ignorant , vulgar woman , certainly I had better not visit her , if I can help it . "" Emma watched her through the fluctuations of this speech , and saw no alarming symptoms of love . "
Emma Woodhouse	agent	watched	"I shall always have a great regard for the Miss Martins , especially Elizabeth , and should be very sorry to give them up , for they are quite as well educated as me . But if he marries a very ignorant , vulgar woman , certainly I had better not visit her , if I can help it . "" Emma watched her through the fluctuations of this speech , and saw no alarming symptoms of love . "
Emma Woodhouse	agent	help	"I shall always have a great regard for the Miss Martins , especially Elizabeth , and should be very sorry to give them up , for they are quite as well educated as me . But if he marries a very ignorant , vulgar woman , certainly I had better not visit her , if I can help it . "" Emma watched her through the fluctuations of this speech , and saw no alarming symptoms of love . "
Emma Woodhouse	agent	watched	"I shall always have a great regard for the Miss Martins , especially Elizabeth , and should be very sorry to give them up , for they are quite as well educated as me . But if he marries a very ignorant , vulgar woman , certainly I had better not visit her , if I can help it . "" Emma watched her through the fluctuations of this speech , and saw no alarming symptoms of love . "
Emma Woodhouse	agent	trusted	The young man had been the first admirer , but she trusted there was no other hold , and that there would be no serious difficulty , on Harriet 's side , to oppose any friendly arrangement of her own . They met Mr. Martin the very next day , as they were walking on the Donwell road . 
Emma Woodhouse	agent	met	The young man had been the first admirer , but she trusted there was no other hold , and that there would be no serious difficulty , on Harriet 's side , to oppose any friendly arrangement of her own . They met Mr. Martin the very next day , as they were walking on the Donwell road . 
Emma Woodhouse	agent	thought	His appearance was very neat , and he looked like a sensible young man , but his person had no other advantage ; and when he came to be contrasted with gentlemen , she thought he must lose all the ground he had gained in Harriet 's inclination . 
Emma Woodhouse	agent	thought	""" "" I wonder he did not remember the book""--was all Harriet 's answer , and spoken with a degree of grave displeasure which Emma thought might be safely left to itself . She , therefore , said no more for some time . "
Emma Woodhouse	agent	fixed	Mr. Elton was the very person fixed on by Emma for driving the young farmer out of Harriet 's head . She thought it would be an excellent match ; and only too palpably desirable , natural , and probable , for her to have much merit in planning it . She feared it was what every body else must think of and predict . 
Emma Woodhouse	agent	imagined	He had a comfortable home for her , and Emma imagined a very sufficient income ; for though the vicarage of Highbury was not large , he was known to have some independent property ; and she thought very highly of him as a good - humoured , well - meaning , respectable young man , without any deficiency of useful understanding or knowledge of the world . 
Emma Woodhouse	agent	known	He had a comfortable home for her , and Emma imagined a very sufficient income ; for though the vicarage of Highbury was not large , he was known to have some independent property ; and she thought very highly of him as a good - humoured , well - meaning , respectable young man , without any deficiency of useful understanding or knowledge of the world . 
