Character	Role	Event	Context
Catherine Morland	agent	remember	I remember Miss Andrews could not get through the first volume . ” 
Catherine Morland	agent	thought	you surprise me ; I thought it had not been readable . 
Catherine Morland	agent	settled	But , my dearest Catherine , have you settled what to wear on your head to - night ? 
Catherine Morland	agent	know	The men take notice of _ that _ sometimes , you know . 
Catherine Morland	agent	said	“ But it does not signify if they do , ” said Catherine , very innocently . 
Catherine Morland	agent	make	i make it a rule never to mind what they say . 
Catherine Morland	agent	treat	They are very often amazingly impertinent if you do not treat them with spirit , and make them keep their distance . ” “ Are they ? 
Catherine Morland	agent	make	They are very often amazingly impertinent if you do not treat them with spirit , and make them keep their distance . ” “ Are they ? 
Catherine Morland	agent	observed	Well , I never observed _ that _ . 
Catherine Morland	agent	thought	by the by , though I have thought of it a hundred times , I have always forgot to ask you what is your favourite complexion in a man . 
Catherine Morland	agent	know	” “ I hardly know . 
Catherine Morland	agent	thought	I never much thought about it . 
Catherine Morland	agent	think	Something between both , I think . 
Catherine Morland	agent	forgot	I have not forgot your description of Mr. Tilney—‘a brown skin , with dark eyes , and rather dark hair . ’ 
Catherine Morland	agent	prefer	I prefer light eyes , and as to complexion — do you know — I like a sallow better than any other . 
Catherine Morland	agent	like	I prefer light eyes , and as to complexion — do you know — I like a sallow better than any other . 
Catherine Morland	agent	know	I prefer light eyes , and as to complexion — do you know — I like a sallow better than any other . 
Catherine Morland	agent	like	I prefer light eyes , and as to complexion — do you know — I like a sallow better than any other . 
Catherine Morland	agent	meet	You must not betray me , if you should ever meet with one of your acquaintance answering that description . 
Catherine Morland	agent	mean	what do you mean ? ” “ Nay , do not distress me . 
Catherine Morland	agent	believe	I believe I have said too much . 
Catherine Morland	agent	said	I believe I have said too much . 
Catherine Morland	agent	complied	Catherine , in some amazement , complied , and after remaining a few moments silent , was on the point of reverting to what interested her at that time rather more than anything else in the world , Laurentina ’s skeleton , when her friend prevented her , by saying , “ For heaven ’s sake ! 
Catherine Morland	agent	know	Do you know , there are 
Catherine Morland	agent	hope	I hope they are not so impertinent as to follow us . 
Catherine Morland	agent	know	Pray let me know if they are coming . 
Catherine Morland	agent	look	I am determined I will not look up . ” 
Catherine Morland	agent	assured	In a few moments Catherine , with unaffected pleasure , assured her that she need not be longer uneasy , as the gentlemen had just left the pump - room . 
Catherine Morland	agent	said	You said you should like to see it . ” 
Catherine Morland	agent	like	You said you should like to see it . ” 
Catherine Morland	agent	agreed	Catherine readily agreed . 
Catherine Morland	agent	dying	If we make haste , we shall pass by them presently , and I am dying to show you my hat . 
Catherine Morland	agent	pay	“ But if we only wait a few minutes , there will be no danger of our seeing them at all . ” “ I shall not pay them any such compliment , I assure you . 
Catherine Morland	agent	assure	“ But if we only wait a few minutes , there will be no danger of our seeing them at all . ” “ I shall not pay them any such compliment , I assure you . 
Catherine Morland	agent	have	I have no notion of treating men with such respect . 
Catherine Morland	agent	had	Catherine had nothing to oppose against such reasoning ; and therefore , to show the independence of Miss Thorpe , and her resolution of humbling the sex , they set off immediately as fast as they could walk , in pursuit of the two young men . 
Catherine Morland	agent	set	Catherine had nothing to oppose against such reasoning ; and therefore , to show the independence of Miss Thorpe , and her resolution of humbling the sex , they set off immediately as fast as they could walk , in pursuit of the two young men . 
Catherine Morland	agent	uttered	’ Tis James ! ” was uttered at the same moment by Catherine ; and , on catching the young men ’s eyes , the horse was immediately checked with a violence which almost threw him on his haunches , and the servant having now scampered up , the gentlemen jumped out , and the equipage was delivered to his care . 
Catherine Morland	agent	received	Catherine , by whom this meeting was wholly unexpected , received her brother with the liveliest pleasure ; and he , being of a very amiable disposition , and sincerely attached to her , gave every proof on his side of equal satisfaction , which he could have leisure to do , while the bright eyes of Miss Thorpe were incessantly challenging his notice ; and to her his devoirs were speedily paid , with a mixture of joy and embarrassment which might have informed Catherine , had she been more expert in the development of other people ’s feelings , and less simply engrossed by her own , that her brother thought her friend quite as pretty as she could do herself . 
Catherine Morland	agent	gave	Catherine , by whom this meeting was wholly unexpected , received her brother with the liveliest pleasure ; and he , being of a very amiable disposition , and sincerely attached to her , gave every proof on his side of equal satisfaction , which he could have leisure to do , while the bright eyes of Miss Thorpe were incessantly challenging his notice ; and to her his devoirs were speedily paid , with a mixture of joy and embarrassment which might have informed Catherine , had she been more expert in the development of other people ’s feelings , and less simply engrossed by her own , that her brother thought her friend quite as pretty as she could do herself . 
Catherine Morland	agent	said	He asked fifty guineas ; I closed with him directly , threw down the money , and the carriage was mine . ” “ And I am sure , ” said Catherine , “ I know so little of such things that I can not judge whether it was cheap or dear . ” “ Neither one nor t’other ; I might have got it for less , I dare say ; but I hate haggling , and poor Freeman wanted cash . ” “ That was very good - natured of you , ” said Catherine , quite pleased . 
Catherine Morland	agent	know	He asked fifty guineas ; I closed with him directly , threw down the money , and the carriage was mine . ” “ And I am sure , ” said Catherine , “ I know so little of such things that I can not judge whether it was cheap or dear . ” “ Neither one nor t’other ; I might have got it for less , I dare say ; but I hate haggling , and poor Freeman wanted cash . ” “ That was very good - natured of you , ” said Catherine , quite pleased . 
Catherine Morland	agent	judge	He asked fifty guineas ; I closed with him directly , threw down the money , and the carriage was mine . ” “ And I am sure , ” said Catherine , “ I know so little of such things that I can not judge whether it was cheap or dear . ” “ Neither one nor t’other ; I might have got it for less , I dare say ; but I hate haggling , and poor Freeman wanted cash . ” “ That was very good - natured of you , ” said Catherine , quite pleased . 
Catherine Morland	agent	said	He asked fifty guineas ; I closed with him directly , threw down the money , and the carriage was mine . ” “ And I am sure , ” said Catherine , “ I know so little of such things that I can not judge whether it was cheap or dear . ” “ Neither one nor t’other ; I might have got it for less , I dare say ; but I hate haggling , and poor Freeman wanted cash . ” “ That was very good - natured of you , ” said Catherine , quite pleased . 
Catherine Morland	agent	find	“ You will find , however , Miss Morland , it would be reckoned a cheap thing by some people , for I might have sold it for ten guineas more the next day ; Jackson , of Oriel , bid me sixty at once ; Morland was with me at the time . ” 
Catherine Morland	agent	forget	“ Yes , ” said Morland , who overheard this ; “ but you forget that your horse was included . ” “ My horse ! 
Catherine Morland	agent	said	“ Thank you , ” said Catherine , in some distress , from a doubt of the propriety of accepting such an offer . 
Catherine Morland	agent	Shall	“ Shall you indeed ! ” said Catherine very seriously . 
Catherine Morland	agent	said	“ Shall you indeed ! ” said Catherine very seriously . 
Catherine Morland	agent	take	morland must take care of you . ” 
Catherine Morland	agent	heard	This brought on a dialogue of civilities between the other two ; but Catherine heard neither the particulars nor the result . 
Catherine Morland	agent	going	Catherine , humbled and ashamed , was going to apologize for her question , but he prevented her by saying , “ Novels are all so full of nonsense and stuff ; there has not been a tolerably decent one come out since Tom Jones , except The Monk ; I read that t’other day ; but as for all the others , they are the stupidest things in creation . ” 
Catherine Morland	agent	prevented	Catherine , humbled and ashamed , was going to apologize for her question , but he prevented her by saying , “ Novels are all so full of nonsense and stuff ; there has not been a tolerably decent one come out since Tom Jones , except The Monk ; I read that t’other day ; but as for all the others , they are the stupidest things in creation . ” 
Catherine Morland	agent	like	“ I think you must like Udolpho , if you were to read it ; it is so very interesting . ” 
Catherine Morland	agent	said	“ Udolpho was written by Mrs. Radcliffe , ” said Catherine , with some hesitation , from the fear of mortifying him . 
Catherine Morland	agent	had	“ You had no loss , I assure you ; it is the horridest nonsense you can imagine ; there is nothing in the world in it but an old man ’s playing at see - saw and learning Latin ; upon my soul there is not . ” 
Catherine Morland	agent	like	Had she been older or vainer , such attacks might have done little ; but , where youth and diffidence are united , it requires uncommon steadiness of reason to resist the attraction of being called the most charming girl in the world , and of being so very early engaged as a partner ; and the consequence was that , when the two Morlands , after sitting an hour with the Thorpes , set off to walk together to Mr. Allen ’s , and James , as the door was closed on them , said , “ Well , Catherine , how do you like 
Catherine Morland	agent	like	“ He is as good - natured a fellow as ever lived ; a little of a rattle ; but that will recommend him to your sex , I believe : and how do you like the rest of the family ? ” 
Catherine Morland	agent	say	“ I am very glad to hear you say so ; she is just the kind of young woman I could wish to see you attached to ; she has so much good sense , and is so thoroughly unaffected and amiable ; I always wanted you to know her ; and she seems very fond of you . 
Catherine Morland	agent	attached	“ I am very glad to hear you say so ; she is just the kind of young woman I could wish to see you attached to ; she has so much good sense , and is so thoroughly unaffected and amiable ; I always wanted you to know her ; and she seems very fond of you . 
Catherine Morland	agent	know	“ I am very glad to hear you say so ; she is just the kind of young woman I could wish to see you attached to ; she has so much good sense , and is so thoroughly unaffected and amiable ; I always wanted you to know her ; and she seems very fond of you . 
Catherine Morland	agent	like	“ Indeed I am , ” she replied ; “ I love her exceedingly , and am delighted to find that you like her too . 
Catherine Morland	agent	mentioned	You hardly mentioned anything of her when you wrote to me after your visit there . ” 
Catherine Morland	agent	wrote	You hardly mentioned anything of her when you wrote to me after your visit there . ” 
Catherine Morland	agent	join	The dancing began within a few minutes after they were seated ; and James , who had been engaged quite as long as his sister , was very importunate with Isabella to stand up ; but John was gone into the card - room to speak to a friend , and nothing , she declared , should induce her to join the set before her dear Catherine could join it too . 
Catherine Morland	agent	accepted	Catherine accepted this kindness with gratitude , and they continued as they were for three minutes longer , when Isabella , who had been talking to James on the other side of her , turned again to his sister and whispered , “ My dear creature , I am afraid I must leave you , your brother is so amazingly impatient to begin ; I know you will not mind my going away , and I dare say John will be back in a moment , and then you may easily find me out . ” 
Catherine Morland	agent	continued	Catherine accepted this kindness with gratitude , and they continued as they were for three minutes longer , when Isabella , who had been talking to James on the other side of her , turned again to his sister and whispered , “ My dear creature , I am afraid I must leave you , your brother is so amazingly impatient to begin ; I know you will not mind my going away , and I dare say John will be back in a moment , and then you may easily find me out . ” 
Catherine Morland	agent	had	Catherine had fortitude too ; she suffered , but no murmur passed her lips . 
Catherine Morland	agent	sat	From these circumstances sprang the instant conclusion of his sister ’s now being by his side ; and therefore , instead of turning of a deathlike paleness and falling in a fit on Mrs. Allen ’s bosom , Catherine sat erect , in the perfect use of her senses , and with cheeks only a little redder than usual . Mr. Tilney and his companion , who continued , though slowly , to approach , were immediately preceded by a lady , an acquaintance of Mrs. Thorpe ; and this lady stopping to speak to her , they , as belonging to her , stopped likewise , and Catherine , catching Mr. Tilney ’s eye , instantly received from him the smiling tribute of recognition . 
Catherine Morland	agent	received	From these circumstances sprang the instant conclusion of his sister ’s now being by his side ; and therefore , instead of turning of a deathlike paleness and falling in a fit on Mrs. Allen ’s bosom , Catherine sat erect , in the perfect use of her senses , and with cheeks only a little redder than usual . Mr. Tilney and his companion , who continued , though slowly , to approach , were immediately preceded by a lady , an acquaintance of Mrs. Thorpe ; and this lady stopping to speak to her , they , as belonging to her , stopped likewise , and Catherine , catching Mr. Tilney ’s eye , instantly received from him the smiling tribute of recognition . 
Catherine Morland	agent	found	The two dances were scarcely concluded before Catherine found her arm gently seized by her faithful Isabella , who in great spirits exclaimed , “ At last I have got you . 
Catherine Morland	agent	know	You know I never stand upon ceremony with such people . ” 
Catherine Morland	agent	whispered	“ Look at that young lady with the white beads round her head , ” whispered Catherine , detaching her friend from James . 
Catherine Morland	agent	think	“ No , not at all ; but if you think it wrong , you had much better change . ” 
Catherine Morland	agent	had	“ No , not at all ; but if you think it wrong , you had much better change . ” 
Catherine Morland	agent	hear	“ There , ” cried Isabella , “ you hear what your sister says , and yet you will not mind her . 
Catherine Morland	agent	mind	“ There , ” cried Isabella , “ you hear what your sister says , and yet you will not mind her . 
Catherine Morland	agent	said	“ He was with us just now , and said he was so tired of lounging about , that he was resolved to go and dance ; so I thought perhaps he would ask you , if he met with you . ” “ Where can he be ? ” said Catherine , looking round ; but she had not looked round long before she saw him leading a young lady to the dance . 
Catherine Morland	agent	excused	Again Catherine excused herself ; and at last he walked off to quiz his sisters by himself . 
Catherine Morland	agent	walked	Again Catherine excused herself ; and at last he walked off to quiz his sisters by himself . 
Catherine Morland	agent	said	“ What do you mean ? ” said Catherine . 
Catherine Morland	agent	remember	“ Something was said about it , I remember , ” said Catherine , looking at Mrs. Allen for her opinion ; “ but really I did not expect you . 
Catherine Morland	agent	said	“ Something was said about it , I remember , ” said Catherine , looking at Mrs. Allen for her opinion ; “ but really I did not expect you . 
Catherine Morland	agent	expect	“ Something was said about it , I remember , ” said Catherine , looking at Mrs. Allen for her opinion ; “ but really I did not expect you . 
Catherine Morland	agent	expect	“ Something was said about it , I remember , ” said Catherine , looking at Mrs. Allen for her opinion ; “ but really I did not expect you . 
Catherine Morland	agent	bear	Catherine ’s silent appeal to her friend , meanwhile , was entirely thrown away , for Mrs. Allen , not being at all in the habit of conveying any expression herself by a look , was not aware of its being ever intended by anybody else ; and Catherine , whose desire of seeing Miss Tilney again could at that moment bear a short delay in favour of a drive , and who thought there could be no impropriety in her going with Mr. Thorpe , as Isabella was going at the same time with James , was therefore obliged to speak plainer . 
Catherine Morland	agent	took	Catherine took the advice , and ran off to get ready . 
Catherine Morland	agent	ran	Catherine took the advice , and ran off to get ready . 
Catherine Morland	agent	followed	I have a thousand things to say to you ; but make haste and get in , for I long to be off . ” Catherine followed her orders and turned away , but not too soon to hear her friend exclaim aloud to James , “ What a sweet girl she is ! 
Catherine Morland	agent	turned	I have a thousand things to say to you ; but make haste and get in , for I long to be off . ” Catherine followed her orders and turned away , but not too soon to hear her friend exclaim aloud to James , “ What a sweet girl she is ! 
Catherine Morland	agent	think	Catherine did not think the portrait a very inviting one , but it was too late to retreat , and she was too young to own herself frightened ; so , resigning herself to her fate , and trusting to the animal ’s boasted knowledge of its owner , she sat peaceably down , and saw Thorpe sit down by her . 
Catherine Morland	agent	sat	Catherine did not think the portrait a very inviting one , but it was too late to retreat , and she was too young to own herself frightened ; so , resigning herself to her fate , and trusting to the animal ’s boasted knowledge of its owner , she sat peaceably down , and saw Thorpe sit down by her . 
Catherine Morland	agent	spoke	Catherine , delighted at so happy an escape , spoke her pleasure aloud with grateful surprise ; and her companion immediately made the matter perfectly simple by assuring her that it was entirely owing to the peculiarly judicious manner in which he had then held the reins , and the singular discernment and dexterity with which he had directed his whip . 
Catherine Morland	agent	made	Catherine , delighted at so happy an escape , spoke her pleasure aloud with grateful surprise ; and her companion immediately made the matter perfectly simple by assuring her that it was entirely owing to the peculiarly judicious manner in which he had then held the reins , and the singular discernment and dexterity with which he had directed his whip . 
Catherine Morland	agent	congratulated	Catherine , though she could not help wondering that with such perfect command of his horse , he should think it necessary to alarm her with a relation of its tricks , congratulated herself sincerely on being under the care of so excellent a coachman ; and perceiving that the animal continued to go on in the same quiet manner , without showing the smallest propensity towards any unpleasant vivacity , and ( considering its inevitable pace was ten miles an hour ) by no means alarmingly fast , gave herself up to all the enjoyment of air and exercise of the most invigorating kind , in a fine mild day of February , with the consciousness of safety . 
Catherine Morland	agent	perceiving	Catherine , though she could not help wondering that with such perfect command of his horse , he should think it necessary to alarm her with a relation of its tricks , congratulated herself sincerely on being under the care of so excellent a coachman ; and perceiving that the animal continued to go on in the same quiet manner , without showing the smallest propensity towards any unpleasant vivacity , and ( considering its inevitable pace was ten miles an hour ) by no means alarmingly fast , gave herself up to all the enjoyment of air and exercise of the most invigorating kind , in a fine mild day of February , with the consciousness of safety . 
Catherine Morland	agent	understand	Catherine did not understand him — and he repeated his question , adding in explanation , “ Old Allen , the man you are with . ” 
Catherine Morland	agent	repeated	Catherine did not understand him — and he repeated his question , adding in explanation , “ Old Allen , the man you are with . ” 
Catherine Morland	agent	said	But this will just give you a notion of the general rate of drinking there . ” “ Yes , it does give a notion , ” said Catherine warmly , “ and that is , that you all drink a great deal more wine than I thought you did . 
Catherine Morland	agent	thought	But this will just give you a notion of the general rate of drinking there . ” “ Yes , it does give a notion , ” said Catherine warmly , “ and that is , that you all drink a great deal more wine than I thought you did . 
Catherine Morland	agent	said	“ You do not really think , Mr. Thorpe , ” said Catherine , venturing after some time to consider the matter as entirely decided , and to offer some little variation on the subject , “ that James ’s gig will break down ? ” 
Catherine Morland	agent	beheld	It is the most devilish little rickety business I ever beheld ! 
Catherine Morland	agent	cried	“ Good heavens ! ” cried Catherine , quite frightened . 
Catherine Morland	agent	undertake	i would undertake for five pounds to drive it to York and back again , without losing a nail . ” Catherine listened with astonishment ; she knew not how to reconcile two such very different accounts of the same thing ; for she had not been brought up to understand the propensities of a rattle , nor to know to how many idle assertions and impudent falsehoods the excess of vanity will lead . 
Catherine Morland	agent	listened	i would undertake for five pounds to drive it to York and back again , without losing a nail . ” Catherine listened with astonishment ; she knew not how to reconcile two such very different accounts of the same thing ; for she had not been brought up to understand the propensities of a rattle , nor to know to how many idle assertions and impudent falsehoods the excess of vanity will lead . 
Catherine Morland	agent	tell	and she would neither believe her own watch , nor her brother ’s , nor the servant ’s ; she would believe no assurance of it founded on reason or reality , till Morland produced his watch , and ascertained the fact ; to have doubted a moment longer _ then _ , would have been equally inconceivable , incredible , and impossible ; and she could only protest , over and over again , that no two hours and a half had ever gone off so swiftly before , as Catherine was called on to confirm ; Catherine could not tell a falsehood even to please Isabella ; but the latter was spared the misery of her friend ’s dissenting voice , by not waiting for her answer . 
Catherine Morland	agent	spared	and she would neither believe her own watch , nor her brother ’s , nor the servant ’s ; she would believe no assurance of it founded on reason or reality , till Morland produced his watch , and ascertained the fact ; to have doubted a moment longer _ then _ , would have been equally inconceivable , incredible , and impossible ; and she could only protest , over and over again , that no two hours and a half had ever gone off so swiftly before , as Catherine was called on to confirm ; Catherine could not tell a falsehood even to please Isabella ; but the latter was spared the misery of her friend ’s dissenting voice , by not waiting for her answer . 
Catherine Morland	agent	found	Catherine found Mrs. Allen just returned from all the busy idleness of the morning , and was immediately greeted with , “ Well , my dear , here you are , ” a truth which she had no greater inclination than power to dispute ; “ and I hope you have had a pleasant airing ? ” 
Catherine Morland	agent	inquired	Catherine inquired no further ; she had heard enough to feel that Mrs. Allen had no real intelligence to give , and that she was most particularly unfortunate herself in having missed such a meeting with both brother and sister . 
Catherine Morland	agent	sat	The Allens , Thorpes , and Morlands all met in the evening at the theatre ; and , as Catherine and Isabella sat together , there was then an opportunity for the latter to utter some few of the many thousand things which had been collecting within her for communication in the immeasurable length of time which had divided them . 
Catherine Morland	agent	entering	my beloved Catherine , have I got you at last ? ” was her address on Catherine ’s entering the box and sitting by her . 
Catherine Morland	agent	sitting	my beloved Catherine , have I got you at last ? ” was her address on Catherine ’s entering the box and sitting by her . 
Catherine Morland	agent	said	“ No , ” said Catherine , “ he is not here ; I can not see him anywhere . ” 
Catherine Morland	agent	see	“ No , ” said Catherine , “ he is not here ; I can not see him anywhere . ” 
Catherine Morland	agent	made	“ Indeed you do me injustice ; I would not have made so improper a remark upon any account ; and besides , I am sure it would never have entered my head . ” 
Catherine Morland	agent	took	The female part of the Thorpe family , attended by James Morland , appeared among the crowd in less than a quarter of an hour , and Catherine immediately took her usual place by the side of her friend . James , who was now in constant attendance , maintained a similar position , and separating themselves from the rest of their party , they walked in that manner for some time , till Catherine began to doubt the happiness of a situation which , confining her entirely to her friend and brother , gave her very little share in the notice of either . 
Catherine Morland	agent	began	The female part of the Thorpe family , attended by James Morland , appeared among the crowd in less than a quarter of an hour , and Catherine immediately took her usual place by the side of her friend . James , who was now in constant attendance , maintained a similar position , and separating themselves from the rest of their party , they walked in that manner for some time , till Catherine began to doubt the happiness of a situation which , confining her entirely to her friend and brother , gave her very little share in the notice of either . 
Catherine Morland	agent	added	“ You can not think , ” added Catherine after a moment ’s silence , “ how surprised I was to see him again . 
Catherine Morland	agent	felt	I felt so sure of his being quite gone away . ” 
Catherine Morland	agent	think	Do you think her pretty ? ” “ Not very . ” 
Catherine Morland	agent	suppose	“ He never comes to the pump - room , I suppose ? ” 
Catherine Morland	agent	hope	“ I hope I shall have the pleasure of seeing you again soon , ” said Catherine . 
Catherine Morland	agent	have	“ I hope I shall have the pleasure of seeing you again soon , ” said Catherine . 
Catherine Morland	agent	said	“ I hope I shall have the pleasure of seeing you again soon , ” said Catherine . 
Catherine Morland	agent	knew	Catherine knew all this very well ; her great aunt had read her a lecture on the subject only the Christmas before ; and yet she lay awake ten minutes on Wednesday night debating between her spotted and her tamboured muslin , and nothing but the shortness of the time prevented her buying a new one for the evening 
Catherine Morland	agent	read	Catherine knew all this very well ; her great aunt had read her a lecture on the subject only the Christmas before ; and yet she lay awake ten minutes on Wednesday night debating between her spotted and her tamboured muslin , and nothing but the shortness of the time prevented her buying a new one for the evening 
Catherine Morland	agent	keep	I tell him he ought to be ashamed of himself , but you and John must keep us in countenance . 
Catherine Morland	agent	had	Catherine had neither time nor inclination to answer . 
Catherine Morland	agent	kick	“ Oh , no ; they will never think of _ me _ , after such a description as that . ” “ By heavens , if they do not , I will kick them out of the room for blockheads . 
Catherine Morland	agent	satisfied	Catherine satisfied his curiosity . 
Catherine Morland	agent	repeated	“ Tilney , ” he repeated . 
Catherine Morland	agent	know	“ Hum — I do not know him . 
