Character	MostCommon	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50
Dr. Grant	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mrs. Grant	Mrs. Norris	Sir Thomas Bertram	General Tilney	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Lucas	Lady Middleton	Sir John Middleton	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Edmund Bertram	Anna Weston	Fanny Price	Henry Crawford	Julia Bertram	Lady Bertram	Maria Bertram	Mary Crawford	Mrs. Norris	Sir Thomas Bertram	Tom Bertram	William Price	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Fanny Price	Elinor Dashwood	Elinor Dashwood	Marianne Dashwood	Catherine Morland	Anne Elliot	Elizabeth Bennet	Jane Bennet	Fanny Dashwood	Mrs. Dashwood	Eleanor Tilney	Susan Price	Elinor Dashwood	Elinor Dashwood	Fanny Dashwood	Margaret Dashwood	Marianne Dashwood	Mrs. Dashwood	Catherine Morland	Eleanor Tilney	Frederick Tilney	Henry Tilney	Isabella Thorpe	Elinor Dashwood	Marianne Dashwood	Catherine Morland	Anne Elliot	Elizabeth Bennet	Jane Bennet	Eleanor Tilney	Henrietta Musgrove	Louisa Musgrove	Susan Price	Elinor Dashwood	Fanny Dashwood	Margaret Dashwood	Marianne Dashwood	Mrs. Dashwood	Mrs. Jennings	Robert Ferrars	Sir John Middleton	Thomas Palmer
Henry Crawford	Frank Churchill	Frank Churchill	Miss Bates	Philip Elton	Julia Bertram	Maria Bertram	Mary Crawford	Mr. Rushworth	Mr. Yates	Mrs. Norris	John Willoughby	Frank Churchill	Philip Elton	Julia Bertram	Maria Bertram	Mary Crawford	Mr. Rushworth	Mr. Yates	John Thorpe	William Elliot	John Willoughby	Frank Churchill	Miss Bates	Philip Elton	Edmund Bertram	Julia Bertram	Maria Bertram	Mary Crawford	Mr. Rushworth	Mr. Yates	Tom Bertram	Frank Churchill	Philip Elton	Julia Bertram	Maria Bertram	Mary Crawford	Mr. Rushworth	Mr. Yates	John Thorpe	William Elliot	John Willoughby	Frank Churchill	Miss Bates	Philip Elton	Julia Bertram	Maria Bertram	Mary Crawford	Mr. Rushworth	Mr. Yates	John Thorpe	Mrs. Thorpe
Julia Bertram	Maria Bertram	Maria Bertram	Edmund Bertram	Lady Bertram	Mary Crawford	Sir Thomas Bertram	Tom Bertram	Mr. Rushworth	Mr. Yates	Mrs. Grant	Mrs. Norris	Maria Bertram	Mary Crawford	Edmund Bertram	Lady Bertram	Sir Thomas Bertram	Tom Bertram	Susan Price	Henry Crawford	Mr. Rushworth	Mr. Yates	Lady Bertram	Maria Bertram	Edmund Bertram	Mary Crawford	Sir Thomas Bertram	Tom Bertram	Mr. Rushworth	Mr. Yates	Fanny Price	Henry Crawford	Maria Bertram	Lady Bertram	Sir Thomas Bertram	Mary Crawford	Edmund Bertram	Tom Bertram	Mr. Rushworth	Mr. Yates	Henry Crawford	Fanny Price	Maria Bertram	Mary Crawford	Lady Bertram	Sir Thomas Bertram	Mr. Rushworth	Mr. Yates	Mrs. Norris	Mrs. Price	Mrs. Rushworth	Susan Price
Lady Bertram	Maria Bertram	Maria Bertram	Julia Bertram	Sir Thomas Bertram	Mrs. Norris	Lady Middleton	Lady Russell	Lady Catherine de Bourgh	Lady Lucas	Mrs. Jennings	Sir John Middleton	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Maria Bertram	Mrs. Norris	Mrs. Price	Sir Thomas Bertram	General Tilney	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Lucas	Lady Middleton	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Maria Bertram	Mrs. Norris	Mrs. Price	Sir Thomas Bertram	General Tilney	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Lucas	Lady Middleton
Maria Bertram	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mary Crawford	Emma Woodhouse	Emma Woodhouse	Henry Crawford	Maria Bertram	Mr. Rushworth	Mr. Yates	Isabella Thorpe	John Thorpe	Mrs. Thorpe	Caroline Bingley	Mrs. Hurst	Emma Woodhouse	Frank Churchill	Jane Fairfax	Henry Crawford	Julia Bertram	Maria Bertram	Mr. Rushworth	Mr. Yates	Isabella Thorpe	John Thorpe	Emma Woodhouse	Frank Churchill	Henry Crawford	Julia Bertram	Maria Bertram	Mary Crawford	Isabella Thorpe	John Thorpe	Caroline Bingley	Lydia Bennet	Emma Woodhouse	Frank Churchill	Henry Crawford	Lieutenant Price	Mr. Rushworth	Mr. Yates	Mrs. Price	Sir Thomas Bertram	Tom Bertram	John Thorpe	Emma Woodhouse	Jane Fairfax	Henry Crawford	Julia Bertram	Maria Bertram	Mary Crawford	Mr. Rushworth	Mr. Yates	Isabella Thorpe	John Thorpe
Lieutenant Price	William Price	William Price	Admiral Croft	Captain Benwick	Captain Harville	Charles Hayter	Elizabeth Elliot	Louisa Musgrove	Mary Musgrove	Mr. Musgrove	Captain Wentworth	William Price	Anne Elliot	Captain Benwick	Captain Harville	Charles Hayter	Charles Musgrove	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Captain Wentworth	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	William Price	Catherine Morland	James Morland	John Thorpe	Admiral Croft	Captain Benwick	Captain Harville	Charles Hayter	Louisa Musgrove	Captain Wentworth	William Price	Admiral Croft	Captain Benwick	Captain Harville	Charles Hayter	Elizabeth Elliot	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Mr. Musgrove
Mr. Rushworth	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mr. Yates	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mr. Rushworth	John Thorpe	Mrs. Thorpe	Elizabeth Elliot	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Clay	Mr. Musgrove	Sir Walter Elliot
Mrs. Grant	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mrs. Norris	Augusta Elton	Augusta Elton	Mrs. Cole	Mary Crawford	Mrs. Price	Mrs. Thorpe	Lady Russell	Mrs. Clay	Lady Catherine de Bourgh	Mrs. Bennet	Mrs. Phillips	Augusta Elton	Mrs. Cole	Philip Elton	Mary Crawford	Mr. Rushworth	Mr. Yates	Mrs. Thorpe	Mrs. Clay	Lady Catherine de Bourgh	Fanny Dashwood	Augusta Elton	Mrs. Cole	Mary Crawford	Mrs. Price	Mrs. Thorpe	Mrs. Clay	Lady Catherine de Bourgh	Mrs. Hurst	Mrs. Phillips	Fanny Dashwood	Augusta Elton	Mrs. Cole	Mary Crawford	Mrs. Grant	Mrs. Price	Mrs. Thorpe	Mrs. Clay	Lady Catherine de Bourgh	Mrs. Hurst	Mrs. Phillips	Augusta Elton	Mrs. Cole	Philip Elton	Mary Crawford	Mr. Rushworth	Mr. Yates	Mrs. Thorpe	Sir Walter Elliot	Lady Catherine de Bourgh	William Collins
Mrs. Price	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mrs. Norris	Mrs. Morland	Mrs. Bennet	Mrs. Dashwood	Mrs. Musgrove	Lady Russell	Mrs. Jennings	Lady Middleton	Lady Lucas	Mrs. Gardiner
Mrs. Rushworth	Anna Weston	Maria Bertram	Mary Crawford	Mr. Rushworth	Mrs. Norris	Sir Thomas Bertram	Elizabeth Elliot	Sir Walter Elliot	Caroline Bingley	Lady Catherine de Bourgh	William Collins	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Maria Bertram	Mary Crawford	Mr. Rushworth	Mrs. Norris	Sir Thomas Bertram	Elizabeth Elliot	Sir Walter Elliot	William Elliot	Lady Catherine de Bourgh	William Collins	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
