Character	MostCommon	C1	C2	C3	C4	C5
Elizabeth Elliot	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse
Henrietta Musgrove	Harriet Smith	Harriet Smith	Harriet Smith	Harriet Smith	Harriet Smith	Harriet Smith
Lady Russell	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh
Louisa Musgrove	Lydia Bennet	Lydia Bennet	Lydia Bennet	Lydia Bennet	Lydia Bennet	Lydia Bennet
Mary Musgrove	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet
Mr. Shepherd	William Collins	William Collins	William Collins	William Collins	John Dashwood	William Collins
Mrs. Clay	Lucy Steele	Lucy Steele	Lucy Steele	Lucy Steele	Lucy Steele	Lucy Steele
Mrs. Croft	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Mrs. Gardiner
Mrs. Harville	Mrs. Gardiner	Mrs. Gardiner	Mrs. Gardiner	Mrs. Gardiner	Mrs. Gardiner	Mrs. Gardiner
Mrs. Musgrove	Mrs. Bennet	Mrs. Bennet	Mrs. Jennings	Mrs. Bennet	Mrs. Bennet	Mrs. Jennings
Mr. Musgrove	Mr. Weston	Mr. Weston	Sir John Middleton	Mr. Weston	Sir John Middleton	Mr. Weston
Mrs. Smith	Mrs. Jennings	Miss Bates	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings
Sir Walter Elliot	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh
William Elliot	George Wickham	George Wickham	George Wickham	George Wickham	George Wickham	George Wickham
Captain Wentworth	Captain Benwick	Captain Benwick	Captain Benwick	Captain Harville	Colonel Brandon	Captain Benwick
Caroline Bingley	Augusta Elton	Augusta Elton	Lady Catherine de Bourgh	Augusta Elton	Augusta Elton	Augusta Elton
Charles Bingley	Charles Musgrove	Charles Musgrove	Charles Musgrove	Mr. Weston	Charles Musgrove	Charles Musgrove
Charlotte Lucas	Charlotte Palmer	Charlotte Palmer	Charlotte Palmer	Charlotte Palmer	Elinor Dashwood	Charlotte Palmer
Colonel Fitzwilliam	Colonel Brandon	Colonel Brandon	Colonel Brandon	Colonel Brandon	Captain Wentworth	Colonel Brandon
Mr. Gardiner	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Sir John Middleton	George Knightley	Sir John Middleton
Elizabeth Bennet	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse
Fitzwilliam Darcy	George Knightley	George Knightley	George Knightley	George Knightley	George Knightley	George Knightley
George Wickham	John Willoughby	John Willoughby	John Willoughby	John Willoughby	John Willoughby	John Willoughby
Georgiana Darcy	Jane Bennet	Fanny Price	Fanny Price	Jane Bennet	Jane Bennet	Jane Bennet
Jane Bennet	Fanny Price	Fanny Price	Fanny Price	Fanny Price	Elinor Dashwood	Elinor Dashwood
Kitty Bennet	Lydia Bennet	Lydia Bennet	Lydia Bennet	Lydia Bennet	Louisa Musgrove	Lydia Bennet
Lady Catherine de Bourgh	Lady Russell	Mrs. Norris	Lady Russell	Lady Russell	Mrs. Norris	Lady Russell
Lady Lucas	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet
Lydia Bennet	Louisa Musgrove	Louisa Musgrove	Louisa Musgrove	Louisa Musgrove	Louisa Musgrove	Louisa Musgrove
Mary Bennet	Fanny Price	Fanny Price	Fanny Price	William Collins	Fanny Price	Fanny Price
Mr. Bennet	Mr. Woodhouse	Mr. Woodhouse	Mr. Woodhouse	Mr. Woodhouse	Sir Walter Elliot	Mr. Woodhouse
Mrs. Bennet	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings
Mr. Phillips	Mr. Shepherd	Mr. Hurst	Mr. Hurst	Mr. Shepherd	Mr. Shepherd	Mr. Shepherd
Mrs. Gardiner	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood
Mrs. Hurst	Caroline Bingley	Caroline Bingley	Caroline Bingley	Caroline Bingley	Caroline Bingley	Caroline Bingley
Mr. Hurst	John Dashwood	John Dashwood	Sir John Middleton	John Dashwood	Sir John Middleton	Thomas Palmer
Mrs. Phillips	Mrs. Jennings	Mrs. Bennet	Mrs. Jennings	Mrs. Jennings	Mrs. Bennet	Mrs. Jennings
Sir William Lucas	Sir Walter Elliot	Sir Walter Elliot	Sir Walter Elliot	Sir Walter Elliot	Sir Walter Elliot	Sir Walter Elliot
William Collins	Philip Elton	Philip Elton	Philip Elton	Philip Elton	Philip Elton	Philip Elton
Anne Steele	Lucy Steele	Lucy Steele	Lucy Steele	Lucy Steele	Lucy Steele	Lucy Steele
Charlotte Palmer	Mrs. Jennings	Augusta Elton	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings
Colonel Brandon	George Knightley	Captain Wentworth	George Knightley	Captain Wentworth	George Knightley	George Knightley
Edward Ferrars	Colonel Brandon	Colonel Brandon	Colonel Brandon	Colonel Brandon	Colonel Brandon	Colonel Brandon
Elinor Dashwood	Anne Elliot	Anne Elliot	Anne Elliot	Anne Elliot	Anne Elliot	Anne Elliot
Fanny Dashwood	Mrs. Norris	Lady Catherine de Bourgh	Augusta Elton	Mrs. Norris	Mrs. Norris	Mrs. Norris
John Dashwood	Mr. Weston	Robert Ferrars	Mr. Weston	Mr. Weston	Mr. Weston	Mr. Weston
John Willoughby	George Wickham	George Wickham	George Wickham	George Wickham	George Wickham	George Wickham
Lady Middleton	Lady Bertram	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Bertram	Lady Bertram	Lady Bertram
Lucy Steele	Isabella Thorpe	Isabella Thorpe	Isabella Thorpe	Mary Crawford	Caroline Bingley	Isabella Thorpe
Margaret Dashwood	Catherine Morland	Catherine Morland	Harriet Smith	Catherine Morland	Catherine Morland	Catherine Morland
Marianne Dashwood	Emma Woodhouse	Catherine Morland	Elizabeth Bennet	Emma Woodhouse	Emma Woodhouse	Lydia Bennet
Mrs. Dashwood	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet
Mrs. Jennings	Miss Bates	Miss Bates	Miss Bates	Miss Bates	Miss Bates	Miss Bates
Robert Ferrars	John Dashwood	John Dashwood	John Dashwood	John Willoughby	John Dashwood	Philip Elton
Sir John Middleton	Sir William Lucas	Mr. Weston	Sir William Lucas	Mr. Weston	Sir William Lucas	Sir William Lucas
Thomas Palmer	Mr. Bennet	Mr. Bennet	Mr. Bennet	Mr. Bennet	John Knightley	Mr. Bennet
