character,Admiral Croft,Anna Weston,Anne Elliot,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Knightley,John Thorpe,John Willoughby,Julia Bertram,Kitty Bennet,Lady Bertram,Lady Catherine de Bourgh,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Musgrove,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Musgrove,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Rushworth,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,Tom Bertram,William Collins,William Elliot,William Price
Charles Musgrove,0.194319,0.093528,0.351341,-0.057925,0.264673,0.182185,0.249567,-0.194321,-0.061603,-0.148344,1.0,-0.203642,0.036626,0.134029,0.033174,-0.077846,-0.00255,0.101677,-0.021385,-0.146666,0.040766,-0.121247,-0.147693,-0.166545,-0.244256,-0.202486,0.165076,0.017016,-0.037485,-0.011403,-0.213122,-0.000818,0.071774,-0.097137,-0.021749,-0.147558,-0.034563,0.104392,-0.205822,-0.107443,-0.082134,-0.013479,0.108317,-0.029102,-0.067371,0.031533,-0.099299,0.091677,-0.090999,-0.051813,0.200825,-0.114851,-0.060306,0.006897,-0.202403,0.160885,-0.066345,-0.149193,0.288053,-0.169615,0.051077,0.077035,-0.006865,-0.061058,0.200063,-0.016668,-0.169193,0.06696,-0.029897,-0.144657,-0.0801,-0.022853,-0.004008,-0.246981,-0.015377,0.103337,-0.051056,-0.018358,-0.198996,-0.144104,0.046808,-0.050222,-0.105453,0.095257,-0.156418,-0.012457,-0.022771,0.081188,0.227627,0.04361,-0.278395,0.041777,-0.071838,0.154014,-0.138435,0.067031,0.050396,-0.062071,0.063301,-0.122639,-0.298693,0.168148,-0.056859
Charlotte Lucas,-0.08326,-0.115168,-0.171556,0.019832,-0.025644,-0.112334,-0.122331,0.402519,0.067287,0.414502,-0.203642,1.0,-0.158389,-0.141669,0.063725,-0.026892,-0.183651,0.053608,-0.137896,0.378999,0.073575,-0.086062,0.011358,0.082457,0.36652,-0.062486,-0.086873,0.132675,-0.051494,0.264896,0.26056,-0.107545,-0.211023,0.125273,-0.001948,-0.014555,0.035242,-0.028048,0.217228,-0.038347,-0.133603,0.001907,-0.085688,-0.184591,-0.002395,0.097084,-0.047849,0.159146,-0.151237,-0.057957,-0.197373,-0.046614,0.151391,-0.045155,0.14085,-0.120521,-0.027022,0.073355,-0.13922,-0.058755,0.115564,0.115287,0.013296,0.219993,-0.168341,-0.058588,-0.020984,-0.167769,-0.134843,-0.047238,-0.056449,0.199834,-0.128422,0.376222,-0.029746,0.12703,-0.074559,-0.105931,0.317373,0.203564,-0.035366,-0.111146,0.004848,0.018343,0.044565,-0.101605,-0.089009,-0.079163,-0.143602,0.20221,-0.077233,0.025427,-0.124112,0.024703,0.019453,-0.135144,0.162371,-0.065732,-0.005041,-0.009807,0.406181,-0.179542,0.001781
Charlotte Palmer,0.260203,0.083773,-0.067335,0.173489,0.026824,0.188587,-0.04986,-0.20995,-0.200333,-0.245604,0.036626,-0.158389,1.0,0.346923,-0.114048,-0.187559,0.315054,0.026958,0.155105,-0.325358,-0.130686,0.019498,-0.007349,-0.213164,-0.359132,0.07784,-0.104239,0.078606,-0.067247,-0.244486,-0.091317,0.129874,0.089882,-0.254466,-0.035447,-0.020232,-0.22289,-0.033888,-0.2691,0.040015,-0.062951,0.074153,-0.044276,0.253466,-0.039783,-0.052891,-0.006267,-0.069157,0.254057,-0.063837,0.19121,0.111748,0.000396,0.149568,-0.16812,0.161064,-0.085971,-0.176067,-0.047078,0.050218,0.003738,-0.08324,-0.154821,-0.168152,0.138952,-0.046515,-0.187074,-0.006183,0.139732,-0.003203,-0.029608,0.009033,0.093146,-0.246374,-0.125388,-0.104304,0.008309,0.265791,-0.211075,-0.27659,0.065536,0.258871,-0.215418,-0.14468,-0.166853,0.081713,-0.026545,0.10053,0.125396,-0.020005,0.061956,0.196697,-0.008265,0.274009,-0.190399,0.051485,-0.188397,-0.142308,0.268895,-0.08763,-0.28072,0.128661,-0.242405
Colonel Brandon,0.645301,0.304278,-0.148009,0.589947,0.210675,0.587317,-0.279608,-0.315445,-0.409601,-0.393845,0.134029,-0.141669,0.346923,1.0,-0.16187,-0.380267,0.759024,0.250808,0.543023,-0.413935,-0.163243,0.21752,-0.094928,-0.481272,-0.338741,0.050323,-0.048906,0.241067,0.197074,0.019792,-0.153998,0.5492,-0.020949,-0.317913,0.062645,-0.149534,-0.375042,0.070207,-0.40604,0.147142,-0.128684,0.416233,-0.068532,0.674304,-0.221903,-0.378209,-0.15277,0.057291,0.007047,-0.321007,0.564696,0.513931,-0.194392,0.346332,-0.384716,0.754232,-0.088321,-0.421714,-0.172278,-0.004837,0.124372,-0.270911,-0.123583,-0.108597,0.088039,-0.284919,-0.524231,-0.042409,0.139018,-0.100178,-0.272801,0.279641,0.088406,-0.490725,-0.239995,0.042914,0.152104,0.659366,-0.265447,-0.38241,0.276654,0.537631,-0.240546,-0.104821,-0.505609,0.010559,-0.375096,0.18544,0.488887,0.112464,-0.172143,0.543858,-0.276035,0.4119,-0.55904,0.116306,-0.222382,-0.411091,0.523585,-0.372024,-0.428217,0.146853,-0.489738
Colonel Fitzwilliam,-0.212773,-0.068251,-0.097194,-0.342638,-0.08049,-0.158949,-0.103725,0.113788,0.203582,0.267888,0.033174,0.063725,-0.114048,-0.16187,1.0,0.18884,-0.265022,0.046149,-0.097764,0.482951,0.01847,-0.164122,0.080814,0.181575,0.329848,-0.149285,0.061636,-0.124955,-0.098287,0.32759,0.124668,-0.255574,-0.095199,0.129298,0.148679,-0.186646,0.216948,0.133846,0.262396,-0.205638,-0.003985,-0.237542,0.206038,-0.092323,0.158892,0.265194,0.007981,0.05895,0.020054,-0.071115,-0.28764,-0.159525,0.089108,-0.053545,0.157437,-0.13297,-0.066612,0.056382,-0.075129,-0.233426,-0.020947,0.252283,0.391714,-0.087269,0.154427,-0.007428,0.111373,-0.098658,-0.070051,-0.255689,0.02246,-0.094227,-0.158713,0.286909,-0.198,-0.010907,0.098069,-0.246655,0.129283,-0.037014,0.079506,-0.157368,-0.084145,-0.139449,-0.006467,-0.019228,-0.052764,0.033441,-0.2315,-0.121341,-0.193478,-0.166,0.07487,-0.023278,0.17023,-0.205623,0.087713,-0.063937,-0.133716,0.023423,0.177376,-0.103526,-0.046092
Edmund Bertram,-0.386758,-0.179547,-0.089532,-0.416653,-0.086158,-0.262405,0.047887,0.075947,0.312975,0.162223,-0.077846,-0.026892,-0.187559,-0.380267,0.18884,1.0,-0.300978,-0.057572,-0.135858,0.207103,-0.047735,-0.24351,0.049825,0.663509,0.190422,-0.085574,0.167686,-0.149475,-0.182961,0.032017,0.076059,-0.359411,-0.030134,0.393763,0.168738,-0.06282,0.243799,0.021065,0.204317,-0.225735,0.088869,-0.274406,0.125621,-0.251273,0.329328,0.157979,0.367271,0.042404,0.009701,0.063892,-0.329516,-0.16135,0.047238,-0.101692,0.387439,-0.271021,0.072428,0.410421,-0.080221,-0.155197,-0.056333,0.010126,0.070248,-0.016812,-0.025314,0.039068,0.38,-0.064123,-0.200613,-0.20621,0.276589,-0.156692,-0.081477,0.13013,-0.099846,-0.104869,-0.052194,-0.276898,0.028852,0.228133,-0.084824,-0.240317,0.061727,-0.104012,0.424907,-0.042506,0.184611,-0.103995,-0.336752,-0.191887,-0.074187,-0.248767,0.03664,-0.250862,0.584573,-0.2649,0.15251,0.211062,-0.327051,0.28647,0.073904,-0.154356,0.48154
Edward Ferrars,0.470136,0.217669,-0.117938,0.531571,0.134919,0.479899,-0.215463,-0.248798,-0.411225,-0.386309,-0.00255,-0.183651,0.315054,0.759024,-0.265022,-0.300978,1.0,0.035962,0.628834,-0.432766,-0.206634,0.231844,0.009633,-0.454594,-0.305298,0.15583,-0.088794,0.161279,0.148377,-0.131813,-0.168445,0.475856,0.051806,-0.316662,-0.056779,-0.054437,-0.34472,-0.044688,-0.311341,0.180921,0.090579,0.313249,-0.15621,0.652878,-0.226841,-0.350495,-0.132382,-0.100647,0.082559,-0.145994,0.459924,0.644464,-0.219659,0.296659,-0.33753,0.682694,0.007955,-0.352511,-0.170456,0.13691,0.036167,-0.233805,-0.204678,-0.038926,-0.081138,-0.229663,-0.415407,-0.022738,0.103671,0.026902,-0.214924,0.072451,0.158267,-0.459463,-0.181082,-0.030497,0.175545,0.716275,-0.208974,-0.247435,0.11399,0.55396,-0.21319,-0.148244,-0.370676,0.047645,-0.289838,0.047011,0.397633,-0.005776,0.007589,0.52677,-0.190131,0.246887,-0.455782,0.202268,-0.198541,-0.260317,0.413417,-0.223696,-0.354349,0.085676,-0.306466
Eleanor Tilney,0.16404,0.008329,-0.148114,0.032777,0.088193,0.145924,-0.156428,-0.074686,0.330726,-0.01821,0.101677,0.053608,0.026958,0.250808,0.046149,-0.057572,0.035962,1.0,-0.035278,0.037163,-0.105037,-0.194424,-0.066,0.091644,-0.048022,-0.310307,0.067957,0.449949,-0.11924,0.233948,0.018619,-0.012961,-0.293191,0.025418,0.37698,-0.1855,0.097209,0.246605,-0.223144,-0.20184,-0.108413,0.157713,0.168465,0.038528,0.032079,-0.041652,-0.004602,0.230109,-0.0286,-0.354372,0.239225,-0.045909,-0.007138,0.189483,-0.060981,0.183738,-0.136641,0.046992,-0.065645,-0.25549,0.204136,-0.135268,0.124848,0.002674,0.274788,-0.091894,-0.135306,-0.251206,-0.052959,-0.283885,-0.044018,0.501574,-0.18296,-0.073707,-0.256129,0.099306,-0.066964,-0.029714,-0.078467,-0.182508,0.347212,0.074529,-0.104679,0.03574,-0.048607,-0.110822,-0.001964,0.084145,0.076645,0.250279,-0.364149,0.110516,-0.375207,0.222021,-0.16182,-0.171891,0.050041,-0.300139,0.110157,-0.207925,-0.102284,-0.05447,-0.236398
Elinor Dashwood,0.10559,0.147352,0.01487,0.239744,0.000109,0.238185,-0.152192,-0.24608,-0.260514,-0.226684,-0.021385,-0.137896,0.155105,0.543023,-0.097764,-0.135858,0.628834,-0.035278,1.0,-0.170259,-0.067282,0.225974,0.195578,-0.24677,-0.125502,0.113804,0.017086,-0.045164,0.201154,-0.031264,0.013632,0.314998,-0.034839,-0.168547,-0.013601,-0.053145,-0.205639,-0.107114,-0.029949,0.145818,0.30864,0.12199,-0.159749,0.767748,-0.205446,-0.242848,-0.142115,-0.063148,0.209848,-0.015735,0.162086,0.66644,-0.209125,0.21525,-0.198338,0.716971,-0.014925,-0.301742,-0.099222,0.057282,-0.071969,-0.128226,-0.041389,-0.073638,-0.056914,-0.141101,-0.274274,-0.026401,0.048583,-0.034763,-0.22489,-0.081201,0.043982,-0.260785,-0.132807,0.043749,0.461365,0.60938,-0.109652,-0.137894,0.015832,0.681991,-0.172911,-0.097342,-0.299748,-0.106555,-0.291701,-0.06239,0.185796,-0.153736,0.010336,0.273682,-0.118188,0.085997,-0.249636,-0.03298,-0.181374,-0.143478,0.380532,-0.174884,-0.144839,0.057821,-0.149806
Elizabeth Bennet,-0.482628,-0.225445,-0.065299,-0.418929,-0.163668,-0.270369,-0.064716,0.450139,0.402352,0.697823,-0.146666,0.378999,-0.325358,-0.413935,0.482951,0.207103,-0.432766,0.037163,-0.170259,1.0,0.040266,-0.162436,0.099291,0.355345,0.754821,-0.204064,0.089365,-0.153007,-0.064999,0.588432,0.321802,-0.305333,-0.188784,0.262169,0.150533,-0.112778,0.358973,-0.024892,0.720184,-0.192597,0.043541,-0.239036,0.098668,-0.224951,0.073574,0.343604,0.018354,0.101603,-0.064885,-0.00452,-0.380347,-0.191079,0.280834,-0.215171,0.244375,-0.290992,-0.036647,0.242037,-0.06472,-0.227766,-0.040974,0.392947,0.537146,0.109802,-0.054845,0.014259,0.285632,-0.198889,-0.184561,-0.19212,0.026637,-0.067763,-0.181437,0.657603,-0.081547,-0.019136,0.140614,-0.3549,0.500157,0.279386,-0.059553,-0.240185,0.105666,-0.00578,0.159763,-0.186943,-0.016265,-0.206629,-0.399527,-0.075476,-0.174508,-0.347017,-0.05126,-0.254458,0.294543,-0.334412,0.211724,0.087601,-0.231691,0.057114,0.578427,-0.20862,0.183322
