dataset,Top_in_group,comparison,category,exclude,novel,character,top,topNovel
gpt4-plain,1,gender,F,0,S&S,Fanny Dashwood,Lucy Steele,S&S
gpt4-plain,1,gender,F,0,S&S,Lady Middleton,Mrs. Jennings,S&S
gpt4-plain,1,gender,F,0,S&S,Lucy Steele,Anne Steele,S&S
gpt4-plain,1,gender,F,0,S&S,Margaret Dashwood,Marianne Dashwood,S&S
gpt4-plain,1,gender,F,0,S&S,Marianne Dashwood,Margaret Dashwood,S&S
gpt4-plain,1,gender,F,0,S&S,Mrs. Dashwood,Mrs. Morland,N
gpt4-plain,1,gender,F,0,S&S,Mrs. Jennings,Mrs. Dashwood,S&S
gpt4-plain,1,gender,M,0,E,Frank Churchill,Captain Wentworth,P
gpt4-plain,1,gender,M,0,E,George Knightley,Frank Churchill,E
gpt4-plain,0,gender,M,0,E,John Knightley,Jane Fairfax,E
gpt4-plain,1,gender,M,0,E,Mr. Weston,George Knightley,E
gpt4-plain,1,gender,M,0,E,Mr. Woodhouse,Mr. Perry,E
gpt4-plain,1,gender,M,0,E,Mr. Perry,Dr. Grant,MP
gpt4-plain,0,gender,M,0,E,Philip Elton,Augusta Elton,E
gpt4-plain,1,gender,M,0,E,Robert Martin,John Willoughby,S&S
gpt4-plain,0,gender,M,0,MP,Dr. Grant,Mrs. Grant,MP
gpt4-plain,1,gender,M,0,MP,Edmund Bertram,Edward Ferrars,S&S
gpt4-plain,1,gender,M,0,MP,Henry Crawford,John Willoughby,S&S
gpt4-plain,1,gender,M,0,MP,Lieutenant Price,William Price,MP
gpt4-plain,1,gender,M,0,MP,Mr. Rushworth,Mr. Yates,MP
gpt4-plain,1,gender,M,0,MP,Mr. Yates,Mr. Rushworth,MP
gpt4-plain,1,gender,M,0,MP,Sir Thomas Bertram,Sir Walter Elliot,P
gpt4-plain,1,gender,M,0,MP,Tom Bertram,William Price,MP
gpt4-plain,1,gender,M,0,MP,William Price,Tom Bertram,MP
gpt4-plain,1,gender,M,0,N,Frederick Tilney,Henry Tilney,N
gpt4-plain,1,gender,M,0,N,General Tilney,Sir Walter Elliot,P
gpt4-plain,1,gender,M,0,N,Henry Tilney,Fitzwilliam Darcy,P&P
gpt4-plain,1,gender,M,0,N,James Morland,John Thorpe,N
gpt4-plain,1,gender,M,0,N,John Thorpe,Mr. Allen,N
gpt4-plain,1,gender,M,0,N,Mr. Allen,Mr. Shepherd,P
gpt4-plain,0,gender,M,0,P,Admiral Croft,Mrs. Croft,P
gpt4-plain,1,gender,M,0,P,Captain Benwick,Captain Wentworth,P
gpt4-plain,1,gender,M,0,P,Captain Harville,Captain Benwick,P
gpt4-plain,1,gender,M,0,P,Charles Hayter,Charles Musgrove,P
gpt4-plain,0,gender,M,0,P,Charles Musgrove,Elizabeth Elliot,P
gpt4-plain,1,gender,M,0,P,Mr. Shepherd,Sir Walter Elliot,P
gpt4-plain,0,gender,M,0,P,Mr. Musgrove,Mrs. Musgrove,P
gpt4-plain,0,gender,M,0,P,Sir Walter Elliot,Lady Catherine de Bourgh,P&P
gpt4-plain,1,gender,M,0,P,William Elliot,Captain Wentworth,P
gpt4-plain,1,gender,M,0,P,Captain Wentworth,Captain Benwick,P
gpt4-plain,0,gender,M,0,P&P,Charles Bingley,Elizabeth Elliot,P
gpt4-plain,1,gender,M,0,P&P,Colonel Fitzwilliam,Colonel Brandon,S&S
gpt4-plain,0,gender,M,0,P&P,Mr. Gardiner,Mrs. Gardiner,P&P
gpt4-plain,1,gender,M,0,P&P,Fitzwilliam Darcy,Colonel Fitzwilliam,P&P
gpt4-plain,1,gender,M,0,P&P,George Wickham,John Willoughby,S&S
gpt4-plain,0,gender,M,0,P&P,Mr. Bennet,Mrs. Bennet,P&P
gpt4-plain,1,gender,M,0,P&P,Mr. Hurst,Sir William Lucas,P&P
gpt4-plain,0,gender,M,0,P&P,Sir William Lucas,Lady Catherine de Bourgh,P&P
gpt4-plain,1,gender,M,0,P&P,William Collins,Mr. Rushworth,MP
gpt4-plain,1,gender,M,0,S&S,Colonel Brandon,Colonel Fitzwilliam,P&P
gpt4-plain,1,gender,M,0,S&S,Edward Ferrars,Colonel Brandon,S&S
gpt4-plain,1,gender,M,0,S&S,John Dashwood,Robert Ferrars,S&S
gpt4-plain,1,gender,M,0,S&S,John Willoughby,George Wickham,P&P
gpt4-plain,1,gender,M,0,S&S,Robert Ferrars,John Willoughby,S&S
gpt4-plain,1,gender,M,0,S&S,Sir John Middleton,Sir William Lucas,P&P
gpt4-plain,0,gender,M,0,S&S,Thomas Palmer,Charlotte Palmer,S&S
gpt4-plain,0,age,17,0,E,Harriet Smith,Isabella Knightley,E
gpt4-plain,0,age,17,0,N,Catherine Morland,Elizabeth Bennet,P&P
gpt4-plain,1,age,17,0,P&P,Kitty Bennet,Lydia Bennet,P&P
gpt4-plain,1,age,17,0,S&S,Marianne Dashwood,Margaret Dashwood,S&S
gpt4-plain,0,age,17,0,MP,Susan Price,Fanny Price,MP
gpt4-plain,0,age,17,0,P&P,Georgiana Darcy,Jane Bennet,P&P
gpt4-plain,0,age,17,0,P&P,Lydia Bennet,George Wickham,P&P
gpt4-plain,1,age,17,0,S&S,Margaret Dashwood,Marianne Dashwood,S&S
gpt4-plain,0,age,20,0,E,Emma Woodhouse,Harriet Smith,E
gpt4-plain,1,age,20,0,E,Jane Fairfax,Fanny Price,MP
gpt4-plain,0,age,20,0,MP,Julia Bertram,Maria Bertram,MP
gpt4-plain,1,age,20,0,N,James Morland,John Thorpe,N
gpt4-plain,0,age,20,0,N,John Thorpe,Mr. Allen,N
gpt4-plain,1,age,20,0,P,Henrietta Musgrove,Louisa Musgrove,P
gpt4-plain,1,age,20,0,P&P,Elizabeth Bennet,Emma Woodhouse,E
gpt4-plain,0,age,20,0,MP,Fanny Price,Henry Crawford,MP
gpt4-plain,0,age,20,0,MP,William Price,Tom Bertram,MP
gpt4-plain,1,age,20,0,N,Isabella Thorpe,John Thorpe,N
gpt4-plain,1,age,20,0,P,Louisa Musgrove,Henrietta Musgrove,P
gpt4-plain,0,age,20,0,P&P,Mary Bennet,Margaret Dashwood,S&S
gpt4-plain,0,age,20,0,S&S,Elinor Dashwood,Fanny Dashwood,S&S
gpt4-plain,0,age,24,0,E,Isabella Knightley,Emma Woodhouse,E
gpt4-plain,0,age,24,0,N,Eleanor Tilney,Elinor Dashwood,S&S
gpt4-plain,1,age,24,0,P,Mary Musgrove,Mary Musgrove,P
gpt4-plain,0,age,24,0,S&S,Edward Ferrars,Colonel Brandon,S&S
gpt4-plain,0,age,24,0,E,Robert Martin,John Willoughby,S&S
gpt4-plain,1,age,24,0,MP,Edmund Bertram,Edward Ferrars,S&S
gpt4-plain,1,age,24,0,MP,Maria Bertram,Mary Crawford,MP
gpt4-plain,0,age,24,0,P&P,Charles Bingley,Elizabeth Elliot,P
gpt4-plain,0,age,24,0,P&P,Jane Bennet,Jane Fairfax,E
gpt4-plain,0,age,24,0,S&S,Lucy Steele,Anne Steele,S&S
gpt4-plain,0,age,24,0,S&S,Robert Ferrars,John Willoughby,S&S
gpt4-plain,0,age,24,0,E,Augusta Elton,Philip Elton,E
gpt4-plain,0,age,24,0,MP,Henry Crawford,John Willoughby,S&S
gpt4-plain,0,age,24,0,P&P,Caroline Bingley,Lady Catherine de Bourgh,P&P
gpt4-plain,0,age,24,0,S&S,Charlotte Palmer,Thomas Palmer,S&S
gpt4-plain,0,age,24,0,MP,Mary Crawford,John Willoughby,S&S
gpt4-plain,0,age,27,0,E,Frank Churchill,Captain Wentworth,P
gpt4-plain,0,age,27,0,MP,Tom Bertram,William Price,MP
gpt4-plain,0,age,27,0,N,Henry Tilney,Fitzwilliam Darcy,P&P
gpt4-plain,1,age,27,0,P&P,William Collins,Mr. Rushworth,MP
gpt4-plain,0,age,27,0,S&S,John Willoughby,George Wickham,P&P
gpt4-plain,0,age,27,0,S&S,Thomas Palmer,Charlotte Palmer,S&S
gpt4-plain,0,age,27,0,E,Philip Elton,Augusta Elton,E
gpt4-plain,0,age,27,0,P,William Elliot,Captain Wentworth,P
gpt4-plain,1,age,27,0,N,Frederick Tilney,Henry Tilney,N
gpt4-plain,0,age,27,0,P,Anne Elliot,Elizabeth Bennet,P&P
gpt4-plain,0,age,27,0,P&P,Charlotte Lucas,Charlotte Palmer,S&S
gpt4-plain,1,age,27,0,MP,Mr. Rushworth,Mr. Yates,MP
gpt4-plain,1,age,27,0,MP,Mr. Yates,Mr. Rushworth,MP
gpt4-plain,1,age,27,0,P,Charles Hayter,Charles Musgrove,P
gpt4-plain,0,age,27,0,P&P,Mrs. Hurst,Caroline Bingley,P&P
gpt4-plain,0,age,27,0,S&S,Fanny Dashwood,Lucy Steele,S&S
gpt4-plain,0,age,27,0,P,Charles Musgrove,Elizabeth Elliot,P
gpt4-plain,0,age,27,0,P,Mrs. Clay,Mrs. Thorpe,N
gpt4-plain,0,age,30,0,MP,Mrs. Grant,Mrs. Norris,MP
gpt4-plain,0,age,30,0,P,Elizabeth Elliot,Anne Elliot,P
gpt4-plain,0,age,30,0,P,Mrs. Smith,Mrs. Clay,P
gpt4-plain,0,age,30,0,P&P,Colonel Fitzwilliam,Colonel Brandon,S&S
gpt4-plain,1,age,30,0,P&P,Fitzwilliam Darcy,Colonel Fitzwilliam,P&P
gpt4-plain,0,age,30,0,P&P,George Wickham,John Willoughby,S&S
gpt4-plain,0,age,30,0,S&S,Anne Steele,Lucy Steele,S&S
gpt4-plain,0,age,30,0,P,Mrs. Harville,Mrs. Musgrove,P
gpt4-plain,0,age,30,0,P&P,Mr. Hurst,Sir William Lucas,P&P
gpt4-plain,0,age,30,0,S&S,John Dashwood,Robert Ferrars,S&S
gpt4-plain,0,age,30,0,S&S,Lady Middleton,Mrs. Jennings,S&S
gpt4-plain,0,age,30,0,P,Captain Benwick,Captain Wentworth,P
gpt4-plain,0,age,40,0,E,George Knightley,Frank Churchill,E
gpt4-plain,0,age,40,0,E,John Knightley,Jane Fairfax,E
gpt4-plain,0,age,40,0,P,Mrs. Croft,Admiral Croft,P
gpt4-plain,0,age,40,0,P,Captain Wentworth,Captain Benwick,P
gpt4-plain,0,age,40,0,S&S,Colonel Brandon,Colonel Fitzwilliam,P&P
gpt4-plain,0,age,40,0,S&S,Mrs. Dashwood,Mrs. Morland,N
gpt4-plain,0,age,40,0,E,Anna Weston,Emma Woodhouse,E
gpt4-plain,0,age,40,0,E,Miss Bates,Mr. Weston,E
gpt4-plain,0,age,40,0,E,Mr. Perry,Dr. Grant,MP
gpt4-plain,1,age,40,0,E,Mrs. Cole,Miss Bates,E
gpt4-plain,0,age,40,0,N,Mrs. Allen,Mr. Allen,N
gpt4-plain,0,age,40,0,S&S,Sir John Middleton,Sir William Lucas,P&P
gpt4-plain,0,age,40,0,P,Captain Harville,Captain Benwick,P
gpt4-plain,0,age,50,0,MP,Dr. Grant,Mrs. Grant,MP
gpt4-plain,0,age,50,0,E,Mr. Weston,George Knightley,E
gpt4-plain,0,age,50,0,MP,Mrs. Norris,Fanny Dashwood,S&S
gpt4-plain,1,age,50,0,P,Mrs. Musgrove,Mr. Musgrove,P
gpt4-plain,1,age,50,0,P&P,Mr. Gardiner,Mrs. Gardiner,P&P
gpt4-plain,1,age,50,0,N,Mr. Allen,Mr. Shepherd,P
gpt4-plain,0,age,50,0,N,Mrs. Morland,Mrs. Allen,N
gpt4-plain,1,age,50,0,N,Mrs. Thorpe,Mrs. Morland,N
gpt4-plain,0,age,50,0,P,Admiral Croft,Mrs. Croft,P
gpt4-plain,0,age,50,0,MP,Lady Bertram,Maria Bertram,MP
gpt4-plain,0,age,50,0,MP,Lieutenant Price,William Price,MP
gpt4-plain,0,age,50,0,MP,Mrs. Rushworth,Maria Bertram,MP
gpt4-plain,0,age,50,0,P,Mr. Shepherd,Sir Walter Elliot,P
gpt4-plain,1,age,50,0,P,Mr. Musgrove,Mrs. Musgrove,P
gpt4-plain,0,age,50,0,P&P,Lady Catherine de Bourgh,Lady Lucas,P&P
gpt4-plain,0,age,50,0,P&P,Mrs. Bennet,Mrs. Jennings,S&S
gpt4-plain,1,age,50,0,P&P,Mrs. Phillips,Mrs. Bennet,P&P
gpt4-plain,1,age,50,0,MP,Mrs. Price,Mrs. Morland,N
gpt4-plain,0,age,50,0,P&P,Mrs. Gardiner,Charlotte Lucas,P&P
gpt4-plain,0,age,60,0,P,Sir Walter Elliot,Lady Catherine de Bourgh,P&P
gpt4-plain,0,age,60,0,E,Mr. Woodhouse,Mr. Perry,E
gpt4-plain,1,age,60,0,MP,Sir Thomas Bertram,Sir Walter Elliot,P
gpt4-plain,1,age,60,0,N,General Tilney,Sir Walter Elliot,P
gpt4-plain,0,age,60,0,S&S,Mrs. Jennings,Mrs. Dashwood,S&S
gpt4-plain,0,age,60,0,P,Lady Russell,Lady Catherine de Bourgh,P&P
gpt4-plain,0,age,60,0,P&P,Lady Lucas,Lady Catherine de Bourgh,P&P
gpt4-plain,0,age,60,0,P&P,Mr. Bennet,Mrs. Bennet,P&P
gpt4-plain,0,age,60,0,P&P,Sir William Lucas,Lady Catherine de Bourgh,P&P
gpt4-plain,0,rank,new gentle,0,E,Anna Weston,Emma Woodhouse,E
gpt4-plain,0,rank,new gentle,0,E,Augusta Elton,Philip Elton,E
gpt4-plain,0,rank,new gentle,0,E,Mr. Weston,George Knightley,E
gpt4-plain,0,rank,new gentle,0,E,Mrs. Cole,Miss Bates,E
gpt4-plain,0,rank,new gentle,0,MP,Fanny Price,Henry Crawford,MP
gpt4-plain,0,rank,gentle,0,E,Emma Woodhouse,Harriet Smith,E
gpt4-plain,0,rank,gentle,0,E,Frank Churchill,Captain Wentworth,P
gpt4-plain,1,rank,gentle,0,E,George Knightley,Frank Churchill,E
gpt4-plain,0,rank,gentle,0,E,Jane Fairfax,Fanny Price,MP
gpt4-plain,0,rank,gentle,0,E,Miss Bates,Mr. Weston,E
gpt4-plain,0,rank,gentle,0,E,Mr. Woodhouse,Mr. Perry,E
gpt4-plain,1,rank,gentle,0,MP,Henry Crawford,John Willoughby,S&S
gpt4-plain,1,rank,gentle,0,MP,Mary Crawford,John Willoughby,S&S
gpt4-plain,0,rank,gentle,0,MP,Mr. Rushworth,Mr. Yates,MP
gpt4-plain,0,rank,gentle,0,MP,Mrs. Rushworth,Maria Bertram,MP
gpt4-plain,1,rank,gentle,0,N,Eleanor Tilney,Elinor Dashwood,S&S
gpt4-plain,0,rank,gentle,0,N,General Tilney,Sir Walter Elliot,P
gpt4-plain,1,rank,gentle,0,N,Isabella Thorpe,John Thorpe,N
gpt4-plain,1,rank,gentle,0,N,John Thorpe,Mr. Allen,N
gpt4-plain,0,rank,gentle,0,N,Mr. Allen,Mr. Shepherd,P
gpt4-plain,1,rank,gentle,0,N,Mrs. Allen,Mr. Allen,N
gpt4-plain,0,rank,gentle,0,N,Mrs. Thorpe,Mrs. Morland,N
gpt4-plain,0,rank,gentle,0,P,Charles Musgrove,Elizabeth Elliot,P
gpt4-plain,1,rank,gentle,0,P,Henrietta Musgrove,Louisa Musgrove,P
gpt4-plain,1,rank,gentle,0,P,Louisa Musgrove,Henrietta Musgrove,P
gpt4-plain,1,rank,gentle,0,P,Mrs. Musgrove,Mr. Musgrove,P
gpt4-plain,1,rank,gentle,0,P,Mr. Musgrove,Mrs. Musgrove,P
gpt4-plain,0,rank,gentle,0,P,Mrs. Smith,Mrs. Clay,P
gpt4-plain,0,rank,gentle,0,P,William Elliot,Captain Wentworth,P
gpt4-plain,0,rank,gentle,0,P&P,Caroline Bingley,Lady Catherine de Bourgh,P&P
gpt4-plain,0,rank,gentle,0,P&P,Charles Bingley,Elizabeth Elliot,P
gpt4-plain,1,rank,gentle,0,P&P,Charlotte Lucas,Charlotte Palmer,S&S
gpt4-plain,1,rank,gentle,0,P&P,Elizabeth Bennet,Emma Woodhouse,E
gpt4-plain,0,rank,gentle,0,P&P,Fitzwilliam Darcy,Colonel Fitzwilliam,P&P
gpt4-plain,1,rank,gentle,0,P&P,Georgiana Darcy,Jane Bennet,P&P
gpt4-plain,1,rank,gentle,0,P&P,Jane Bennet,Jane Fairfax,E
gpt4-plain,1,rank,gentle,0,P&P,Kitty Bennet,Lydia Bennet,P&P
gpt4-plain,0,rank,gentle,0,P&P,Lydia Bennet,George Wickham,P&P
gpt4-plain,1,rank,gentle,0,P&P,Mary Bennet,Margaret Dashwood,S&S
gpt4-plain,1,rank,gentle,0,P&P,Mr. Bennet,Mrs. Bennet,P&P
gpt4-plain,0,rank,gentle,0,P&P,Mrs. Bennet,Mrs. Jennings,S&S
gpt4-plain,1,rank,gentle,0,P&P,Mrs. Hurst,Caroline Bingley,P&P
gpt4-plain,0,rank,gentle,0,P&P,Mr. Hurst,Sir William Lucas,P&P
gpt4-plain,1,rank,gentle,0,S&S,Charlotte Palmer,Thomas Palmer,S&S
gpt4-plain,1,rank,gentle,0,S&S,Elinor Dashwood,Fanny Dashwood,S&S
gpt4-plain,0,rank,gentle,0,S&S,Fanny Dashwood,Lucy Steele,S&S
gpt4-plain,1,rank,gentle,0,S&S,John Dashwood,Robert Ferrars,S&S
gpt4-plain,0,rank,gentle,0,S&S,John Willoughby,George Wickham,P&P
gpt4-plain,1,rank,gentle,0,S&S,Margaret Dashwood,Marianne Dashwood,S&S
gpt4-plain,1,rank,gentle,0,S&S,Marianne Dashwood,Margaret Dashwood,S&S
gpt4-plain,0,rank,gentle,0,S&S,Mrs. Dashwood,Mrs. Morland,N
gpt4-plain,1,rank,gentle,0,S&S,Robert Ferrars,John Willoughby,S&S
gpt4-plain,1,rank,gentle,0,S&S,Thomas Palmer,Charlotte Palmer,S&S
gpt4-plain,1,rank,profession,0,E,Harriet Smith,Isabella Knightley,E
gpt4-plain,0,rank,profession,0,E,Isabella Knightley,Emma Woodhouse,E
gpt4-plain,0,rank,profession,0,E,John Knightley,Jane Fairfax,E
gpt4-plain,0,rank,profession,0,E,Mr. Perry,Dr. Grant,MP
gpt4-plain,0,rank,profession,0,E,Robert Martin,John Willoughby,S&S
gpt4-plain,0,rank,profession,0,P,Mr. Shepherd,Sir Walter Elliot,P
gpt4-plain,0,rank,profession,0,P,Mrs. Clay,Mrs. Thorpe,N
gpt4-plain,1,rank,profession,0,P&P,Mr. Gardiner,Mrs. Gardiner,P&P
gpt4-plain,0,rank,profession,0,P&P,Mrs. Gardiner,Charlotte Lucas,P&P
gpt4-plain,0,rank,profession,0,P&P,Mrs. Phillips,Mrs. Bennet,P&P
gpt4-plain,1,rank,profession,0,S&S,Anne Steele,Lucy Steele,S&S
gpt4-plain,1,rank,profession,0,S&S,Lucy Steele,Anne Steele,S&S
gpt4-plain,0,rank,profession,0,S&S,Mrs. Jennings,Mrs. Dashwood,S&S
gpt4-plain,0,rank,clergy,0,E,Philip Elton,Augusta Elton,E
gpt4-plain,1,rank,clergy,0,MP,Dr. Grant,Mrs. Grant,MP
gpt4-plain,1,rank,clergy,0,MP,Edmund Bertram,Edward Ferrars,S&S
gpt4-plain,1,rank,clergy,0,MP,Mrs. Grant,Mrs. Norris,MP
gpt4-plain,0,rank,clergy,0,MP,Mrs. Norris,Fanny Dashwood,S&S
gpt4-plain,0,rank,clergy,0,N,Catherine Morland,Elizabeth Bennet,P&P
gpt4-plain,0,rank,clergy,0,N,Henry Tilney,Fitzwilliam Darcy,P&P
gpt4-plain,0,rank,clergy,0,N,James Morland,John Thorpe,N
gpt4-plain,0,rank,clergy,0,N,Mrs. Morland,Mrs. Allen,N
gpt4-plain,0,rank,clergy,0,P,Charles Hayter,Charles Musgrove,P
gpt4-plain,0,rank,clergy,0,P&P,William Collins,Mr. Rushworth,MP
gpt4-plain,0,rank,clergy,0,S&S,Edward Ferrars,Colonel Brandon,S&S
gpt4-plain,1,rank,gentry,0,MP,Julia Bertram,Maria Bertram,MP
gpt4-plain,1,rank,gentry,0,MP,Lady Bertram,Maria Bertram,MP
gpt4-plain,0,rank,gentry,0,MP,Maria Bertram,Mary Crawford,MP
gpt4-plain,0,rank,gentry,0,MP,Mr. Yates,Mr. Rushworth,MP
gpt4-plain,1,rank,gentry,0,MP,Sir Thomas Bertram,Sir Walter Elliot,P
gpt4-plain,0,rank,gentry,0,MP,Tom Bertram,William Price,MP
gpt4-plain,0,rank,gentry,0,P,Anne Elliot,Elizabeth Bennet,P&P
gpt4-plain,1,rank,gentry,0,P,Elizabeth Elliot,Anne Elliot,P
gpt4-plain,0,rank,gentry,0,P,Lady Russell,Lady Catherine de Bourgh,P&P
gpt4-plain,1,rank,gentry,0,P,Mary Musgrove,Mary Musgrove,P
gpt4-plain,0,rank,gentry,0,P,Sir Walter Elliot,Lady Catherine de Bourgh,P&P
gpt4-plain,0,rank,gentry,0,P&P,Lady Lucas,Lady Catherine de Bourgh,P&P
gpt4-plain,0,rank,gentry,0,P&P,Sir William Lucas,Lady Catherine de Bourgh,P&P
gpt4-plain,0,rank,gentry,0,S&S,Lady Middleton,Mrs. Jennings,S&S
gpt4-plain,1,rank,gentry,0,S&S,Sir John Middleton,Sir William Lucas,P&P
gpt4-plain,1,rank,soldier,0,MP,Lieutenant Price,William Price,MP
gpt4-plain,0,rank,soldier,0,MP,Mrs. Price,Mrs. Morland,N
gpt4-plain,0,rank,soldier,0,MP,Susan Price,Fanny Price,MP
gpt4-plain,0,rank,soldier,0,MP,William Price,Tom Bertram,MP
gpt4-plain,0,rank,soldier,0,N,Frederick Tilney,Henry Tilney,N
gpt4-plain,1,rank,soldier,0,P,Admiral Croft,Mrs. Croft,P
gpt4-plain,1,rank,soldier,0,P,Captain Benwick,Captain Wentworth,P
gpt4-plain,1,rank,soldier,0,P,Captain Harville,Captain Benwick,P
gpt4-plain,1,rank,soldier,0,P,Mrs. Croft,Admiral Croft,P
gpt4-plain,0,rank,soldier,0,P,Mrs. Harville,Mrs. Musgrove,P
gpt4-plain,1,rank,soldier,0,P,Captain Wentworth,Captain Benwick,P
gpt4-plain,0,rank,soldier,0,P&P,George Wickham,John Willoughby,S&S
gpt4-plain,0,rank,soldier,0,S&S,Colonel Brandon,Colonel Fitzwilliam,P&P
gpt4-plain,0,rank,peer,0,P&P,Colonel Fitzwilliam,Colonel Brandon,S&S
gpt4-plain,0,rank,peer,0,P&P,Lady Catherine de Bourgh,Lady Lucas,P&P
gpt4-plain,0,maritalStatus,M,0,E,Anna Weston,Emma Woodhouse,E
gpt4-plain,0,maritalStatus,M,0,E,Augusta Elton,Philip Elton,E
gpt4-plain,0,maritalStatus,M,0,E,Isabella Knightley,Emma Woodhouse,E
gpt4-plain,0,maritalStatus,M,0,E,John Knightley,Jane Fairfax,E
gpt4-plain,0,maritalStatus,M,0,E,Mr. Weston,George Knightley,E
gpt4-plain,1,maritalStatus,M,0,E,Mr. Perry,Dr. Grant,MP
gpt4-plain,0,maritalStatus,M,0,E,Mrs. Cole,Miss Bates,E
gpt4-plain,1,maritalStatus,M,0,MP,Dr. Grant,Mrs. Grant,MP
gpt4-plain,0,maritalStatus,M,0,MP,Lady Bertram,Maria Bertram,MP
gpt4-plain,1,maritalStatus,M,0,MP,Lieutenant Price,William Price,MP
gpt4-plain,0,maritalStatus,M,0,MP,Mrs. Grant,Mrs. Norris,MP
gpt4-plain,1,maritalStatus,M,0,MP,Mrs. Price,Mrs. Morland,N
gpt4-plain,1,maritalStatus,M,0,MP,Sir Thomas Bertram,Sir Walter Elliot,P
gpt4-plain,0,maritalStatus,M,0,MP,William Price,Tom Bertram,MP
