Character	Assertion
William Collins	The power of displaying the grandeur of his patroness to his wondering visitors , and of letting them see her civility towards himself and his wife , was exactly what he had wished for ; and that an opportunity of doing it should be given so soon was such an instance of Lady Catherine ’s condescension as he knew not how to admire enough . “ I confess , ” said he , “ that I should not have been at all surprised by her Ladyship ’s asking us on Sunday to drink tea and spend the evening at Rosings .
William Collins	I rather expected , from my knowledge of her affability , that it would happen .
William Collins	Mr. Collins was carefully instructing them in what they were to expect , that the sight of such rooms , so many servants , and so splendid a dinner , might not wholly overpower them .
William Collins	When the ladies were separating for the toilette , he said to Elizabeth,-- “ Do not make yourself uneasy , my dear cousin , about your apparel .
William Collins	I would advise you merely to put on whatever of your clothes is superior to the rest -- there is no occasion for anything more .
William Collins	” While they were dressing , he came two or three times to their different doors , to recommend their being quick , as Lady Catherine very much objected to be kept waiting for her dinner .
William Collins	Such formidable accounts of her Ladyship , and her manner of living , quite frightened Maria Lucas , who had been little used to company ; and she looked forward to her introduction at Rosings with as much apprehension as her father had done to his presentation at St. James ’s .
William Collins	Every park has its beauty and its prospects ; and Elizabeth saw much to be pleased with , though she could not be in such raptures as Mr. Collins expected the scene to inspire , and was but slightly affected by his enumeration of the windows in front of the house , and his relation of what the glazing altogether had originally cost Sir Lewis de Bourgh .
William Collins	From the entrance hall , of which Mr. Collins pointed out , with a rapturous air , the fine proportion and finished ornaments , they followed the servants through an antechamber to the room where Lady Catherine , her daughter , and Mrs. Jenkinson were sitting .
William Collins	Her Ladyship , with great condescension , arose to receive them ; and as Mrs. Collins had settled it with her husband that the office of introduction should be hers , it was performed in a proper manner , without any of those apologies and thanks which he would have thought necessary .
William Collins	She was not rendered formidable by silence : but whatever she said was spoken in so authoritative a tone as marked her self - importance , and brought Mr. Wickham immediately to
William Collins	, from the observation of the day altogether , she believed Lady Catherine to be exactly what he had represented .
William Collins	When , after examining the mother , in whose countenance and deportment she soon found some resemblance of Mr. Darcy , she turned her eyes on the daughter , she could almost have joined in Maria ’s astonishment at her being so thin and so small .
William Collins	After sitting a few minutes , they were all sent to one of the windows to admire the view , Mr. Collins attending them to point out its beauties , and Lady Catherine kindly informing them that it was much better worth looking at in the summer .
William Collins	The dinner was exceedingly handsome , and there were all the servants , and all the articles of plate which Mr. Collins had promised ; and , as he had likewise foretold , he took his seat at the bottom of the table , by her Ladyship ’s desire , and looked as if he felt that life could furnish nothing greater .
William Collins	He carved and ate and praised with delighted alacrity ; and every dish was commended first by him , and then by Sir William , who was now enough recovered to echo whatever his son - in - law said , in a manner which Elizabeth wondered Lady Catherine could bear .
William Collins	Mrs. Jenkinson was chiefly employed in watching how little Miss de Bourgh ate , pressing her to try some other dish and fearing she was indisposed . Maria thought speaking out of the question , and the gentlemen did nothing but eat and admire .
William Collins	In the intervals of her discourse with Mrs. Collins , she addressed a variety of questions to Maria and Elizabeth , but especially to the latter , of whose connections she knew
William Collins	the least , and who , she observed to Mrs. Collins , was a very genteel , pretty kind of girl .
William Collins	“ Your father ’s estate is entailed on Mr. Collins , I think ?
William Collins	The Miss Webbs all play , and their father has not so good an income as yours .
William Collins	“ My mother would have no objection , but my father hates London . ”
William Collins	Mrs. Collins , did I tell you of Lady Metcalfe ’s calling yesterday to thank me ?
William Collins	“ You can not be more than twenty , I am sure,--therefore you need not conceal your age . ” “ I am not one - and - twenty . ” When the gentlemen had joined them , and tea was over , the card tables were placed .
William Collins	Mr. Collins was employed in agreeing to everything her Ladyship said , thanking her for every fish he won , and apologizing if he thought he won too many .
William Collins	When Lady Catherine and her daughter had played as long as they chose , the tables were broken up , the carriage was offered to Mrs. Collins , gratefully accepted , and immediately ordered .
William Collins	From these instructions they were summoned by the arrival of the coach ; and with many speeches of thankfulness on Mr. Collins ’s side , and as many bows on Sir William ’s , they departed .
William Collins	But her commendation , though costing her some trouble , could by no means satisfy Mr. Collins , and he was very soon obliged to take her Ladyship ’s praise into his own hands .
William Collins	It is from my cousin , Mr. Collins , who , when I am dead , may turn you all out of this house as soon as he pleases . ”
William Collins	Pray do not talk of that odious man .
William Collins	They had often attempted it before : but it was a subject on which Mrs. Bennet was beyond the reach of reason ; and she continued to rail bitterly against the cruelty of settling an estate away from a family of five daughters , in favour of a man whom nobody cared anything about .
William Collins	“ It certainly is a most iniquitous affair , ” said Mr. Bennet ; “ and nothing can clear Mr. Collins from the guilt of inheriting Longbourn . But if you will listen to his letter , you may , perhaps , be a little softened by his manner of expressing himself . ” “ No , that I am sure I shall not : and I think it was very impertinent of him to write to you at all , and very hypocritical .
William Collins	Why could not he keep on quarrelling with you , as his father did before him ? ” “ Why , indeed , he does seem to have had some filial scruples on that head , as you will hear . ” / * RIGHT “ Hunsford , near Westerham , Kent , _ 15th October _ .
William Collins	“ At four o’clock , therefore , we may expect this peace - making gentleman , ” said Mr. Bennet , as he folded up the letter .
William Collins	“ He seems to be a most conscientious and polite young man , upon my word ; and , I doubt not , will prove a valuable acquaintance , especially if Lady Catherine should be so indulgent as to let him come to us again . ”
William Collins	“ There is some sense in what he says about the girls , however ; and , if he is disposed to make them any amends , I shall not be the person to discourage him . ”
William Collins	“ Though it is difficult , ” said Jane , “ to guess in what way he can mean to make us the atonement he thinks our due , the wish is certainly to his credit . ”
William Collins	Elizabeth was chiefly struck with his extraordinary deference for Lady Catherine , and his kind intention of christening , marrying , and burying his parishioners whenever it were required .
William Collins	“ He must be an oddity , I think , ” said she .
William Collins	“ I can not make him out .
William Collins	is something very pompous in his style .
William Collins	And what can he mean by apologizing for being next in the entail ?
William Collins	We can not suppose he would help it , if he could .
William Collins	Can he be a sensible man , sir ? ”
William Collins	I have great hopes of finding him quite the reverse .
William Collins	There is a mixture of servility and self - importance in his letter which promises well .
William Collins	I am impatient to see him . ”
William Collins	“ In point of composition , ” said Mary , “ his letter does not seem defective .
William Collins	It was next to impossible that their cousin should come in a scarlet coat , and it was now some weeks since they had received pleasure from the society of a man in any other colour .
William Collins	As for their mother , Mr. Collins ’s letter had done away much of her ill - will , and she was preparing to see him with a degree of composure which astonished her husband and daughters .
William Collins	Mr. Collins was punctual to his time , and was received with great politeness by the whole family .
William Collins	Mr. Bennet indeed said little ; but the ladies were ready enough to talk , and Mr. Collins seemed neither in need of encouragement , nor inclined to be silent himself .
William Collins	He was a tall , heavy - looking young man of five - and - twenty .
William Collins	His air was grave and stately , and his manners were very formal .
William Collins	He had not been long seated before he complimented Mrs. Bennet on having so fine a family of daughters , said he had heard much of their beauty , but that , in this instance , fame had fallen short of the truth ; and added , that he did not doubt her seeing them all in due time well disposed of in marriage .
William Collins	This gallantry was not much to the taste of some of his hearers ; but Mrs. Bennet , who quarrelled with no compliments , answered most readily,-- “ You are very kind , sir , I am sure ; and I wish with all my heart it may prove so ; for else they will be destitute enough .
William Collins	“ Ah , sir , I do indeed .
William Collins	At present I will not say more , but , perhaps , when we are better acquainted---- ” He was interrupted by a summons to dinner ; and the girls smiled on each other .
William Collins	They were not the only objects of Mr. Collins ’s admiration .
William Collins	The hall , the dining - room , and all its furniture , were examined and praised ; and his commendation of everything would have touched Mrs. Bennet ’s heart , but for the mortifying supposition of his viewing it all as his own future property .
William Collins	and he begged to know to which of his fair cousins the excellence of its cookery was owing .
William Collins	But here he was set right by Mrs. Bennet , who assured him , with some asperity , that they were very well able to keep a good cook , and that her daughters had nothing to do in the kitchen .
William Collins	He begged pardon for having displeased her .
William Collins	In a softened tone she declared herself not at all offended ; but he continued to apologize for about a quarter of an hour .
William Collins	XXXIX . It was the second week in May , in which the three young ladies set out together from Gracechurch Street for the town of ---- , in Hertfordshire ; and , as they drew near the appointed inn where Mr. Bennet ’s carriage was to meet them , they quickly perceived , in token of the coachman ’s punctuality , both Kitty and Lydia looking out of a dining - room upstairs .
William Collins	I was in great hopes that one of you would have got a husband before you came back .
William Collins	Jane will be quite an old maid soon , I declare .
William Collins	how ashamed I should be of not being married before three - and - twenty !
William Collins	My aunt Philips wants you so to get husbands you ca n’t think .
William Collins	She says Lizzy had better have taken Mr. Collins ; but _ I _ do not think there would have been any fun in it .
William Collins	how I should like to be married before any of you !
William Collins	and then I would _ chaperon _ you about to all the balls .
William Collins	Dear me !
William Collins	Kitty and me were to spend the day there , and Mrs. Forster promised to have a little dance in the evening ; ( by - the - bye , Mrs. Forster and me are _ such _ friends ! ) and so she asked the two Harringtons to come :
William Collins	Not a soul knew of it , but Colonel and Mrs. Forster , and Kitty and me , except my aunt , for we were forced to borrow one of her gowns ; and you can not imagine how well he looked !
William Collins	how I laughed !
William Collins	I thought I should have died .
William Collins	Mrs. Bennet rejoiced to see Jane in undiminished beauty ; and more than once during dinner did Mr. Bennet say voluntarily to Elizabeth,---- “ I am glad you are come back , Lizzy . ”
William Collins	In a fortnight they were to go , and once gone , she hoped there could be nothing more to plague her on his account .
Elizabeth Bennet	The discussion of Mr. Collins ’s offer was now nearly at an end , and Elizabeth had only to suffer from the uncomfortable feelings necessarily attending it , and occasionally from some peevish allusion of her mother .
Elizabeth Bennet	As for the gentleman himself , _ his _ feelings were chiefly expressed , not by embarrassment or dejection , or by trying to avoid her , but by stiffness of manner and resentful silence .
Elizabeth Bennet	He scarcely ever spoke to her ; and the assiduous attentions which he had been so sensible of himself were transferred for the rest of the day to Miss Lucas , whose civility in listening to him was a seasonable relief to them all , and especially to her friend .
Elizabeth Bennet	The morrow produced no abatement of Mrs. Bennet ’s ill humour or ill health .
Elizabeth Bennet	Elizabeth had hoped that his resentment might shorten his visit , but his plan did not appear in the least affected by it .
Elizabeth Bennet	To Elizabeth , however , he voluntarily acknowledged that the necessity of his absence _ had _ been self - imposed .
Elizabeth Bennet	She highly approved his forbearance ; and they had leisure for a full discussion of it , and for all the commendations which they civilly bestowed on each other , as Wickham and another officer walked back with them to Longbourn , and during the walk he particularly attended to her
Elizabeth Bennet	His accompanying them was a double advantage : she felt all the compliment it offered to herself ; and it was most acceptable as an occasion of introducing him to her father and mother . [ Illustration : “ Walked back with them ” [ _ Copyright 1894 by George Allen .
Elizabeth Bennet	_ ] ] Soon after their return , a letter was delivered to Miss Bennet ; it came from Netherfield , and was opened immediately .
Elizabeth Bennet	The envelope contained a sheet of elegant , little , hot - pressed paper , well covered with a lady ’s fair , flowing hand ; and Elizabeth saw her sister ’s countenance change as she read it , and saw her dwelling intently on some particular passages .
Elizabeth Bennet	to join , with her usual cheerfulness , in the general conversation : but Elizabeth felt an anxiety on the subject which drew off her attention even from Wickham ; and no sooner had he and his companion taken leave ,
Elizabeth Bennet	than a glance from Jane invited her to follow her upstairs .
Elizabeth Bennet	You shall hear what she says . ”
Elizabeth Bennet	She then read the first sentence aloud , which comprised the information of their having just resolved to follow their brother to town directly , and of their meaning to dine that day in Grosvenor Street , where Mr. Hurst had a house .
Elizabeth Bennet	The next was in these words:--“‘I do not pretend to regret anything I shall leave in Hertfordshire except your society , my dearest friend ; but we will hope , at some future period , to enjoy many returns of that delightful intercourse we have known , and in the meanwhile may lessen the pain of separation by a very frequent and most unreserved correspondence .
